TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights,TapeEdgeLeft_b,TapeEdgeRight_b,TapeWidth,TapeCenterLine,Var1_c,Var2_c,Var3_c,Var4_c,Var5_c,Var6_c,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1,Var1_d,Var2_d,Var3_d,Var4_d,Var5_d,Var6_d,TapeEdgeLeft_d,TapeEdgeRight_d,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
0.000000000000000000e+00,nan,-8.090498378294190829e+00,nan,nan,nan,nan,2.655850601290329904e-01,3.488801399999999830e+00,-2.660410199999999836e+00,6.149211600000000111e+00,4.141955999999999971e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600000000000000033e-02,nan,-7.235628151044280365e+00,nan,nan,nan,nan,2.644837163791139978e-01,3.536593199999999992e+00,-2.787854999999999972e+00,6.324448199999999964e+00,3.743691000000000102e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.200000000000000067e-02,nan,-6.380810531192979695e+00,nan,nan,nan,nan,2.633824404041940070e-01,3.711829799999999846e+00,-2.612618400000000118e+00,6.324448199999999964e+00,5.496056999999999748e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.799999999999999906e-02,8.090000000000000000e+02,-6.112671994999939962e+00,2.491355805512000074e+02,-2.224253347999589903e-01,-8.644194488000780385e-01,5.260739859999470269e+01,2.630369929999730183e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.800000000000000100e-02,8.100000000000000000e+02,-5.586598008999989595e+00,2.490615525981999951e+02,-1.920469337999869963e-01,-9.384474017998909456e-01,5.247184860000459850e+01,2.623592430000230014e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.900000000000000189e-02,nan,-5.526096596634520353e+00,nan,nan,nan,nan,2.624886533485880080e-01,3.600315600000000060e+00,-2.771924400000000066e+00,6.372239999999999682e+00,4.141955999999999971e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.800000000000000294e-02,8.110000000000000000e+02,-5.061879522999950254e+00,2.489586126561999890e+02,-1.015664408000109958e-01,-1.041387343800149967e+00,5.269631939999720061e+01,2.634815969999860230e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.500000000000000222e-02,nan,-4.671819990006819800e+00,nan,nan,nan,nan,2.952300587992490177e-01,3.584385000000000154e+00,-2.708201999999999998e+00,6.292587000000000153e+00,4.380915000000000226e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.800000000000000488e-02,8.120000000000000000e+02,-4.534916328999970325e+00,2.490269047582000042e+02,-6.068988679995759861e-02,-9.730952418001379556e-01,6.127463600000219657e+01,3.063731800000110139e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.799999999999999989e-02,8.130000000000000000e+02,-3.922169968999949852e+00,2.491540899151999895e+02,-4.600219779997150038e-02,-8.459100848000390416e-01,6.509231559999689409e+01,3.254615779999839864e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
