center_CAM,Weights
1.274447999999999970e-01,1.672183140584080074e-01
8.761829999999999619e-02,1.790711225583900001e-01
2.469243000000000132e-01,1.909232016547720012e-01
1.354101000000000055e-01,2.027760101547529947e-01
1.433753999999999862e-01,2.146280892511349958e-01
3.982650000000000079e-02,2.264808977511169885e-01
1.991324999999999901e-01,2.383329768474979904e-01
2.309936999999999963e-01,2.501857853474799831e-01
2.230283999999999878e-01,2.680664300516860110e-01
2.867507999999999724e-01,3.126188946622139864e-01
2.867507999999999724e-01,3.536195357682370144e-01
2.469243000000000132e-01,3.437395037062649927e-01
2.070977999999999986e-01,3.694240176598159731e-01
1.433753999999999862e-01,4.212078264791089821e-01
2.150631000000000070e-01,4.284580250655640188e-01
1.513406999999999947e-01,4.497801997286889897e-01
1.194795000000000024e-01,4.545528934796860265e-01
1.433753999999999862e-01,5.233521004501000551e-01
2.150631000000000070e-01,5.549541106818719483e-01
1.672713000000000116e-01,5.621256800828370315e-01
1.274447999999999970e-01,5.931271131876270086e-01
1.115141999999999939e-01,6.410100120753809971e-01
1.274447999999999970e-01,6.712358214039010340e-01
6.372239999999999849e-02,6.840748333996260477e-01
7.965300000000000158e-02,7.044627087154009537e-01
5.575709999999999694e-02,7.406370451796370213e-01
5.575709999999999694e-02,7.808466508721010335e-01
-1.593059999999999962e-02,8.095177154196649960e-01
3.186119999999999924e-02,8.319278583990700193e-01
-4.779180000000000234e-02,8.717976324526659493e-01
5.575709999999999694e-02,8.967747754217449963e-01
-1.593059999999999962e-02,9.129441466790230164e-01
3.982650000000000079e-02,9.325123025776890229e-01
-2.389590000000000117e-02,9.491012640109980358e-01
-7.965299999999999811e-03,9.618020949159550304e-01
-6.372239999999999849e-02,9.824027963355500548e-01
0.000000000000000000e+00,9.945554652387860184e-01
-3.982650000000000079e-02,9.951406928665530449e-01
-1.593059999999999962e-02,9.991357063458350396e-01
-3.186119999999999924e-02,1.010697949717130006e+00
-3.186119999999999924e-02,9.999891860921840125e-01
-5.575709999999999694e-02,9.993532976609920127e-01
-4.779180000000000234e-02,9.976793515107550414e-01
