TapeCenterLine,Weights
7.407728999999999564e-01,3.299698362223569825e-01
7.805994000000000543e-01,3.191370515973879773e-01
7.168769999999999865e-01,3.083049336053200196e-01
6.531546000000000296e-01,2.974721489803520136e-01
5.257098000000000049e-01,2.866400309882830011e-01
5.655362999999999918e-01,2.758072463633139959e-01
5.735015999999999448e-01,2.649751283712459826e-01
5.814669000000000088e-01,2.845380236651749994e-01
6.212933999999999957e-01,3.086502981081140073e-01
5.735015999999999448e-01,3.312664161277160124e-01
5.018139000000000349e-01,3.296784360018469862e-01
4.460567999999999755e-01,3.799291633528060208e-01
4.301262000000000141e-01,4.104744709154840021e-01
4.221609000000000056e-01,4.105427730491379990e-01
4.062302999999999886e-01,4.260127803912330258e-01
3.823344000000000187e-01,4.408238523665690134e-01
3.823344000000000187e-01,4.884814869535840098e-01
4.141955999999999971e-01,5.089225721318789697e-01
3.902997000000000272e-01,5.282986643479909983e-01
3.584384999999999932e-01,5.582460303786049849e-01
3.106466999999999978e-01,6.039077895095500415e-01
3.106466999999999978e-01,6.122735026738600483e-01
2.787855000000000194e-01,6.287767735795160018e-01
2.230283999999999878e-01,6.443934391033909748e-01
1.991324999999999901e-01,6.726506072901750066e-01
1.832019000000000009e-01,7.005131334671319543e-01
1.672713000000000116e-01,7.334149502142910393e-01
1.194795000000000024e-01,7.655718941153459856e-01
1.115141999999999939e-01,7.970622382123530025e-01
7.168769999999999309e-02,8.152089526054759894e-01
7.168769999999999309e-02,8.492423838262830316e-01
5.575709999999999694e-02,8.676114651309849712e-01
7.168769999999999309e-02,8.879629848443719720e-01
9.558360000000000467e-02,9.114332544813069648e-01
1.035488999999999993e-01,9.280399741404720126e-01
8.761829999999999619e-02,9.424073861196899937e-01
1.593059999999999962e-02,9.684279292539039741e-01
-3.186119999999999924e-02,9.823617140739310249e-01
-4.779180000000000234e-02,9.904742185715760261e-01
-4.779180000000000234e-02,1.002030932828950061e+00
-6.372239999999999849e-02,9.944958118024339599e-01
-3.186119999999999924e-02,1.006697940553509918e+00
7.965299999999999811e-03,9.969511257813720162e-01
-2.389590000000000117e-02,1.002502920395289987e+00
-3.186119999999999924e-02,9.889494080239660256e-01
-3.186119999999999924e-02,1.004940907927909910e+00
-1.593059999999999962e-02,9.996018661507819481e-01
-7.965300000000000158e-02,9.966268086668890192e-01
-7.168769999999999309e-02,9.997013101258409584e-01
-1.115141999999999939e-01,9.963917607031920198e-01
-5.575709999999999694e-02,1.007861158753249997e+00
-3.982650000000000079e-02,9.947342995343709804e-01
-4.779180000000000234e-02,9.956334150826260387e-01
-7.965300000000000158e-02,9.982408198012749923e-01
-1.115141999999999939e-01,1.000477488092790024e+00
-1.274447999999999970e-01,9.936131363383969850e-01
-6.372239999999999849e-02,9.899172713313270089e-01
-4.779180000000000234e-02,1.003022396723370013e+00
-3.186119999999999924e-02,1.005113290983530083e+00
0.000000000000000000e+00,1.001328441411839965e+00
-6.372239999999999849e-02,9.987259833784259966e-01
-2.389590000000000117e-02,1.002298803937059946e+00
-3.186119999999999924e-02,9.928699974829680031e-01
-7.965299999999999811e-03,9.959568645287979471e-01
-3.186119999999999924e-02,9.984745040777920355e-01
-3.982650000000000079e-02,1.002315710360430101e+00
-1.593059999999999962e-02,1.002608803764549972e+00
2.389590000000000117e-02,9.963272099350859445e-01
0.000000000000000000e+00,1.009247299186029956e+00
3.186119999999999924e-02,9.941545547199569510e-01
-3.982650000000000079e-02,9.930510139078140286e-01
-3.186119999999999924e-02,9.979625564979179853e-01
-6.372239999999999849e-02,1.000845701545489908e+00
5.575709999999999694e-02,9.940944724966720436e-01
3.186119999999999924e-02,1.008057776827210095e+00
5.575709999999999694e-02,1.007856866883960034e+00
-6.372239999999999849e-02,1.002680551527799890e+00
-6.372239999999999849e-02,1.008691815586790108e+00
-6.372239999999999849e-02,9.967181125692450294e-01
-7.965299999999999811e-03,9.936456460782030486e-01
-3.982650000000000079e-02,9.962192881133410394e-01
0.000000000000000000e+00,9.988680349750870269e-01
7.965299999999999811e-03,1.000410247537919961e+00
-1.593059999999999962e-02,1.005033650520609889e+00
-5.575709999999999694e-02,9.968856833755830316e-01
