center_CAM,Weights,error_CAM
5.575709999999999694e-02,3.074975695691680166e-01,5.575709999999999694e-02
7.965299999999999811e-03,2.911604305691309902e-01,7.965299999999999811e-03
1.035488999999999993e-01,2.748242969314940165e-01,1.035488999999999993e-01
2.150631000000000070e-01,2.725063821993140012e-01,2.150631000000000070e-01
1.513406999999999947e-01,3.067679956103669947e-01,1.513406999999999947e-01
7.168769999999999309e-02,3.380736121205319966e-01,7.168769999999999309e-02
3.982650000000000079e-02,3.441422387945690109e-01,3.982650000000000079e-02
1.752365999999999924e-01,3.640619765174160083e-01,1.752365999999999924e-01
1.911672000000000093e-01,4.106481178459520098e-01,1.911672000000000093e-01
1.991324999999999901e-01,4.232021293613260071e-01,1.991324999999999901e-01
2.150631000000000070e-01,4.413041204030889730e-01,2.150631000000000070e-01
2.230283999999999878e-01,4.561740885870310125e-01,2.230283999999999878e-01
1.752365999999999924e-01,5.150536016431289665e-01,1.752365999999999924e-01
8.761829999999999619e-02,5.461718948574399990e-01,8.761829999999999619e-02
1.911672000000000093e-01,5.618958393987319999e-01,1.911672000000000093e-01
1.752365999999999924e-01,5.878612546739200306e-01,1.752365999999999924e-01
1.752365999999999924e-01,6.168027116457179826e-01,1.752365999999999924e-01
9.558360000000000467e-02,6.423355360381279855e-01,9.558360000000000467e-02
1.672713000000000116e-01,6.739660999118799456e-01,1.672713000000000116e-01
1.752365999999999924e-01,7.003645573837820049e-01,1.752365999999999924e-01
1.433753999999999862e-01,7.205760687528709463e-01,1.433753999999999862e-01
1.035488999999999993e-01,7.596774353030709692e-01,1.035488999999999993e-01
1.035488999999999993e-01,8.040291717269589800e-01,1.035488999999999993e-01
9.558360000000000467e-02,8.323422097603849767e-01,9.558360000000000467e-02
1.354101000000000055e-01,8.478845461218770252e-01,1.354101000000000055e-01
1.593060000000000032e-01,8.713257134421009686e-01,1.593060000000000032e-01
8.761829999999999619e-02,8.974831160408659469e-01,8.761829999999999619e-02
4.779180000000000234e-02,9.195212988291270317e-01,4.779180000000000234e-02
0.000000000000000000e+00,9.380256011437989594e-01,0.000000000000000000e+00
9.558360000000000467e-02,9.518276319684330078e-01,9.558360000000000467e-02
7.168769999999999309e-02,9.782618725146879912e-01,7.168769999999999309e-02
3.186119999999999924e-02,9.880202074099969645e-01,3.186119999999999924e-02
-4.779180000000000234e-02,9.914947514457620459e-01,-4.779180000000000234e-02
-6.372239999999999849e-02,9.967392888047590382e-01,-6.372239999999999849e-02
-2.389590000000000117e-02,9.976819718751680499e-01,-2.389590000000000117e-02
-3.186119999999999924e-02,1.000237070030800091e+00,-3.186119999999999924e-02
0.000000000000000000e+00,1.009320348689100033e+00,0.000000000000000000e+00
-2.389590000000000117e-02,1.001776902546950065e+00,-2.389590000000000117e-02
-8.761829999999999619e-02,9.916009769151630238e-01,-8.761829999999999619e-02
-6.372239999999999849e-02,1.009293732547619893e+00,-6.372239999999999849e-02
-8.761829999999999619e-02,9.975801221146940456e-01,-8.761829999999999619e-02
-8.761829999999999619e-02,1.004162939354710016e+00,-8.761829999999999619e-02
-1.035488999999999993e-01,1.002839132265050059e+00,-1.035488999999999993e-01
-1.274447999999999970e-01,1.000579053281630104e+00,-1.274447999999999970e-01
-1.274447999999999970e-01,9.949285952720670068e-01,-1.274447999999999970e-01
-4.779180000000000234e-02,1.003568181168750018e+00,-4.779180000000000234e-02
-4.779180000000000234e-02,9.948738778845970243e-01,-4.779180000000000234e-02
-3.186119999999999924e-02,9.954930340672969447e-01,-3.186119999999999924e-02
-9.558360000000000467e-02,1.000959817630979964e+00,-9.558360000000000467e-02
-9.558360000000000467e-02,1.007059041739359895e+00,-9.558360000000000467e-02
-7.965300000000000158e-02,1.000335543199740052e+00,-7.965300000000000158e-02
-7.168769999999999309e-02,1.004020695196990109e+00,-7.168769999999999309e-02
-6.372239999999999849e-02,9.954825736499820499e-01,-6.372239999999999849e-02
-5.575709999999999694e-02,1.000001607401530102e+00,-5.575709999999999694e-02
-8.761829999999999619e-02,9.974383052069110134e-01,-8.761829999999999619e-02
-6.372239999999999849e-02,9.837473527090010439e-01,-6.372239999999999849e-02
-3.982650000000000079e-02,1.000663556556030009e+00,-3.982650000000000079e-02
-6.372239999999999849e-02,1.010881212421870012e+00,-6.372239999999999849e-02
-3.982650000000000079e-02,1.003556373899360032e+00,-3.982650000000000079e-02
-7.965299999999999811e-03,1.002119295704479995e+00,-7.965299999999999811e-03
1.593059999999999962e-02,9.980963572760960245e-01,1.593059999999999962e-02
7.965299999999999811e-03,9.931303479132910228e-01,7.965299999999999811e-03
4.779180000000000234e-02,9.949675494983619695e-01,4.779180000000000234e-02
-3.982650000000000079e-02,1.001906604773219911e+00,-3.982650000000000079e-02
-3.186119999999999924e-02,9.997074743327100110e-01,-3.186119999999999924e-02
-3.982650000000000079e-02,1.003969093380709943e+00,-3.982650000000000079e-02
-1.593059999999999962e-02,1.004109911202210048e+00,-1.593059999999999962e-02
3.186119999999999924e-02,9.976041633799049846e-01,3.186119999999999924e-02
7.965299999999999811e-03,9.969049629860560202e-01,7.965299999999999811e-03
3.186119999999999924e-02,9.987342364153900531e-01,3.186119999999999924e-02
-4.779180000000000234e-02,9.985966681997879846e-01,-4.779180000000000234e-02
-1.593059999999999962e-02,9.990521957715200463e-01,-1.593059999999999962e-02
-3.982650000000000079e-02,9.988718735228400147e-01,-3.982650000000000079e-02
1.593059999999999962e-02,1.002728005939460099e+00,1.593059999999999962e-02
6.372239999999999849e-02,1.005975783369220000e+00,6.372239999999999849e-02
5.575709999999999694e-02,9.988852734471870276e-01,5.575709999999999694e-02
7.965299999999999811e-03,9.936527124997129867e-01,7.965299999999999811e-03
7.965299999999999811e-03,1.006448829523389987e+00,7.965299999999999811e-03
-1.593059999999999962e-02,1.001379971805040014e+00,-1.593059999999999962e-02
5.575709999999999694e-02,9.998475091136009851e-01,5.575709999999999694e-02
5.575709999999999694e-02,9.963527779482910240e-01,5.575709999999999694e-02
2.389590000000000117e-02,1.010793875526440067e+00,2.389590000000000117e-02
-3.186119999999999924e-02,1.001787855567739971e+00,-3.186119999999999924e-02
2.389590000000000117e-02,9.929955561470510395e-01,2.389590000000000117e-02
1.593059999999999962e-02,9.989052224637749999e-01,1.593059999999999962e-02
4.779180000000000234e-02,1.006694883554519970e+00,4.779180000000000234e-02
5.575709999999999694e-02,9.947741609074779445e-01,5.575709999999999694e-02
7.168769999999999309e-02,9.961338727688680006e-01,7.168769999999999309e-02
1.035488999999999993e-01,1.004494610440769931e+00,1.035488999999999993e-01
1.433753999999999862e-01,9.972801107859690095e-01,1.433753999999999862e-01
1.115141999999999939e-01,9.895194230572369465e-01,1.115141999999999939e-01
1.672713000000000116e-01,1.001791860526479949e+00,1.672713000000000116e-01
1.513406999999999947e-01,1.006135407091500067e+00,1.513406999999999947e-01
2.389590000000000047e-01,9.924412773625139739e-01,2.389590000000000047e-01
2.628549000000000024e-01,9.972523004853199868e-01,2.628549000000000024e-01
2.548895999999999940e-01,1.000007394309430087e+00,2.548895999999999940e-01
1.513406999999999947e-01,1.005503174009009904e+00,1.513406999999999947e-01
2.070977999999999986e-01,9.989592685104550229e-01,2.070977999999999986e-01
2.150631000000000070e-01,9.968148806735269707e-01,2.150631000000000070e-01
2.548895999999999940e-01,9.953385567830199676e-01,2.548895999999999940e-01
2.469243000000000132e-01,1.001603930361850026e+00,2.469243000000000132e-01
2.787855000000000194e-01,9.935264786833930550e-01,2.787855000000000194e-01
3.425078999999999763e-01,9.963882475550359663e-01,3.425078999999999763e-01
3.504731999999999847e-01,1.006502474010289916e+00,3.504731999999999847e-01
3.425078999999999763e-01,1.000265368208480110e+00,3.425078999999999763e-01
3.265773000000000148e-01,9.968105453801819893e-01,3.265773000000000148e-01
3.425078999999999763e-01,1.002830197528689959e+00,3.425078999999999763e-01
3.026813999999999893e-01,1.002815247353459949e+00,3.026813999999999893e-01
3.106466999999999978e-01,9.988509903107190002e-01,3.106466999999999978e-01
3.584384999999999932e-01,1.006762554651370101e+00,3.584384999999999932e-01
3.982649999999999801e-01,9.938524284360920058e-01,3.982649999999999801e-01
4.301262000000000141e-01,9.983444815719879628e-01,4.301262000000000141e-01
4.699527000000000010e-01,1.000581632409510036e+00,4.699527000000000010e-01
4.619873999999999925e-01,9.998994325009790129e-01,4.619873999999999925e-01
4.619873999999999925e-01,1.006279273861669932e+00,4.619873999999999925e-01
4.460567999999999755e-01,1.006054409079419898e+00,4.460567999999999755e-01
4.779180000000000095e-01,9.969205708751740502e-01,4.779180000000000095e-01
4.619873999999999925e-01,1.001524929311119916e+00,4.619873999999999925e-01
