TapeWidth1,Weights
6.118000000000000327e+00,9.968600537734609857e-01
6.129999999999999893e+00,9.931152827279999817e-01
6.126999999999999780e+00,9.827622998440079805e-01
6.221000000000000085e+00,9.921165538259320016e-01
6.094999999999999751e+00,1.004456130509840062e+00
6.145999999999999908e+00,1.008715871725029967e+00
6.116999999999999993e+00,1.006507989466510100e+00
6.134000000000000341e+00,1.000440708844009929e+00
6.137999999999999901e+00,1.001739606338019950e+00
6.174000000000000377e+00,1.000334367157230009e+00
6.211000000000000298e+00,9.950659950696689737e-01
6.181000000000000050e+00,9.977544172773069597e-01
6.182999999999999829e+00,9.914030639987100324e-01
6.141000000000000014e+00,9.935778743902610177e-01
6.166000000000000369e+00,1.000941655750869907e+00
6.197000000000000064e+00,1.005172347136999988e+00
6.267000000000000348e+00,1.007524890871630108e+00
6.155000000000000249e+00,9.997241899953900335e-01
6.141000000000000014e+00,1.010282370222010062e+00
6.258000000000000007e+00,1.010511139780249978e+00
6.235999999999999766e+00,9.967826969976080198e-01
6.235000000000000320e+00,9.963098506260029685e-01
6.221000000000000085e+00,1.004764243391000011e+00
6.171000000000000263e+00,9.950373092386850526e-01
6.155000000000000249e+00,9.950751169887810388e-01
6.133000000000000007e+00,1.003355529130659951e+00
6.131999999999999673e+00,1.004915874271339993e+00
6.181000000000000050e+00,1.005188304571009938e+00
6.153999999999999915e+00,1.009308537055189969e+00
6.153999999999999915e+00,9.966374729902499618e-01
6.118000000000000327e+00,1.001061565892519933e+00
6.118999999999999773e+00,9.939518234895979854e-01
6.104000000000000092e+00,9.972128799839909963e-01
6.176999999999999602e+00,1.002255907677489954e+00
6.176999999999999602e+00,9.928043126480670111e-01
6.116999999999999993e+00,9.939153492743320051e-01
6.144000000000000128e+00,1.002740654703200063e+00
6.141000000000000014e+00,1.004629879180400032e+00
6.123999999999999666e+00,1.003825162910600088e+00
6.160000000000000142e+00,9.884134020223409589e-01
6.214999999999999858e+00,9.975200645449270320e-01
6.192999999999999616e+00,1.001936925828629921e+00
6.217999999999999972e+00,9.969355276061869775e-01
6.125000000000000000e+00,9.996730210857249777e-01
6.150999999999999801e+00,9.960515083877340414e-01
6.152000000000000135e+00,9.920163211554809957e-01
6.115000000000000213e+00,1.001674035074729963e+00
6.165000000000000036e+00,9.983861646499919695e-01
6.126999999999999780e+00,9.995324550458279944e-01
6.089999999999999858e+00,1.005402642634990018e+00
6.072000000000000064e+00,9.972054267434710129e-01
6.059999999999999609e+00,1.000500250344749986e+00
6.128000000000000114e+00,1.002237693160759946e+00
6.075000000000000178e+00,1.003648251992850016e+00
6.112000000000000099e+00,1.004150225729580015e+00
6.121999999999999886e+00,9.849856449026029859e-01
6.152999999999999581e+00,9.991497459966780514e-01
6.173000000000000043e+00,1.000900842673140057e+00
6.190000000000000391e+00,1.000468040884320065e+00
6.113999999999999879e+00,1.008789405904670033e+00
6.126000000000000334e+00,1.000384678945990036e+00
6.076999999999999957e+00,1.005122118846669910e+00
6.102000000000000313e+00,1.001572509079400097e+00
6.113999999999999879e+00,1.003081163553070088e+00
6.115000000000000213e+00,1.001381557209189976e+00
6.072000000000000064e+00,9.956147872106819730e-01
6.166000000000000369e+00,9.965667105555480187e-01
6.163000000000000256e+00,9.968127544903649939e-01
6.126000000000000334e+00,9.968914250960839718e-01
6.123999999999999666e+00,1.004600237969879961e+00
6.147000000000000242e+00,1.004390534146659908e+00
6.174000000000000377e+00,9.979680310581520164e-01
6.139999999999999680e+00,9.988130239745800498e-01
6.123999999999999666e+00,1.005096249567339894e+00
6.113999999999999879e+00,9.998799357970470369e-01
6.115000000000000213e+00,9.963304877201409893e-01
6.083999999999999631e+00,9.965098707676219858e-01
6.128000000000000114e+00,1.002474274947209976e+00
6.076999999999999957e+00,1.003783618622120066e+00
6.076999999999999957e+00,9.905282119416469744e-01
6.065999999999999837e+00,9.987306101765379696e-01
6.086999999999999744e+00,1.002640656558940080e+00
6.060999999999999943e+00,1.007269817916609966e+00
6.064000000000000057e+00,1.007969453623559941e+00
6.073999999999999844e+00,1.002905248329390098e+00
6.049000000000000377e+00,9.936056024576259693e-01
6.049999999999999822e+00,9.993951707119259620e-01
6.046999999999999709e+00,1.004445253925309922e+00
6.110000000000000320e+00,1.003230375852089962e+00
6.179000000000000270e+00,9.955628002658349907e-01
6.187999999999999723e+00,9.983711439240060548e-01
6.200999999999999623e+00,1.007501541821600011e+00
6.246999999999999886e+00,1.003898357722309953e+00
6.192000000000000171e+00,9.971435010163040014e-01
6.248000000000000220e+00,9.971208974218019883e-01
6.254999999999999893e+00,1.002447167838180109e+00
6.150999999999999801e+00,1.000314093898490020e+00
6.165000000000000036e+00,9.958783084176819900e-01
6.112000000000000099e+00,9.952781092156489651e-01
6.088000000000000078e+00,9.956042252390040481e-01
6.025999999999999801e+00,9.999267432806190348e-01
6.073000000000000398e+00,1.002559770002730000e+00
6.046000000000000263e+00,1.001692788690810021e+00
6.200000000000000178e+00,9.989513991834549911e-01
6.136000000000000121e+00,1.005340222506670100e+00
6.088000000000000078e+00,1.001593291058870072e+00
6.049999999999999822e+00,1.003060528189199996e+00
6.134000000000000341e+00,9.953141700452740048e-01
6.147999999999999687e+00,9.999737045215399966e-01
6.123999999999999666e+00,9.997979589879929518e-01
6.086000000000000298e+00,1.003951032276090061e+00
6.088000000000000078e+00,9.993018261841219996e-01
6.097999999999999865e+00,9.976946599639570090e-01
6.097000000000000419e+00,1.000110015731400015e+00
6.086999999999999744e+00,1.005166936030930103e+00
6.115000000000000213e+00,9.987761474800309625e-01
6.141000000000000014e+00,1.001774475812249987e+00
6.064000000000000057e+00,9.924846275482830382e-01
6.059999999999999609e+00,9.973354365171109848e-01
6.062999999999999723e+00,9.947375208581800132e-01
6.137999999999999901e+00,1.001662015230649905e+00
6.086999999999999744e+00,1.006987353103609983e+00
6.115000000000000213e+00,9.972853136634529658e-01
6.150999999999999801e+00,9.940340425988859474e-01
6.173000000000000043e+00,9.983595349432979882e-01
6.160000000000000142e+00,1.001193190359030094e+00
6.189000000000000057e+00,1.002241407853099897e+00
6.147999999999999687e+00,9.980540855551820467e-01
6.112000000000000099e+00,9.997004034733180111e-01
6.233999999999999986e+00,9.928925989498740279e-01
6.203999999999999737e+00,9.993740115370379762e-01
6.298000000000000043e+00,1.001938939955280050e+00
6.253999999999999559e+00,1.001183469308499996e+00
6.152999999999999581e+00,9.980813092645199891e-01
6.166000000000000369e+00,1.000305450159959975e+00
6.176000000000000156e+00,1.005388326217609984e+00
6.190000000000000391e+00,1.006511890388430031e+00
6.128000000000000114e+00,1.007108760022380034e+00
6.152000000000000135e+00,1.000908981172129897e+00
6.160999999999999588e+00,1.004556042722170028e+00
6.238000000000000433e+00,1.001207620654940067e+00
6.214999999999999858e+00,9.990657709807769793e-01
6.190000000000000391e+00,9.965285864115279724e-01
6.139000000000000234e+00,1.001872227594510001e+00
6.149000000000000021e+00,9.951217267305370040e-01
6.251999999999999780e+00,9.946705638803110539e-01
6.139999999999999680e+00,9.913598853475219519e-01
6.152000000000000135e+00,9.990852700743300119e-01
6.176000000000000156e+00,1.003521263555489984e+00
6.072000000000000064e+00,1.008660677945290018e+00
6.259999999999999787e+00,1.000696956704379970e+00
6.214000000000000412e+00,9.964585423801789466e-01
6.240000000000000213e+00,1.002844452053569979e+00
6.152999999999999581e+00,9.978515330871300382e-01
6.192000000000000171e+00,9.981665793742769965e-01
6.203000000000000291e+00,9.915832588087869492e-01
6.261999999999999567e+00,1.001660866142960016e+00
6.203000000000000291e+00,9.941595723887149960e-01
6.115999999999999659e+00,9.952935251833450181e-01
6.152000000000000135e+00,1.004028312902059961e+00
6.176999999999999602e+00,1.003186836368300083e+00
6.121999999999999886e+00,1.002788606861370058e+00
6.238999999999999879e+00,9.992890181988589582e-01
6.203000000000000291e+00,1.002446645575820083e+00
6.201999999999999957e+00,1.002661321957690088e+00
6.059999999999999609e+00,1.004431138349100028e+00
6.128000000000000114e+00,1.002512495372549939e+00
6.067999999999999616e+00,9.973821630063739452e-01
6.163000000000000256e+00,9.989269408344629841e-01
6.192000000000000171e+00,1.010806738555950046e+00
6.126999999999999780e+00,1.007383400252390038e+00
6.177999999999999936e+00,9.961792702586470538e-01
6.152000000000000135e+00,9.963610800241510246e-01
6.152000000000000135e+00,1.002257810808560023e+00
6.128999999999999559e+00,1.005737263437070039e+00
6.174000000000000377e+00,9.977615912778019513e-01
6.115999999999999659e+00,9.945298847386579988e-01
6.240999999999999659e+00,9.990972509391869982e-01
6.176999999999999602e+00,1.001881076291649908e+00
6.179999999999999716e+00,1.002364222947430106e+00
6.139000000000000234e+00,9.975244938465630540e-01
6.149000000000000021e+00,1.000866810574650101e+00
6.254999999999999893e+00,1.005379307089099949e+00
6.201999999999999957e+00,1.006649324551039948e+00
6.163999999999999702e+00,1.006845919706959913e+00
6.177999999999999936e+00,9.979136171917529774e-01
6.064000000000000057e+00,9.979812444506329649e-01
6.160999999999999588e+00,9.993456051928819583e-01
6.116999999999999993e+00,1.005741585578489916e+00
6.116999999999999993e+00,9.999332710976499561e-01
6.089000000000000412e+00,9.993664529807110286e-01
6.163999999999999702e+00,1.004643810335970056e+00
6.113000000000000433e+00,1.000915744045870026e+00
6.190999999999999837e+00,1.002463964327960033e+00
6.190000000000000391e+00,1.001681603705369961e+00
6.177999999999999936e+00,1.003088886346630071e+00
6.136999999999999567e+00,1.004671310755050007e+00
6.150000000000000355e+00,9.992636245128669881e-01
6.147000000000000242e+00,9.935839203824969879e-01
6.238999999999999879e+00,1.000122640617149949e+00
6.187999999999999723e+00,1.002377333759999933e+00
6.200999999999999623e+00,9.991317442892450051e-01
6.062999999999999723e+00,9.959483952242359495e-01
6.174999999999999822e+00,9.990272914643280044e-01
