width_LLS_A,Weights
5.950000000000000178e+00,9.963980485277029731e-01
5.935999999999999943e+00,1.002775000984019949e+00
5.924000000000000377e+00,9.991029547750529538e-01
6.064000000000000057e+00,1.000525080417669965e+00
6.073000000000000398e+00,1.009049909447200077e+00
6.149000000000000021e+00,1.005623916431199971e+00
6.163999999999999702e+00,1.004330678934050036e+00
6.152000000000000135e+00,1.009005234045490029e+00
6.190999999999999837e+00,1.002429630543679950e+00
6.216000000000000192e+00,9.956586906774950174e-01
6.163999999999999702e+00,1.000495103882500070e+00
6.213000000000000078e+00,1.005555149803950110e+00
6.144999999999999574e+00,1.003134625971769944e+00
6.248999999999999666e+00,9.932197374573920046e-01
6.304000000000000270e+00,9.929642122800620418e-01
6.219000000000000306e+00,9.986064104340010017e-01
6.232999999999999652e+00,9.890190005046649580e-01
6.203999999999999737e+00,1.004222091232580105e+00
6.189000000000000057e+00,1.005350690112420065e+00
6.203000000000000291e+00,1.002125557239470055e+00
6.203000000000000291e+00,9.913423740989929511e-01
6.102999999999999758e+00,9.891933852441340269e-01
6.190999999999999837e+00,9.947612989004019912e-01
6.203999999999999737e+00,9.990655806081140122e-01
6.128999999999999559e+00,1.001879352848269900e+00
6.142000000000000348e+00,1.009679890479880049e+00
6.166000000000000369e+00,1.002227433667910006e+00
6.225999999999999979e+00,9.930349344164509651e-01
6.176000000000000156e+00,9.955778025795950503e-01
6.073000000000000398e+00,9.965629187626670049e-01
6.073000000000000398e+00,9.940826860565320500e-01
6.174999999999999822e+00,1.002556731755289920e+00
6.190999999999999837e+00,1.008940560603700076e+00
6.200000000000000178e+00,1.000319419470139914e+00
6.176000000000000156e+00,9.947528949746770044e-01
6.187999999999999723e+00,9.957603606026630416e-01
6.197000000000000064e+00,9.984090660967980257e-01
6.240000000000000213e+00,9.987916016040020439e-01
6.243999999999999773e+00,9.995173037470019839e-01
6.256000000000000227e+00,1.001766198397209928e+00
6.291000000000000369e+00,9.963570514974640080e-01
6.238999999999999879e+00,9.970412422396699448e-01
6.139000000000000234e+00,1.001112424601930062e+00
6.126000000000000334e+00,9.962767570562129915e-01
6.125000000000000000e+00,9.963391197935990151e-01
6.161999999999999922e+00,1.005911770780500092e+00
6.174999999999999822e+00,1.001485435276060043e+00
6.150000000000000355e+00,9.961728645932710347e-01
6.134999999999999787e+00,9.964502939927919467e-01
6.149000000000000021e+00,1.001622592004189904e+00
6.035000000000000142e+00,1.004249386047509907e+00
6.147999999999999687e+00,1.004522388304269986e+00
6.075000000000000178e+00,1.000468058079100109e+00
6.086000000000000298e+00,9.927066036094910340e-01
6.086000000000000298e+00,9.992534585660020063e-01
6.060999999999999943e+00,9.997578911094060494e-01
6.173000000000000043e+00,9.999864177057069536e-01
6.171000000000000263e+00,9.990613054315009567e-01
6.261000000000000121e+00,9.998118760999410437e-01
6.147000000000000242e+00,1.000917221968580018e+00
6.120000000000000107e+00,1.006810912824529947e+00
6.060999999999999943e+00,1.003481690863680109e+00
6.070999999999999730e+00,9.987323168205359813e-01
5.982000000000000206e+00,9.910428207093300301e-01
6.070000000000000284e+00,1.002927377327059943e+00
6.084999999999999964e+00,1.005235046366490081e+00
6.022999999999999687e+00,1.004880423661979938e+00
6.012999999999999901e+00,1.001491080975460024e+00
5.983999999999999986e+00,1.002143567545020097e+00
6.032000000000000028e+00,9.960711124703239827e-01
6.107000000000000206e+00,1.002241048595970074e+00
6.044999999999999929e+00,9.947808920288589984e-01
6.147000000000000242e+00,1.004212743438940070e+00
6.072000000000000064e+00,9.994480115223159933e-01
6.086000000000000298e+00,1.005839373563669925e+00
6.107999999999999652e+00,9.992305577977149689e-01
6.145999999999999908e+00,9.982581375133490198e-01
6.092999999999999972e+00,1.000427357457879918e+00
6.067999999999999616e+00,1.000655057874799914e+00
6.155999999999999694e+00,9.949853891083499935e-01
6.131000000000000227e+00,1.002824563326579987e+00
6.118999999999999773e+00,1.000408997890150031e+00
6.120000000000000107e+00,9.991673866591820330e-01
5.878999999999999559e+00,9.966000081668360266e-01
6.088000000000000078e+00,1.001415300787849905e+00
5.964000000000000412e+00,1.003642906183580097e+00
6.134999999999999787e+00,1.007516979361559928e+00
6.147000000000000242e+00,1.009442135886019942e+00
6.086000000000000298e+00,1.004779033052020099e+00
6.048000000000000043e+00,9.976350764385769621e-01
6.083000000000000185e+00,1.001857813637069938e+00
6.086000000000000298e+00,9.994343203232769479e-01
6.097999999999999865e+00,1.003138317245579891e+00
6.149000000000000021e+00,9.989950172815940110e-01
6.083000000000000185e+00,9.991477019305979868e-01
6.009000000000000341e+00,1.002352195536639901e+00
6.084999999999999964e+00,1.007617002128819994e+00
6.097999999999999865e+00,1.002608382394780007e+00
6.024000000000000021e+00,9.973503172940539896e-01
6.073999999999999844e+00,9.943385272239959605e-01
6.022000000000000242e+00,1.000270396214790081e+00
6.121999999999999886e+00,9.983917723781150499e-01
