width_LLS_A,Weights,error_LLS_A
6.052471740763389896e+00,9.966414737119699829e-01,-2.975282592366097489e-01
6.035233081834859625e+00,9.934986570657350358e-01,-3.147669181651400194e-01
6.027232094919430239e+00,9.975428990345159841e-01,-3.227679050805694061e-01
6.036216662210920347e+00,9.946372215512420123e-01,-3.137833377890792974e-01
6.000338174791820300e+00,9.995299326492730341e-01,-3.496618252081793443e-01
6.044453434010019777e+00,1.003689623543200016e+00,-3.055465659899798680e-01
6.113015886366490292e+00,1.004252351618240002e+00,-2.369841136335093523e-01
6.124367170370529578e+00,1.004215538236679972e+00,-2.256328296294700664e-01
6.123376334487660166e+00,1.001755128292080022e+00,-2.266236655123394783e-01
6.108631988886470410e+00,9.936322803368019541e-01,-2.413680111135292350e-01
6.140986999392610279e+00,9.997561024519949768e-01,-2.090130006073893654e-01
6.071144324121349634e+00,1.003967797371819959e+00,-2.788556758786500112e-01
6.074918212680819884e+00,1.002133048901139967e+00,-2.750817873191797602e-01
6.080044278996229679e+00,9.979334838491840109e-01,-2.699557210037699662e-01
6.072620374162029933e+00,9.995264810134060207e-01,-2.773796258379697122e-01
6.045612080213140338e+00,1.005056289289999905e+00,-3.043879197868593067e-01
6.108622614069149748e+00,9.901360877599679755e-01,-2.413773859308498970e-01
6.048390397384680206e+00,9.903974965897099914e-01,-3.016096026153194387e-01
6.089506976762569579e+00,9.995850940442330135e-01,-2.604930232374300658e-01
6.079857579262490042e+00,1.001920677955729921e+00,-2.701424207375096032e-01
6.151825549275850236e+00,1.001056368058669932e+00,-1.981744507241494091e-01
6.205612761701480018e+00,9.999625529482629727e-01,-1.443872382985196268e-01
6.259342920230790419e+00,9.982298409875199896e-01,-9.065707976920922562e-02
6.189842075044549752e+00,9.943965773700209621e-01,-1.601579249554498929e-01
6.177912892146290247e+00,9.974838602075990490e-01,-1.720871078537093979e-01
6.156494167185930344e+00,1.008105028171710105e+00,-1.935058328140693007e-01
6.115031515915090310e+00,9.971409892746510018e-01,-2.349684840849093348e-01
6.125783924256960056e+00,9.968013889876420341e-01,-2.242160757430395890e-01
6.164514003555700228e+00,9.971434428581800180e-01,-1.854859964442994169e-01
6.233204697893469870e+00,9.959239560033540384e-01,-1.167953021065297747e-01
6.179469510860290171e+00,9.995259785904869743e-01,-1.705304891397094735e-01
6.142524264830609759e+00,1.005116584116459988e+00,-2.074757351693898855e-01
6.177857792662139857e+00,1.009200975583609994e+00,-1.721422073378597872e-01
6.140750914621150081e+00,1.000420382463409918e+00,-2.092490853788495642e-01
6.149833361993390035e+00,9.970386135733919630e-01,-2.001666380066096096e-01
6.155309919650750139e+00,9.935977319174319478e-01,-1.946900803492495058e-01
6.067705723183119737e+00,9.927564013549310395e-01,-2.822942768168799077e-01
6.185245420140529582e+00,9.943765942333300245e-01,-1.647545798594700628e-01
6.226999533527229680e+00,9.969690230336260006e-01,-1.230004664727699648e-01
6.069110275941829613e+00,1.006816359036859954e+00,-2.808897240581700316e-01
6.085779684178800331e+00,9.965945219828530321e-01,-2.642203158211993141e-01
6.100932203482240190e+00,9.949382413883539611e-01,-2.490677965177594544e-01
6.129334629509679999e+00,9.943602752657390020e-01,-2.206653704903196456e-01
6.086493964328170136e+00,9.978058559558009577e-01,-2.635060356718295083e-01
6.104970247358029845e+00,1.005721879880119962e+00,-2.450297526419698002e-01
6.077057734516140286e+00,1.011820868620799896e+00,-2.729422654838593587e-01
6.121199322169440293e+00,1.005249295141589894e+00,-2.288006778305593514e-01
6.093187833973099821e+00,1.000094216126020008e+00,-2.568121660268998241e-01
6.031415373613230102e+00,9.959819901696510547e-01,-3.185846263867695427e-01
6.079283840333849831e+00,1.004429167283729996e+00,-2.707161596661498137e-01
6.041145573863060392e+00,9.973103903168170081e-01,-3.088544261369392530e-01
6.055452519393790034e+00,9.973998623701559874e-01,-2.945474806062096107e-01
6.098367905714360049e+00,9.955640613571630215e-01,-2.516320942856395959e-01
6.065274285956859579e+00,9.927338520468129701e-01,-2.847257140431400657e-01
6.146232502148840204e+00,1.004458079704799944e+00,-2.037674978511594404e-01
6.150817785707419993e+00,1.006713365377329916e+00,-1.991822142925796513e-01
6.114106104494060112e+00,1.007478319294990099e+00,-2.358938955059395326e-01
6.063425948388659670e+00,1.002661397853670033e+00,-2.865740516113399750e-01
5.967852553991139786e+00,1.005223568182670002e+00,-3.821474460088598590e-01
6.018280949623910026e+00,1.005117809141659935e+00,-3.317190503760896192e-01
6.037173103167210009e+00,1.005451203514649894e+00,-3.128268968327896360e-01
6.029424024069739652e+00,1.010196148953470097e+00,-3.205759759302599932e-01
6.132075262360030088e+00,1.005523447199550002e+00,-2.179247376399695568e-01
6.070184033867120021e+00,9.954957326593110167e-01,-2.798159661328796233e-01
6.057013738840000272e+00,1.008536982876180099e+00,-2.929862611599993727e-01
6.009979917537109806e+00,9.994554528585920528e-01,-3.400200824628898388e-01
5.969673703387729624e+00,9.959375180313380094e-01,-3.803262966122700206e-01
5.956786512257809640e+00,9.977229890371229759e-01,-3.932134877421900043e-01
5.956636287289300391e+00,1.003410106018669978e+00,-3.933637127106992537e-01
5.970210869139609855e+00,1.000713593872740059e+00,-3.797891308603897897e-01
5.978080555881789770e+00,9.964228208468309811e-01,-3.719194441182098743e-01
5.916220259014949967e+00,9.953048957524629481e-01,-4.337797409850496777e-01
5.898434844037190317e+00,9.954350076831299798e-01,-4.515651559628093281e-01
5.975520628214369800e+00,1.001286660888969893e+00,-3.744793717856298443e-01
5.985415835157909648e+00,9.987562190132579509e-01,-3.645841648420899972e-01
6.016623823827459638e+00,1.000906343159079892e+00,-3.333761761725400063e-01
6.051229529893990211e+00,9.953641597834560484e-01,-2.987704701060094337e-01
6.029353236335500021e+00,9.985750466314500251e-01,-3.206467636644996233e-01
6.048102876303460107e+00,9.994940181916860400e-01,-3.018971236965395377e-01
6.144532075546459637e+00,9.996574355316409921e-01,-2.054679244535400073e-01
6.131353870509509640e+00,9.986628861400099755e-01,-2.186461294904900043e-01
6.069203019609759941e+00,9.999244218390700434e-01,-2.807969803902397032e-01
6.032209947069859801e+00,1.002118552918999983e+00,-3.177900529301398436e-01
5.992657341219939759e+00,1.000323457107749947e+00,-3.573426587800598853e-01
5.847102945698470222e+00,1.000798120254670076e+00,-5.028970543015294226e-01
6.069679074882070147e+00,9.996215555356939841e-01,-2.803209251179294981e-01
6.042006684897219593e+00,9.987118288997449689e-01,-3.079933151027800520e-01
6.007885229733290089e+00,9.960976463446620244e-01,-3.421147702667095558e-01
5.993359671563720070e+00,9.969931114400190086e-01,-3.566403284362795745e-01
5.955062096385449699e+00,9.997920674139769703e-01,-3.949379036145499455e-01
5.966993485172140232e+00,1.002856068533340084e+00,-3.830065148278594123e-01
