width_LLS_B,Weights,error_LLS_B
6.430762085476340317e+00,9.944172067221149769e-01,8.076208547634067259e-02
6.406032313374639742e+00,9.923813107397400080e-01,5.603231337464009698e-02
6.379147670339669673e+00,9.914532620524340034e-01,2.914767033967002874e-02
6.352935148417619970e+00,9.940369622427800422e-01,2.935148417620325745e-03
6.339971766498649686e+00,9.991956217434709853e-01,-1.002823350134995906e-02
6.315775961827649887e+00,1.000437402907659923e+00,-3.422403817234975776e-02
6.292069373425570156e+00,9.994959566399950202e-01,-5.793062657442948904e-02
6.241987023376450061e+00,9.998357205646589696e-01,-1.080129766235495836e-01
6.214541012818240340e+00,1.001085623585389994e+00,-1.354589871817593050e-01
6.191977147890649569e+00,1.004540668451419982e+00,-1.580228521093500760e-01
6.192775468237160297e+00,1.005278229488240083e+00,-1.572245317628393479e-01
6.207046962928510325e+00,1.004173751224280098e+00,-1.429530370714893195e-01
6.181243887762399858e+00,1.001015739568130059e+00,-1.687561122375997869e-01
6.181033004280109822e+00,9.948640929752089468e-01,-1.689669957198898231e-01
6.206179662239890149e+00,9.923628155081389846e-01,-1.438203377601094957e-01
6.202774218041470000e+00,9.945706101152289591e-01,-1.472257819585296446e-01
6.179825402064370365e+00,9.889602170439499851e-01,-1.701745979356292793e-01
6.150601271420540250e+00,9.971622926529769559e-01,-1.993987285794593944e-01
6.191124615124460107e+00,9.987286533429570179e-01,-1.588753848755395381e-01
6.180204284649500224e+00,9.972673252542060274e-01,-1.697957153504994210e-01
6.153748857403919637e+00,9.945086897986810115e-01,-1.962511425960800082e-01
6.154687644389439605e+00,9.997663530151430500e-01,-1.953123556105600400e-01
6.141781907557449571e+00,1.006004789898000018e+00,-2.082180924425500734e-01
6.156169669526660115e+00,1.000373071774860012e+00,-1.938303304733395294e-01
6.193049329692120075e+00,1.002164075365989948e+00,-1.569506703078795695e-01
6.217380236080139788e+00,1.003968646511010032e+00,-1.326197639198598566e-01
6.217101012529870019e+00,1.003889304608200028e+00,-1.328989874701296259e-01
6.201029672562450301e+00,1.002521977449180035e+00,-1.489703274375493436e-01
6.153131560433269698e+00,1.002658163142529979e+00,-1.968684395667299469e-01
6.121691351252530389e+00,1.004563967660810020e+00,-2.283086487474692561e-01
6.124136918782919992e+00,1.001485521739599927e+00,-2.258630812170796531e-01
6.124784077826739725e+00,9.912656819205319936e-01,-2.252159221732599192e-01
6.112954114010669571e+00,9.923913953925179721e-01,-2.370458859893300740e-01
6.149983821116929761e+00,9.975321943624130272e-01,-2.000161788830698839e-01
6.125800029383920098e+00,9.988102401405160036e-01,-2.241999706160795469e-01
6.110692595770140123e+00,9.994741322293370089e-01,-2.393074042298595216e-01
6.103083564887509915e+00,1.005803913983329911e+00,-2.469164351124897294e-01
6.123900227796010398e+00,1.006000296969330021e+00,-2.260997722039892466e-01
6.114158159550670213e+00,9.959344591369340138e-01,-2.358418404493294318e-01
6.101065152905680300e+00,9.959285035847199596e-01,-2.489348470943193448e-01
6.135534695525730164e+00,9.965545225757349579e-01,-2.144653044742694803e-01
6.124969959110000417e+00,1.002462561837609956e+00,-2.250300408899992277e-01
6.085665534680660294e+00,1.004977517170400070e+00,-2.643344653193393512e-01
6.074711927326269745e+00,1.003360763332370009e+00,-2.752880726737299000e-01
6.075107571064069845e+00,1.003135053807679977e+00,-2.748924289359298001e-01
6.050000082644629629e+00,9.982398105397970456e-01,-2.999999173553700160e-01
6.061744468385319884e+00,9.896289003439120435e-01,-2.882555316146797608e-01
6.064034383147910212e+00,9.966593997136420358e-01,-2.859656168520894326e-01
6.102046378060400400e+00,9.991310575109979553e-01,-2.479536219395992447e-01
6.061792226726350208e+00,1.004310755581329984e+00,-2.882077732736494369e-01
6.046503121639809741e+00,9.959545682256519816e-01,-3.034968783601899034e-01
5.985956398103819964e+00,1.004738296628469918e+00,-3.640436018961796805e-01
5.933809316113889842e+00,9.974145759652269794e-01,-4.161906838861098024e-01
6.034948632755710030e+00,9.966744313532359678e-01,-3.150513672442896151e-01
6.082872101236389994e+00,9.994381985657010414e-01,-2.671278987636096502e-01
6.056668721335189964e+00,9.930817372337370497e-01,-2.933312786648096804e-01
6.044685020743430393e+00,1.005132096457900026e+00,-3.053149792565692522e-01
6.045877438387250002e+00,9.995545893743410515e-01,-3.041225616127496423e-01
6.044894705451869577e+00,1.008317869445330084e+00,-3.051052945481300682e-01
6.030530656584049964e+00,1.000425546875530092e+00,-3.194693434159496803e-01
6.048230567694980131e+00,9.989914774922670215e-01,-3.017694323050195138e-01
6.009062572481670195e+00,1.000617378837830085e+00,-3.409374275183294500e-01
6.034896188005220097e+00,1.010441676255789956e+00,-3.151038119947795479e-01
6.059792488196279692e+00,1.004702694811739905e+00,-2.902075118037199530e-01
6.043465396608140416e+00,1.000180068500329922e+00,-3.065346033918592283e-01
6.021797489122329594e+00,9.995760674023399517e-01,-3.282025108776700506e-01
6.044746562098359810e+00,9.917481450629900275e-01,-3.052534379016398347e-01
6.058980524807780377e+00,9.976098756309409454e-01,-2.910194751922192680e-01
6.035173319797870306e+00,1.002993417127669984e+00,-3.148266802021293387e-01
6.010218132480719788e+00,1.003874606896139943e+00,-3.397818675192798565e-01
6.023846777599840330e+00,9.984247735471919460e-01,-3.261532224001593150e-01
6.033732261212789716e+00,9.972131554431710176e-01,-3.162677387872099288e-01
6.017467407473009899e+00,9.989286057073499814e-01,-3.325325925269897454e-01
5.985029406778219929e+00,1.002966532604800065e+00,-3.649705932217797155e-01
5.904626321792090238e+00,1.003274972927199915e+00,-4.453736782079094070e-01
5.893798265974160344e+00,1.005002993268730105e+00,-4.562017340258393006e-01
