width_LLS_B,Weights
6.181000000000000050e+00,9.997647549226670316e-01
6.195000000000000284e+00,1.002486139244000096e+00
6.179999999999999716e+00,9.970275812945339489e-01
6.221000000000000085e+00,9.939379125182710162e-01
6.272000000000000242e+00,9.947789968384740389e-01
6.298000000000000043e+00,9.929902854150109981e-01
6.310999999999999943e+00,9.961351855423159485e-01
6.336999999999999744e+00,1.004674961764830066e+00
6.363999999999999879e+00,1.006569278613330010e+00
6.363000000000000433e+00,1.004455959931880082e+00
6.375000000000000000e+00,1.000941349435670036e+00
6.410999999999999588e+00,9.970309960794550008e-01
6.384999999999999787e+00,9.953199125263829661e-01
6.346000000000000085e+00,1.000818840093739892e+00
6.331999999999999851e+00,9.977253351285070293e-01
6.320999999999999730e+00,1.000594896814670065e+00
6.333999999999999631e+00,9.931867836592089827e-01
6.358999999999999986e+00,9.956060552482689507e-01
6.360999999999999766e+00,1.006869464579619899e+00
6.323000000000000398e+00,1.001569619527959976e+00
6.323999999999999844e+00,9.956507268363200547e-01
6.286999999999999922e+00,9.982288966389309959e-01
6.285000000000000142e+00,1.003006886083360083e+00
6.283999999999999808e+00,1.007925657182419998e+00
6.298000000000000043e+00,1.004375062645870065e+00
6.299000000000000377e+00,1.000769091726950055e+00
6.296999999999999709e+00,9.992108999073310294e-01
6.270999999999999908e+00,9.995125584933239882e-01
6.258000000000000007e+00,1.002118955567169900e+00
6.283000000000000362e+00,9.984004885275069574e-01
6.256999999999999673e+00,9.967376905432590029e-01
6.269999999999999574e+00,9.956042863612190041e-01
6.307000000000000384e+00,9.983756355039800079e-01
6.306000000000000050e+00,9.950712731644879572e-01
6.307999999999999829e+00,1.004167298291509969e+00
6.280000000000000249e+00,1.002835770889320077e+00
6.278999999999999915e+00,1.003027389074730102e+00
6.240000000000000213e+00,9.999233792076720473e-01
6.264000000000000234e+00,1.003005295036250022e+00
6.277999999999999581e+00,9.995094302791760477e-01
6.224999999999999645e+00,1.004035497442389957e+00
6.227000000000000313e+00,1.004953141722799925e+00
6.277000000000000135e+00,1.004030416809970072e+00
6.291999999999999815e+00,1.003451154640659926e+00
6.291000000000000369e+00,9.957256751825389607e-01
6.291999999999999815e+00,9.999235029159959653e-01
6.280000000000000249e+00,9.993875215025770364e-01
6.243000000000000327e+00,9.989134780291659688e-01
6.216000000000000192e+00,9.967179276388039577e-01
6.241999999999999993e+00,9.948662159809530392e-01
6.230000000000000426e+00,9.964927716029600147e-01
6.241999999999999993e+00,9.974745194936900372e-01
6.240000000000000213e+00,9.997906305756689704e-01
6.251999999999999780e+00,1.000717195550000049e+00
6.250000000000000000e+00,9.981638276789259745e-01
6.261000000000000121e+00,9.979601862793350264e-01
6.275000000000000355e+00,9.963607659848660036e-01
6.285999999999999588e+00,9.932921958550280372e-01
6.301000000000000156e+00,9.964982079816959715e-01
6.312999999999999723e+00,1.005525431263510017e+00
6.275999999999999801e+00,1.000442150562909971e+00
6.288999999999999702e+00,1.007526128025350021e+00
6.275000000000000355e+00,9.992164860003249771e-01
6.250000000000000000e+00,9.965325879768579531e-01
6.250000000000000000e+00,9.992996358706059956e-01
6.224000000000000199e+00,1.002728323708270031e+00
6.195999999999999730e+00,9.996673877750430481e-01
