TapeWidthAfterCompaction,Weights
6.227999999999999758e+00,9.920164816895920001e-01
6.251999999999999780e+00,9.901798295237389524e-01
6.291999999999999815e+00,9.953418921854769730e-01
6.269000000000000128e+00,1.001075889295190091e+00
6.267999999999999794e+00,9.966116596971980046e-01
6.307000000000000384e+00,9.983259111902650362e-01
6.307999999999999829e+00,9.968826690276769709e-01
6.347000000000000419e+00,9.981628227792640473e-01
6.386999999999999567e+00,9.971749241499919814e-01
6.373999999999999666e+00,1.001806929283999947e+00
6.363000000000000433e+00,1.002178364599600080e+00
6.386000000000000121e+00,9.977433071933360376e-01
6.373000000000000220e+00,1.007945461093370021e+00
6.360999999999999766e+00,1.003941187612360064e+00
6.358999999999999986e+00,1.004611524171739934e+00
6.347999999999999865e+00,9.988636482773519676e-01
6.283999999999999808e+00,9.978297281991700407e-01
6.309999999999999609e+00,9.948743742791550382e-01
6.261000000000000121e+00,9.919332639166650312e-01
6.238000000000000433e+00,9.982379397648409869e-01
6.237000000000000099e+00,1.005136284485470100e+00
6.251000000000000334e+00,1.007884020632469957e+00
6.264000000000000234e+00,9.957797450677220441e-01
6.277000000000000135e+00,9.984606745075289558e-01
6.312999999999999723e+00,9.999779333063010256e-01
6.323999999999999844e+00,1.000631916743569993e+00
6.347999999999999865e+00,1.001683377171370015e+00
6.323000000000000398e+00,9.992305475957330430e-01
6.283999999999999808e+00,9.976428542215990403e-01
6.256000000000000227e+00,9.997901563699910232e-01
6.232999999999999652e+00,1.003054138127069894e+00
6.258000000000000007e+00,1.017549021158669964e+00
6.307999999999999829e+00,9.947409842186729634e-01
6.296999999999999709e+00,1.004600934674650059e+00
6.349999999999999645e+00,1.008845967791689890e+00
6.373999999999999666e+00,9.975042021013179605e-01
6.365000000000000213e+00,1.001171466617859940e+00
6.349999999999999645e+00,1.005758837444439946e+00
6.310999999999999943e+00,9.966562020043789882e-01
6.296999999999999709e+00,9.988079300668939453e-01
6.283999999999999808e+00,9.989475152408130443e-01
