X_mm,Weights,Y_normalised,Weights
-5.752192396999990187e+00,2.750897380000070225e-01,-7.363618527998599950e-01,2.750897380000070225e-01
-5.202012920999980139e+00,2.669525710000020258e-01,-7.940069508002239873e-01,2.669525710000020258e-01
-4.668107778999970314e+00,2.738955970000149787e-01,-8.824138627999219553e-01,2.738955970000149787e-01
-4.120316584999939913e+00,3.009514519999719750e-01,-8.280455008002149953e-01,3.009514519999719750e-01
-3.518413681000000182e+00,3.070337310000160191e-01,-7.565509297999140070e-01,3.070337310000160191e-01
-2.904346218999970031e+00,3.365300560000020202e-01,-7.753359818000260528e-01,3.365300560000020202e-01
-2.231286106999959884e+00,3.376352009999890047e-01,-8.098475877998789763e-01,3.376352009999890047e-01
-1.556015704999990090e+00,3.311327309999920199e-01,-7.953340948002389776e-01,3.311327309999920199e-01
-8.937502430000020537e-01,3.537529910000160038e-01,-7.986437637999870276e-01,3.537529910000160038e-01
-1.862442609999709897e-01,3.928805130000009860e-01,-8.224255807998019918e-01,3.928805130000009860e-01
5.995167650000320370e-01,4.165003890000110176e-01,-7.958031427998549789e-01,4.165003890000110176e-01
1.432517543000050075e+00,4.141567269999770207e-01,-7.544925608001450401e-01,4.141567269999770207e-01
2.260830997000010001e+00,4.235377489999970213e-01,-7.714445307999540091e-01,4.235377489999970213e-01
3.107906494999999936e+00,4.322098690000220067e-01,-8.012418308000519573e-01,4.322098690000220067e-01
3.972326233000050166e+00,4.443859649999820083e-01,-7.839530548001789612e-01,4.443859649999820083e-01
4.861098163000010075e+00,4.462667190000069728e-01,-7.721613987998809936e-01,4.462667190000069728e-01
5.753631601000019913e+00,4.645380330000070113e-01,-7.560847708002139678e-01,4.645380330000070113e-01
6.682707667000039820e+00,4.885716890000060264e-01,-7.309388277999460115e-01,4.885716890000060264e-01
7.659851045000049652e+00,5.082243060000000145e-01,-7.231412678002020478e-01,5.082243060000000145e-01
8.676299657000049237e+00,5.179830509999819865e-01,-7.722095678001890118e-01,5.179830509999819865e-01
9.712265759000009879e+00,5.383687929999969590e-01,-8.122461997999149697e-01,5.383687929999969590e-01
1.078900334499999936e+01,5.573958960000040541e-01,-8.120103148000340498e-01,5.573958960000040541e-01
1.190379513699999947e+01,5.689750459999930454e-01,-8.116369558001680362e-01,5.689750459999930454e-01
1.304174522899999999e+01,6.036767930000059845e-01,-8.309294827999450517e-01,6.036767930000059845e-01
1.424909881499999997e+01,6.241859969999929980e-01,-8.202316247999870136e-01,6.241859969999929980e-01
1.549747080899999929e+01,6.229828920000179959e-01,-7.911447527999370122e-01,6.229828920000179959e-01
1.674343659299999842e+01,6.348192199999880270e-01,-7.901025888000390296e-01,6.348192199999880270e-01
1.801307503299999979e+01,6.582952690000070106e-01,-7.826476888001250298e-01,6.582952690000070106e-01
1.932966557099999960e+01,6.562530979999989800e-01,-7.554704687998989865e-01,6.562530979999989800e-01
2.064217176700000067e+01,6.654097909999959759e-01,-7.444815718001790428e-01,6.654097909999959759e-01
2.197299134900000084e+01,6.922135950000090077e-01,-7.384674847999119773e-01,6.922135950000090077e-01
2.335741853900000109e+01,7.161745499999859765e-01,-7.064829967999339821e-01,7.161745499999859765e-01
2.478976763900000080e+01,7.297509819999999925e-01,-7.068476588001999517e-01,7.297509819999999925e-01
2.624926960299999834e+01,7.557827390000040335e-01,-7.617529528001799610e-01,7.557827390000040335e-01
2.776083508099999975e+01,7.697628820000089744e-01,-7.987358678002469681e-01,7.697628820000089744e-01
2.930036084500000015e+01,7.829110729999939622e-01,-7.991294367999439707e-01,7.829110729999939622e-01
3.086618299099999874e+01,8.087661539999939642e-01,-8.039783198000239883e-01,8.087661539999939642e-01
3.248371529900000354e+01,8.180661400000029948e-01,-8.198197898001350348e-01,8.180661400000029948e-01
3.411984757900000176e+01,8.454625400000029822e-01,-8.105675038000299537e-01,8.454625400000029822e-01
3.581077265900000128e+01,8.536471379999960307e-01,-7.961235607999129771e-01,8.536471379999960307e-01
