x,Weights,y,Weights
-5.856572391000000266e+00,2.689691290000180146e-01,-7.846194747999110097e-01,2.689691290000180146e-01
-5.318634132999969566e+00,2.617370589999900021e-01,-8.559314238002000419e-01,2.617370589999900021e-01
-4.795160014999989784e+00,2.983559820000200036e-01,-9.019738718002370259e-01,2.983559820000200036e-01
-4.198448050999949999e+00,2.992101959999939886e-01,-8.448196148000870487e-01,2.992101959999939886e-01
-3.600027658999959801e+00,3.039248350000010035e-01,-7.825065997998880141e-01,3.039248350000010035e-01
-2.992177988999960014e+00,3.259075409999739881e-01,-7.976472298000200079e-01,3.259075409999739881e-01
-2.340362907000010040e+00,3.339419540000109765e-01,-7.933706007999600240e-01,3.339419540000109765e-01
-1.672478998999989974e+00,3.485611839999909756e-01,-7.722851648002230229e-01,3.485611839999909756e-01
-9.753566310000080231e-01,3.679311630000000055e-01,-7.896342838000119935e-01,3.679311630000000055e-01
-2.394943050000070128e-01,3.876176700000250053e-01,-8.188545687999070344e-01,3.876176700000250053e-01
5.357410350000429977e-01,3.982144819999889895e-01,-8.008531198002519780e-01,3.982144819999889895e-01
1.332169999000019978e+00,4.053412450000010159e-01,-7.856446357999969932e-01,4.053412450000010159e-01
2.142852489000020011e+00,4.176033929999939942e-01,-8.095775158000719784e-01,4.176033929999939942e-01
2.978059275000009887e+00,4.319236580000169745e-01,-8.420202598001079730e-01,4.319236580000169745e-01
3.841906591000039839e+00,4.416777409999799731e-01,-8.147089958000039989e-01,4.416777409999799731e-01
4.725262072999999674e+00,4.436700280000129837e-01,-7.782178878000539646e-01,4.436700280000129837e-01
5.612602129000030082e+00,4.525707849999939802e-01,-7.764427658000270238e-01,4.525707849999939802e-01
6.517743699000019930e+00,4.985277069999909938e-01,-7.706747817999259897e-01,4.985277069999909938e-01
7.514799112999999586e+00,5.332718380000179836e-01,-7.607635697999060032e-01,5.332718380000179836e-01
8.581342789000029114e+00,5.446831019999980317e-01,-7.749765938002609600e-01,5.446831019999980317e-01
9.670708993000030063e+00,5.486239500000119618e-01,-8.029640797998920387e-01,5.486239500000119618e-01
1.076795689300010039e+01,5.567536589999829699e-01,-7.935513278001740112e-01,5.567536589999829699e-01
1.188146421100000083e+01,5.637389260000069680e-01,-7.882254878002189491e-01,5.637389260000069680e-01
1.300894206299999922e+01,6.061836369999880070e-01,-8.170809238000630303e-01,6.061836369999880070e-01
1.422130933699999922e+01,6.263828140000150535e-01,-8.240339658000830347e-01,6.263828140000150535e-01
1.547407496499999979e+01,6.325100929999939448e-01,-7.666402118002220156e-01,6.325100929999939448e-01
1.673909515100000078e+01,6.437736239999980459e-01,-7.484665397998360170e-01,6.437736239999980459e-01
1.802664239899999998e+01,6.495062670000030236e-01,-7.739947758000199629e-01,6.495062670000030236e-01
1.932565493299999915e+01,6.550276199999840454e-01,-7.898184318001429949e-01,6.550276199999840454e-01
2.063571017299999966e+01,6.792892890000029604e-01,-7.709848128001790535e-01,6.792892890000029604e-01
2.199428875099999914e+01,7.011254830000039906e-01,-7.424014188001709647e-01,7.011254830000039906e-01
2.339653971699999957e+01,7.180284700000040266e-01,-7.243670198001269656e-01,7.180284700000040266e-01
2.483259665699999985e+01,7.386520930000040064e-01,-7.195012617998489679e-01,7.386520930000040064e-01
2.630990084300000120e+01,7.511333220000120381e-01,-7.353391758002200129e-01,7.511333220000120381e-01
2.781216748700009944e+01,7.832108779999810144e-01,-7.498015068001110395e-01,7.832108779999810144e-01
2.937858924300000041e+01,7.998976910000019647e-01,-7.476083428001060183e-01,7.998976910000019647e-01
3.097838462500000034e+01,8.136590649999959624e-01,-7.334758927998450417e-01,8.136590649999959624e-01
3.260570275500000292e+01,8.187643760000079540e-01,-7.277352297998620489e-01,8.187643760000079540e-01
3.424323150699999729e+01,8.425248599999940469e-01,-7.254004088002260486e-01,8.425248599999940469e-01
3.592828122699999938e+01,8.609377810000079512e-01,-7.133093078001020437e-01,8.609377810000079512e-01
3.765015678900000040e+01,8.807478399999799645e-01,-6.971125077998859831e-01,8.807478399999799645e-01
3.941165246900000341e+01,8.913179290000210475e-01,-6.906661067999949610e-01,8.913179290000210475e-01
4.119428832700000243e+01,9.002318149999980479e-01,-6.860707508001839816e-01,9.002318149999980479e-01
4.299475195699999830e+01,8.985197239999820340e-01,-6.954889877998200465e-01,8.985197239999820340e-01
4.479179140499999789e+01,9.217264650000199788e-01,-7.151083168001259871e-01,9.217264650000199788e-01
4.663524433500000299e+01,9.400253899999989615e-01,-7.231092447999569739e-01,9.400253899999989615e-01
4.851529511500000069e+01,9.392826189999969877e-01,-7.230110017999320515e-01,9.392826189999969877e-01
5.039386035300000088e+01,9.605041869999909609e-01,-7.319838447998560094e-01,9.605041869999909609e-01
5.231486872699999680e+01,9.694311120000059789e-01,-7.475233457998909925e-01,9.694311120000059789e-01
5.425373095100000143e+01,9.765905020000039682e-01,-7.599942647998999545e-01,9.765905020000039682e-01
5.620691195500000248e+01,9.853474319999899755e-01,-7.776503497998989989e-01,9.853474319999899755e-01
5.817760681899999753e+01,9.841933229999999533e-01,-7.862793967999549549e-01,9.841933229999999533e-01
6.014599346499999655e+01,9.901550680000109628e-01,-7.720206187999000269e-01,9.901550680000109628e-01
6.212630360099999649e+01,1.002733813000010077e+00,-7.560794848001249902e-01,1.002733813000010077e+00
6.413177122700000155e+01,1.003817905999980109e+00,-7.597290468000319485e-01,1.003817905999980109e+00
6.613940703900000528e+01,9.956044759999970184e-01,-7.662667708001440481e-01,9.956044759999970184e-01
6.813061599099999910e+01,9.982151840000029752e-01,-7.657789268000100291e-01,9.982151840000029752e-01
7.012704635900000483e+01,9.963736159999929676e-01,-7.690242558002180484e-01,9.963736159999929676e-01
7.211979359100000408e+01,9.916816620000189486e-01,-7.954817638000689639e-01,9.916816620000189486e-01
7.410315691499999957e+01,9.956207339999849637e-01,-8.154707427997890390e-01,9.956207339999849637e-01
7.609439838299999792e+01,9.941239499999949825e-01,-7.980030357998659785e-01,9.941239499999949825e-01
7.808264628300000254e+01,1.006443408000019968e+00,-7.807310217997950330e-01,1.006443408000019968e+00
8.009553309899999363e+01,1.005701635999979970e+00,-8.090612937998570287e-01,1.005701635999979970e+00
8.210693637100000331e+01,9.992996099999940096e-01,-8.464944037999090343e-01,9.992996099999940096e-01
8.410553559100000598e+01,9.910998850000249938e-01,-8.526384787998040338e-01,9.910998850000249938e-01
8.608773536100000001e+01,1.008026375999979907e+00,-8.346959788000849478e-01,1.008026375999979907e+00
8.810378811299999313e+01,1.005230081000010101e+00,-8.307617277999379546e-01,1.005230081000010101e+00
9.011424827499999424e+01,1.001366172999990090e+00,-8.341368787998819645e-01,1.001366172999990090e+00
9.211698062099999618e+01,9.962033090000089741e-01,-8.249604627998790018e-01,9.962033090000089741e-01
9.410938723900000014e+01,9.867028309999880120e-01,-8.103638288000639678e-01,9.867028309999880120e-01
9.608279290100000480e+01,1.006869138000030084e+00,-8.138406228000579778e-01,1.006869138000030084e+00
9.809653117700000280e+01,1.007157256999990036e+00,-8.220048648000779501e-01,1.007157256999990036e+00
1.001108456909999944e+02,1.001751918999999935e+00,-8.051664688000530479e-01,1.001751918999999935e+00
1.021143495289999947e+02,9.951059550000069809e-01,-7.919572218001460495e-01,9.951059550000069809e-01
1.041045614389999940e+02,1.003021577999980041e+00,-7.915475447999820169e-01,1.003021577999980041e+00
1.061106045949999981e+02,9.989278810000220554e-01,-8.052689868001150497e-01,9.989278810000220554e-01
