x,Weights,y,Weights,error_LT
-5.923906074999989890e+00,2.600854070000129803e-01,-7.954793787999959731e-01,2.600854070000129803e-01,-7.954793787999959731e-01
-5.403735260999970258e+00,2.541522929999819880e-01,-8.538290228001419457e-01,2.541522929999819880e-01,-8.538290228001419457e-01
-4.895430675000000065e+00,2.786326409999970166e-01,-8.797778167999580345e-01,2.786326409999970166e-01,-8.797778167999580345e-01
-4.338165393000010361e+00,3.023054980000070002e-01,-8.159070727998599670e-01,3.023054980000070002e-01,-8.159070727998599670e-01
-3.733554396999990033e+00,3.200859389999909932e-01,-7.743030148001820434e-01,3.200859389999909932e-01,-7.743030148001820434e-01
-3.093382519000010156e+00,3.352213010000130167e-01,-8.117115957998639608e-01,3.352213010000130167e-01,-8.117115957998639608e-01
-2.422939916999990118e+00,3.295223050000120057e-01,-8.354539358001600302e-01,3.295223050000120057e-01,-8.354539358001600302e-01
-1.763895306999960111e+00,3.267406929999809861e-01,-7.998913078001239629e-01,3.267406929999809861e-01,-7.998913078001239629e-01
-1.110413920999999915e+00,3.475630320000139828e-01,-7.896939288001479929e-01,3.475630320000139828e-01,-7.896939288001479929e-01
-4.152878569999700065e-01,3.762483670000110192e-01,-8.071641018000259571e-01,3.762483670000110192e-01,-8.071641018000259571e-01
3.372088770000509772e-01,3.953764479999999915e-01,-7.944035978002259579e-01,3.953764479999999915e-01,-7.944035978002259579e-01
1.127961773000049961e+00,3.972552940000029786e-01,-7.674961648002069925e-01,3.972552940000029786e-01,-7.674961648002069925e-01
1.922472361000060026e+00,3.977490209999789972e-01,-7.713288858001869919e-01,3.977490209999789972e-01,-7.713288858001869919e-01
2.717970403000019797e+00,4.071923000000169934e-01,-8.100168377999920066e-01,4.071923000000169934e-01,-8.100168377999920066e-01
3.532355003000049898e+00,4.203716749999930058e-01,-7.935424678002509502e-01,4.203716749999930058e-01,-7.935424678002509502e-01
4.373098353000039573e+00,4.281965630000080236e-01,-7.475213498001950230e-01,4.281965630000080236e-01,-7.475213498001950230e-01
5.229491479000049736e+00,4.474923979999960166e-01,-7.475555328001629585e-01,4.474923979999960166e-01,-7.475555328001629585e-01
6.124476275000040104e+00,4.829678569999820148e-01,-7.744157848001119726e-01,4.829678569999820148e-01,-7.744157848001119726e-01
7.090411989000010351e+00,4.958187960000129957e-01,-7.632905498000469580e-01,4.958187960000129957e-01,-7.632905498000469580e-01
8.082049581000029903e+00,5.018518889999790122e-01,-7.637438198001970102e-01,5.018518889999790122e-01,-7.637438198001970102e-01
9.085753358999989260e+00,5.196410510000060157e-01,-7.825567327997760003e-01,5.196410510000060157e-01,-7.825567327997760003e-01
1.012503546099999951e+01,5.246619749999980042e-01,-7.754021627999350130e-01,5.246619749999980042e-01,-7.754021627999350130e-01
1.117435941099999930e+01,5.415331330000090482e-01,-7.686936107998010304e-01,5.415331330000090482e-01,-7.686936107998010304e-01
1.225742567700000052e+01,5.825383909999990451e-01,-7.740494917998149704e-01,5.825383909999990451e-01,-7.740494917998149704e-01
1.342250245900000039e+01,6.053578319999890489e-01,-7.597059917999330336e-01,6.053578319999890489e-01,-7.597059917999330336e-01
1.463321812300000069e+01,6.012045840000159735e-01,-7.377275297999970061e-01,6.012045840000159735e-01,-7.377275297999970061e-01
1.583562729099999977e+01,5.960534059999980094e-01,-7.281613308002190532e-01,5.960534059999980094e-01,-7.281613308002190532e-01
1.702773410300000023e+01,6.068635269999940185e-01,-7.311355048000790502e-01,6.068635269999940185e-01,-7.311355048000790502e-01
1.824146115699999982e+01,6.227811790000039593e-01,-7.268337408002030209e-01,6.227811790000039593e-01,-7.268337408002030209e-01
1.948702351500000063e+01,6.507936480000090507e-01,-7.187324407998400000e-01,6.507936480000090507e-01,-7.187324407998400000e-01
2.078861081100000163e+01,6.677385060000079475e-01,-7.094676847998470093e-01,6.677385060000079475e-01,-7.094676847998470093e-01
2.212408782300009946e+01,6.787355249999790230e-01,-6.972983468001530127e-01,6.787355249999790230e-01,-6.972983468001530127e-01
2.348155887300000089e+01,6.913153800000100269e-01,-7.019379338000819590e-01,6.913153800000100269e-01,-7.019379338000819590e-01
2.486418963299999874e+01,7.126389249999860453e-01,-7.262034968001099822e-01,7.126389249999860453e-01,-7.262034968001099822e-01
2.628946748299999925e+01,7.374711500000049602e-01,-7.430580148001130203e-01,7.374711500000049602e-01,-7.430580148001130203e-01
2.776440978300000140e+01,7.638991180000029857e-01,-7.350626558001069899e-01,7.638991180000029857e-01,-7.350626558001069899e-01
2.929220801900000026e+01,7.697879399999829619e-01,-7.230338697999060260e-01,7.697879399999829619e-01,-7.230338697999060260e-01
3.083178389900000127e+01,7.831514380000169639e-01,-7.243164387998599629e-01,7.831514380000169639e-01,-7.243164387998599629e-01
