x,y_LE,y_RE
0.000000000000000000e+00,1.250000000000000000e+02,1.278130000000000024e+02
4.826254826254825826e-04,1.250000000000000000e+02,1.277870000000000061e+02
9.116259116259116954e-04,1.250000000000000000e+02,1.277729999999999961e+02
1.394251394251394115e-03,1.250000000000000000e+02,1.277870000000000061e+02
1.876876876876877077e-03,1.250000000000000000e+02,1.278370000000000033e+02
2.359502359502359606e-03,1.250000000000000000e+02,1.278610000000000042e+02
2.788502788502788231e-03,1.250000000000000000e+02,1.278359999999999985e+02
3.271128271128271193e-03,1.250000000000000000e+02,1.278340000000000032e+02
3.753753753753754155e-03,1.250000000000000000e+02,1.278449999999999989e+02
4.236379236379236683e-03,1.250000000000000000e+02,1.278559999999999945e+02
4.665379665379665308e-03,1.250000000000000000e+02,1.278430000000000035e+02
5.148005148005147837e-03,1.250000000000000000e+02,1.278319999999999936e+02
5.630630630630630365e-03,1.250000000000000000e+02,1.278340000000000032e+02
6.059631059631059857e-03,1.250000000000000000e+02,1.278599999999999994e+02
6.488631488631488482e-03,1.250000000000000000e+02,1.278979999999999961e+02
7.024882024882024914e-03,1.250000000000000000e+02,1.278870000000000005e+02
7.453882453882454406e-03,1.250000000000000000e+02,1.278739999999999952e+02
7.936507936507936067e-03,1.250000000000000000e+02,1.278859999999999957e+02
8.365508365508365560e-03,1.250000000000000000e+02,1.278610000000000042e+02
8.848133848133848955e-03,1.250000000000000000e+02,1.278469999999999942e+02
9.330759330759330616e-03,1.250000000000000000e+02,1.278350000000000080e+02
9.813384813384814012e-03,1.250000000000000000e+02,1.278569999999999993e+02
1.024238524238524350e-02,1.250000000000000000e+02,1.278829999999999956e+02
1.072501072501072517e-02,1.250000000000000000e+02,1.278580000000000041e+02
1.120763620763620683e-02,1.250000000000000000e+02,1.278569999999999993e+02
1.163663663663663632e-02,1.250000000000000000e+02,1.278810000000000002e+02
1.211926211926211971e-02,1.250000000000000000e+02,1.278829999999999956e+02
1.260188760188760138e-02,1.250000000000000000e+02,1.278700000000000045e+02
1.308451308451308477e-02,1.250000000000000000e+02,1.278469999999999942e+02
1.351351351351351426e-02,1.250000000000000000e+02,1.278479999999999990e+02
