time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
0.000000000000000000e+00,3.144000000000000128e+00,8.227000000000000313e+00,5.083000000000000185e+00,0.000000000000000000e+00,2.843559999999999945e+02,0.000000000000000000e+00,1.963999999999999968e+00,9.369999999999999218e+00,7.405999999999999694e+00,0.000000000000000000e+00,2.906299999999999955e+02
8.999999999999999320e-03,3.169000000000000039e+00,8.288999999999999702e+00,5.120000000000000107e+00,4.977050268207708437e-04,2.843310000000000173e+02,8.999999999999999320e-03,1.975999999999999979e+00,9.381999999999999673e+00,7.405999999999999694e+00,4.953219592735277552e-04,2.906179999999999950e+02
1.700000000000000122e-02,3.194999999999999840e+00,8.339000000000000412e+00,5.144000000000000128e+00,9.401094951059006753e-04,2.843050000000000068e+02,1.799999999999999864e-02,2.000999999999999890e+00,9.407000000000000028e+00,7.405999999999999694e+00,9.906439185470555103e-04,2.905930000000000177e+02
2.599999999999999881e-02,3.233999999999999986e+00,8.416000000000000369e+00,5.182000000000000384e+00,1.437814521926671519e-03,2.842660000000000196e+02,2.599999999999999881e-02,2.052000000000000046e+00,9.444000000000000838e+00,7.392000000000000348e+00,1.430930104567969046e-03,2.905559999999999832e+02
3.500000000000000333e-02,3.245999999999999996e+00,8.429999999999999716e+00,5.184000000000000163e+00,1.935519548747442579e-03,2.842540000000000191e+02,3.500000000000000333e-02,2.077999999999999847e+00,9.458000000000000185e+00,7.379999999999999893e+00,1.926252063841497018e-03,2.905419999999999732e+02
4.299999999999999656e-02,3.194999999999999840e+00,8.406000000000000583e+00,5.211000000000000298e+00,2.377924017032571977e-03,2.843050000000000068e+02,4.399999999999999745e-02,2.116999999999999993e+00,9.493999999999999773e+00,7.376999999999999780e+00,2.421574023115024340e-03,2.905059999999999718e+02
5.199999999999999761e-02,3.209999999999999964e+00,8.429999999999999716e+00,5.219999999999999751e+00,2.875629043853343038e-03,2.842900000000000205e+02,5.199999999999999761e-02,2.180000000000000160e+00,9.534000000000000696e+00,7.354000000000000092e+00,2.861860209135938093e-03,2.904660000000000082e+02
6.099999999999999867e-02,3.208000000000000185e+00,8.455999999999999517e+00,5.248000000000000220e+00,3.373334070674113665e-03,2.842919999999999732e+02,6.099999999999999867e-02,2.193000000000000060e+00,9.534000000000000696e+00,7.341000000000000192e+00,3.357182168409465848e-03,2.904660000000000082e+02
7.000000000000000666e-02,3.182999999999999829e+00,8.455000000000000071e+00,5.272000000000000242e+00,3.871039097494885159e-03,2.843170000000000073e+02,7.000000000000000666e-02,2.218999999999999861e+00,9.532000000000000028e+00,7.312999999999999723e+00,3.852504127682994037e-03,2.904680000000000177e+02
7.799999999999999989e-02,3.182999999999999829e+00,8.455000000000000071e+00,5.272000000000000242e+00,4.313443565780014123e-03,2.843170000000000073e+02,7.900000000000000078e-02,2.230999999999999872e+00,9.523999999999999133e+00,7.293000000000000149e+00,4.347826086956521792e-03,2.904759999999999991e+02
8.699999999999999400e-02,3.182999999999999829e+00,8.492000000000000881e+00,5.309000000000000163e+00,4.811148592600784750e-03,2.843170000000000073e+02,8.699999999999999400e-02,2.229999999999999982e+00,9.509000000000000341e+00,7.278999999999999915e+00,4.788112272977434677e-03,2.904909999999999854e+02
9.600000000000000200e-02,3.245999999999999996e+00,8.541000000000000369e+00,5.294999999999999929e+00,5.308853619421556244e-03,2.842540000000000191e+02,9.600000000000000200e-02,2.244000000000000217e+00,9.496999999999999886e+00,7.253000000000000114e+00,5.283434232250963300e-03,2.905029999999999859e+02
1.039999999999999952e-01,3.258999999999999897e+00,8.567000000000000171e+00,5.307999999999999829e+00,5.751258087706686076e-03,2.842409999999999854e+02,1.049999999999999961e-01,2.244000000000000217e+00,9.470000000000000639e+00,7.225999999999999979e+00,5.778756191524490188e-03,2.905299999999999727e+02
1.130000000000000032e-01,3.270999999999999908e+00,8.592999999999999972e+00,5.322000000000000064e+00,6.248963114527456703e-03,2.842289999999999850e+02,1.140000000000000041e-01,2.269000000000000128e+00,9.483000000000000540e+00,7.214000000000000412e+00,6.274078150798018810e-03,2.905169999999999959e+02
1.219999999999999973e-01,3.270999999999999908e+00,8.630000000000000782e+00,5.358999999999999986e+00,6.746668141348227329e-03,2.842289999999999850e+02,1.219999999999999973e-01,2.318999999999999950e+00,9.506999999999999673e+00,7.187999999999999723e+00,6.714364336818931696e-03,2.904929999999999950e+02
1.310000000000000053e-01,3.283999999999999808e+00,8.653999999999999915e+00,5.370000000000000107e+00,7.244373168168998824e-03,2.842160000000000082e+02,1.300000000000000044e-01,2.345000000000000195e+00,9.496999999999999886e+00,7.152000000000000135e+00,7.154650522839845449e-03,2.905029999999999859e+02
1.390000000000000124e-01,3.322000000000000064e+00,8.705999999999999517e+00,5.384000000000000341e+00,7.686777636454129523e-03,2.841779999999999973e+02,1.400000000000000133e-01,2.382000000000000117e+00,9.548999999999999488e+00,7.166999999999999815e+00,7.705008255365988074e-03,2.904510000000000218e+02
1.479999999999999927e-01,3.347999999999999865e+00,8.733000000000000540e+00,5.384999999999999787e+00,8.184482663274898415e-03,2.841519999999999868e+02,1.479999999999999927e-01,2.407999999999999918e+00,9.548000000000000043e+00,7.139999999999999680e+00,8.145294441386900092e-03,2.904519999999999982e+02
1.570000000000000007e-01,3.347999999999999865e+00,8.746000000000000441e+00,5.397999999999999687e+00,8.682187690095670776e-03,2.841519999999999868e+02,1.559999999999999998e-01,2.434000000000000163e+00,9.548999999999999488e+00,7.115000000000000213e+00,8.585580627407813845e-03,2.904510000000000218e+02
1.660000000000000087e-01,3.359999999999999876e+00,8.772999999999999687e+00,5.413000000000000256e+00,9.179892716916441403e-03,2.841399999999999864e+02,1.660000000000000087e-01,2.459999999999999964e+00,9.560000000000000497e+00,7.099999999999999645e+00,9.135938359933957337e-03,2.904399999999999977e+02
1.739999999999999880e-01,3.399000000000000021e+00,8.798000000000000043e+00,5.399000000000000021e+00,9.622297185201569500e-03,2.841009999999999991e+02,1.739999999999999880e-01,2.472999999999999865e+00,9.537000000000000810e+00,7.064000000000000057e+00,9.576224545954869355e-03,2.904630000000000223e+02
1.819999999999999951e-01,3.411999999999999922e+00,8.821999999999999176e+00,5.410000000000000142e+00,1.006470165348670107e-02,2.840880000000000223e+02,1.829999999999999960e-01,2.498000000000000220e+00,9.561999999999999389e+00,7.064000000000000057e+00,1.007154650522839798e-02,2.904379999999999882e+02
1.910000000000000031e-01,3.399000000000000021e+00,8.821999999999999176e+00,5.423000000000000043e+00,1.056240668030747169e-02,2.841009999999999991e+02,1.920000000000000040e-01,2.523000000000000131e+00,9.561999999999999389e+00,7.038999999999999702e+00,1.056686846450192660e-02,2.904379999999999882e+02
2.000000000000000111e-01,3.347999999999999865e+00,8.772000000000000242e+00,5.424000000000000377e+00,1.106011170712824232e-02,2.841519999999999868e+02,2.000000000000000111e-01,2.560999999999999943e+00,9.599999999999999645e+00,7.038999999999999702e+00,1.100715465052284035e-02,2.903999999999999773e+02
2.079999999999999905e-01,3.361000000000000210e+00,8.784000000000000696e+00,5.423000000000000043e+00,1.150251617541337215e-02,2.841390000000000100e+02,2.089999999999999913e-01,2.612000000000000099e+00,9.627000000000000668e+00,7.014999999999999680e+00,1.150247660979636724e-02,2.903729999999999905e+02
2.169999999999999984e-01,3.373000000000000220e+00,8.805999999999999162e+00,5.432999999999999829e+00,1.200022120223414278e-02,2.841270000000000095e+02,2.169999999999999984e-01,2.637000000000000011e+00,9.612000000000000099e+00,6.974999999999999645e+00,1.194276279581728099e-02,2.903879999999999768e+02
2.260000000000000064e-01,3.358999999999999986e+00,8.807000000000000384e+00,5.448000000000000398e+00,1.249792622905491341e-02,2.841410000000000196e+02,2.260000000000000064e-01,2.650999999999999801e+00,9.622999999999999332e+00,6.972000000000000419e+00,1.243808475509080962e-02,2.903770000000000095e+02
2.340000000000000135e-01,3.346000000000000085e+00,8.807000000000000384e+00,5.461000000000000298e+00,1.294033069734004497e-02,2.841539999999999964e+02,2.349999999999999867e-01,2.662999999999999812e+00,9.624000000000000554e+00,6.961000000000000298e+00,1.293340671436433477e-02,2.903759999999999764e+02
2.429999999999999938e-01,3.358999999999999986e+00,8.845000000000000639e+00,5.485999999999999766e+00,1.343803572416081386e-02,2.841410000000000196e+02,2.439999999999999947e-01,2.649999999999999911e+00,9.609999999999999432e+00,6.959999999999999964e+00,1.342872867363786339e-02,2.903899999999999864e+02
2.520000000000000018e-01,3.410000000000000142e+00,8.907000000000000028e+00,5.496999999999999886e+00,1.393574075098158623e-02,2.840899999999999750e+02,2.530000000000000027e-01,2.636000000000000121e+00,9.586000000000000298e+00,6.950000000000000178e+00,1.392405063291139201e-02,2.904139999999999873e+02
2.610000000000000098e-01,3.462000000000000188e+00,8.945999999999999730e+00,5.483999999999999986e+00,1.443344577780235685e-02,2.840380000000000109e+02,2.610000000000000098e-01,2.624000000000000110e+00,9.560000000000000497e+00,6.935999999999999943e+00,1.436433681893230577e-02,2.904399999999999977e+02
2.700000000000000178e-01,3.487000000000000099e+00,8.983999999999999986e+00,5.496999999999999886e+00,1.493115080462312748e-02,2.840129999999999768e+02,2.700000000000000178e-01,2.650999999999999801e+00,9.561999999999999389e+00,6.910999999999999588e+00,1.485965877820583439e-02,2.904379999999999882e+02
2.780000000000000249e-01,3.487999999999999989e+00,8.984999999999999432e+00,5.496999999999999886e+00,1.537355527290825905e-02,2.840120000000000005e+02,2.790000000000000258e-01,2.662999999999999812e+00,9.574999999999999289e+00,6.911999999999999922e+00,1.535498073747936301e-02,2.904250000000000114e+02
2.869999999999999774e-01,3.475000000000000089e+00,8.983999999999999986e+00,5.509000000000000341e+00,1.587126029972902794e-02,2.840249999999999773e+02,2.869999999999999774e-01,2.688000000000000167e+00,9.601000000000000867e+00,6.913000000000000256e+00,1.579526692350027156e-02,2.903990000000000009e+02
2.959999999999999853e-01,3.512999999999999901e+00,9.010999999999999233e+00,5.498000000000000220e+00,1.636896532654979683e-02,2.839870000000000232e+02,2.959999999999999853e-01,2.728000000000000203e+00,9.640000000000000568e+00,6.911999999999999922e+00,1.629058888277380018e-02,2.903600000000000136e+02
