x_LE,y_LE,x_RE,y_RE
0.000000000000000000e+00,4.090230000000000246e+02,0.000000000000000000e+00,4.152509999999999764e+02
4.982836895138964724e-04,4.090350000000000250e+02,4.927187123617650160e-04,4.152119999999999891e+02
9.965673790277929447e-04,4.090230000000000246e+02,9.854374247235300321e-04,4.152010000000000218e+02
1.439486214151256644e-03,4.089710000000000036e+02,1.478156137085295157e-03,4.151630000000000109e+02
1.937769903665153334e-03,4.089580000000000268e+02,1.916128325851308841e-03,4.151630000000000109e+02
2.380688738788616383e-03,4.089839999999999804e+02,2.408847038213073749e-03,4.151890000000000214e+02
2.934337282692946278e-03,4.089710000000000036e+02,2.901565750574838874e-03,4.151759999999999877e+02
3.377256117816409761e-03,4.089839999999999804e+02,3.394284462936603998e-03,4.151519999999999868e+02
3.875539807330306667e-03,4.090230000000000246e+02,3.777510128106865810e-03,4.152019999999999982e+02
4.318458642453769716e-03,4.090230000000000246e+02,4.324975364064382807e-03,4.152259999999999991e+02
4.816742331967665755e-03,4.089839999999999804e+02,4.762947552830395191e-03,4.151990000000000123e+02
5.315026021481563528e-03,4.089470000000000027e+02,5.255666265192160749e-03,4.151870000000000118e+02
5.813309710995459567e-03,4.089350000000000023e+02,5.748384977553925440e-03,4.151770000000000209e+02
6.256228546118923484e-03,4.089220000000000255e+02,6.186357166319939559e-03,4.151850000000000023e+02
6.754512235632819522e-03,4.089340000000000259e+02,6.679075878681704249e-03,4.151870000000000118e+02
7.252795925146716428e-03,4.089739999999999895e+02,7.171794591043469808e-03,4.152110000000000127e+02
7.695714760270180345e-03,4.089730000000000132e+02,7.609766779809483926e-03,4.151879999999999882e+02
8.193998449784075516e-03,4.089850000000000136e+02,8.102485492171247750e-03,4.151990000000000123e+02
8.636917284907539433e-03,4.089839999999999804e+02,8.595204204533012440e-03,4.152389999999999759e+02
9.190565828811869328e-03,4.089590000000000032e+02,9.087922916894778866e-03,4.152370000000000232e+02
9.633484663935331510e-03,4.089340000000000259e+02,9.525895105660790382e-03,4.152019999999999982e+02
1.013176835344922928e-02,4.089590000000000032e+02,1.001861381802255681e-02,4.152019999999999982e+02
1.063005204296312706e-02,4.089850000000000136e+02,1.045658600678857006e-02,4.152379999999999995e+02
1.107297087808659097e-02,4.089719999999999800e+02,1.094930471915033648e-02,4.152860000000000014e+02
1.157125456760048528e-02,4.089979999999999905e+02,1.138727690791634800e-02,4.153260000000000218e+02
1.206953825711438305e-02,4.090249999999999773e+02,1.193474214387386587e-02,4.153620000000000232e+02
1.251245709223784697e-02,4.090110000000000241e+02,1.242746085623563056e-02,4.153500000000000227e+02
1.301074078175174127e-02,4.090249999999999773e+02,1.286543304500164381e-02,4.153249999999999886e+02
1.350902447126563904e-02,4.090120000000000005e+02,1.335815175736340850e-02,4.153620000000000232e+02
1.395194330638910296e-02,4.089599999999999795e+02,1.385087046972517319e-02,4.153369999999999891e+02
1.445022699590300073e-02,4.089359999999999786e+02,1.428884265849118818e-02,4.153000000000000114e+02
1.489314583102646465e-02,4.089730000000000132e+02,1.472681484725720143e-02,4.153129999999999882e+02
