time,leftedge,rightedge,gap,x,y_LE,y_RE
0.000000000000000000e+00,3.238999999999999879e+00,9.686999999999999389e+00,6.448000000000000398e+00,0.000000000000000000e+00,1.250000000000000000e+02,1.278130000000000024e+02
8.999999999999999320e-03,3.251999999999999780e+00,9.712999999999999190e+00,6.461000000000000298e+00,4.826254826254825826e-04,1.250000000000000000e+02,1.277870000000000061e+02
1.700000000000000122e-02,3.263999999999999790e+00,9.727000000000000313e+00,6.463000000000000078e+00,9.116259116259116954e-04,1.250000000000000000e+02,1.277729999999999961e+02
2.599999999999999881e-02,3.251999999999999780e+00,9.712999999999999190e+00,6.461000000000000298e+00,1.394251394251394115e-03,1.250000000000000000e+02,1.277870000000000061e+02
3.500000000000000333e-02,3.226999999999999869e+00,9.663000000000000256e+00,6.435999999999999943e+00,1.876876876876877077e-03,1.250000000000000000e+02,1.278370000000000033e+02
4.399999999999999745e-02,3.225999999999999979e+00,9.638999999999999346e+00,6.413000000000000256e+00,2.359502359502359606e-03,1.250000000000000000e+02,1.278610000000000042e+02
5.199999999999999761e-02,3.238999999999999879e+00,9.663999999999999702e+00,6.424999999999999822e+00,2.788502788502788231e-03,1.250000000000000000e+02,1.278359999999999985e+02
6.099999999999999867e-02,3.238999999999999879e+00,9.666000000000000369e+00,6.426999999999999602e+00,3.271128271128271193e-03,1.250000000000000000e+02,1.278340000000000032e+02
7.000000000000000666e-02,3.251999999999999780e+00,9.654999999999999361e+00,6.402999999999999581e+00,3.753753753753754155e-03,1.250000000000000000e+02,1.278449999999999989e+02
7.900000000000000078e-02,3.240000000000000213e+00,9.644000000000000128e+00,6.403999999999999915e+00,4.236379236379236683e-03,1.250000000000000000e+02,1.278559999999999945e+02
8.699999999999999400e-02,3.240000000000000213e+00,9.657000000000000028e+00,6.416999999999999815e+00,4.665379665379665308e-03,1.250000000000000000e+02,1.278430000000000035e+02
9.600000000000000200e-02,3.278000000000000025e+00,9.667999999999999261e+00,6.389999999999999680e+00,5.148005148005147837e-03,1.250000000000000000e+02,1.278319999999999936e+02
1.049999999999999961e-01,3.265000000000000124e+00,9.666000000000000369e+00,6.400999999999999801e+00,5.630630630630630365e-03,1.250000000000000000e+02,1.278340000000000032e+02
1.130000000000000032e-01,3.238999999999999879e+00,9.640000000000000568e+00,6.400999999999999801e+00,6.059631059631059857e-03,1.250000000000000000e+02,1.278599999999999994e+02
1.209999999999999964e-01,3.228000000000000203e+00,9.602000000000000313e+00,6.373999999999999666e+00,6.488631488631488482e-03,1.250000000000000000e+02,1.278979999999999961e+02
1.310000000000000053e-01,3.265000000000000124e+00,9.612999999999999545e+00,6.347999999999999865e+00,7.024882024882024914e-03,1.250000000000000000e+02,1.278870000000000005e+02
1.390000000000000124e-01,3.263999999999999790e+00,9.625999999999999446e+00,6.362000000000000099e+00,7.453882453882454406e-03,1.250000000000000000e+02,1.278739999999999952e+02
1.479999999999999927e-01,3.251999999999999780e+00,9.614000000000000767e+00,6.362000000000000099e+00,7.936507936507936067e-03,1.250000000000000000e+02,1.278859999999999957e+02
1.559999999999999998e-01,3.263999999999999790e+00,9.638999999999999346e+00,6.375000000000000000e+00,8.365508365508365560e-03,1.250000000000000000e+02,1.278610000000000042e+02
1.650000000000000078e-01,3.290000000000000036e+00,9.653000000000000469e+00,6.363000000000000433e+00,8.848133848133848955e-03,1.250000000000000000e+02,1.278469999999999942e+02
1.739999999999999880e-01,3.290000000000000036e+00,9.664999999999999147e+00,6.375000000000000000e+00,9.330759330759330616e-03,1.250000000000000000e+02,1.278350000000000080e+02
1.829999999999999960e-01,3.302999999999999936e+00,9.643000000000000682e+00,6.339999999999999858e+00,9.813384813384814012e-03,1.250000000000000000e+02,1.278569999999999993e+02
1.910000000000000031e-01,3.290000000000000036e+00,9.617000000000000881e+00,6.326999999999999957e+00,1.024238524238524350e-02,1.250000000000000000e+02,1.278829999999999956e+02
2.000000000000000111e-01,3.302999999999999936e+00,9.641999999999999460e+00,6.339000000000000412e+00,1.072501072501072517e-02,1.250000000000000000e+02,1.278580000000000041e+02
2.089999999999999913e-01,3.329000000000000181e+00,9.643000000000000682e+00,6.314000000000000057e+00,1.120763620763620683e-02,1.250000000000000000e+02,1.278569999999999993e+02
2.169999999999999984e-01,3.329000000000000181e+00,9.618999999999999773e+00,6.290000000000000036e+00,1.163663663663663632e-02,1.250000000000000000e+02,1.278810000000000002e+02
2.260000000000000064e-01,3.315999999999999837e+00,9.617000000000000881e+00,6.301000000000000156e+00,1.211926211926211971e-02,1.250000000000000000e+02,1.278829999999999956e+02
2.349999999999999867e-01,3.327999999999999847e+00,9.630000000000000782e+00,6.301999999999999602e+00,1.260188760188760138e-02,1.250000000000000000e+02,1.278700000000000045e+02
2.439999999999999947e-01,3.353000000000000203e+00,9.653000000000000469e+00,6.299999999999999822e+00,1.308451308451308477e-02,1.250000000000000000e+02,1.278469999999999942e+02
2.520000000000000018e-01,3.354000000000000092e+00,9.651999999999999247e+00,6.298000000000000043e+00,1.351351351351351426e-02,1.250000000000000000e+02,1.278479999999999990e+02
2.610000000000000098e-01,3.353000000000000203e+00,9.628000000000000114e+00,6.275000000000000355e+00,1.399613899613899766e-02,1.250000000000000000e+02,1.278719999999999999e+02
2.700000000000000178e-01,3.366000000000000103e+00,9.615000000000000213e+00,6.248999999999999666e+00,1.447876447876447932e-02,1.250000000000000000e+02,1.278850000000000051e+02
2.790000000000000258e-01,3.378000000000000114e+00,9.637999999999999901e+00,6.259999999999999787e+00,1.496138996138996272e-02,1.250000000000000000e+02,1.278619999999999948e+02
