x_LE,y_LE,x_RE,y_RE
0.000000000000000000e+00,3.214250000000000114e+02,0.000000000000000000e+00,3.277259999999999991e+02
4.854107113963648064e-04,3.214490000000000123e+02,5.017561465127947469e-04,3.276759999999999877e+02
9.708214227927296127e-04,3.214490000000000123e+02,1.003512293025589494e-03,3.276639999999999873e+02
1.456232134189094527e-03,3.214750000000000227e+02,1.449517756592518013e-03,3.277019999999999982e+02
1.887708322096974404e-03,3.214619999999999891e+02,1.951273903105313085e-03,3.276920000000000073e+02
2.373119033493339101e-03,3.214630000000000223e+02,2.453030049618107507e-03,3.277160000000000082e+02
2.804595221401218978e-03,3.214750000000000227e+02,2.954786196130902362e-03,3.277180000000000177e+02
3.290005932797583892e-03,3.214750000000000227e+02,3.400791659697830881e-03,3.277289999999999850e+02
3.775416644193948807e-03,3.214739999999999895e+02,3.902547806210626170e-03,3.277160000000000082e+02
4.260827355590313288e-03,3.214859999999999900e+02,4.404303952723420158e-03,3.277019999999999982e+02
4.746238066986678203e-03,3.215249999999999773e+02,4.850309416290349111e-03,3.277010000000000218e+02
5.177714254894558513e-03,3.215380000000000109e+02,5.352065562803143967e-03,3.276879999999999882e+02
5.663124966290922560e-03,3.215240000000000009e+02,5.853821709315938822e-03,3.277250000000000227e+02
6.148535677687288342e-03,3.215249999999999773e+02,6.299827172882867775e-03,3.277749999999999773e+02
6.580011865595167785e-03,3.215120000000000005e+02,6.801583319395661763e-03,3.277740000000000009e+02
7.065422576991532699e-03,3.215129999999999768e+02,7.303339465908457485e-03,3.277640000000000100e+02
7.550833288387897614e-03,3.215120000000000005e+02,7.805095612421252341e-03,3.278029999999999973e+02
8.036243999784260794e-03,3.215000000000000000e+02,8.251101075988179559e-03,3.278260000000000218e+02
8.467720187692141104e-03,3.214750000000000227e+02,8.752857222500975282e-03,3.278399999999999750e+02
8.953130899088506886e-03,3.215000000000000000e+02,9.254613369013771004e-03,3.278159999999999741e+02
9.438541610484870933e-03,3.215260000000000105e+02,9.756369515526563257e-03,3.278290000000000077e+02
9.923952321881236716e-03,3.215380000000000109e+02,1.020237497909349221e-02,3.278539999999999850e+02
1.030149398630063155e-02,3.215249999999999773e+02,1.070413112560628793e-02,3.278779999999999859e+02
1.078690469769699734e-02,3.215249999999999773e+02,1.120588727211908366e-02,3.279030000000000200e+02
1.127231540909335965e-02,3.215249999999999773e+02,1.165189273568601087e-02,3.278770000000000095e+02
1.170379159700123996e-02,3.214990000000000236e+02,1.209789819925293983e-02,3.278990000000000009e+02
1.224313683188609121e-02,3.215249999999999773e+02,1.259965434576573555e-02,3.279110000000000014e+02
1.267461301979396979e-02,3.215620000000000118e+02,1.310141049227852954e-02,3.278990000000000009e+02
1.316002373119033557e-02,3.215749999999999886e+02,1.354741595584545849e-02,3.278740000000000236e+02
1.364543444258669962e-02,3.215760000000000218e+02,1.404917210235825248e-02,3.278709999999999809e+02
1.407691063049457993e-02,3.215760000000000218e+02,1.455092824887104820e-02,3.278980000000000246e+02
1.461625586537943118e-02,3.216009999999999991e+02,1.505268439538384392e-02,3.279110000000000014e+02
1.504773205328731149e-02,3.216009999999999991e+02,1.549868985895077288e-02,3.279239999999999782e+02
1.547920824119518833e-02,3.216009999999999991e+02,1.600044600546356513e-02,3.279379999999999882e+02
1.596461895259155411e-02,3.216270000000000095e+02,1.650220215197635912e-02,3.279510000000000218e+02
1.645002966398791816e-02,3.216270000000000095e+02,1.700395829848915658e-02,3.279379999999999882e+02
1.693544037538428221e-02,3.216519999999999868e+02,1.744996376205608379e-02,3.279379999999999882e+02
1.736691656329216252e-02,3.216779999999999973e+02,1.839772537213580847e-02,3.279379999999999882e+02
1.785232727468853003e-02,3.216770000000000209e+02,1.889948151864860246e-02,3.279610000000000127e+02
1.833773798608489408e-02,3.216639999999999873e+02,1.934548698221552968e-02,3.279710000000000036e+02
1.876921417399277092e-02,3.216259999999999764e+02,1.984724312872832366e-02,3.280090000000000146e+02
1.925462488538913844e-02,3.216129999999999995e+02,2.034899927524112112e-02,3.280090000000000146e+02
1.974003559678550249e-02,3.216120000000000232e+02,2.079500473880804834e-02,3.280090000000000146e+02
2.022544630818186653e-02,3.215880000000000223e+02,2.129676088532084233e-02,3.280090000000000146e+02
2.065692249608974684e-02,3.216259999999999764e+02,2.179851703183363978e-02,3.280099999999999909e+02
2.108839868399762715e-02,3.216530000000000200e+02,2.230027317834643377e-02,3.279970000000000141e+02
2.162774391888247841e-02,3.216390000000000100e+02,2.274627864191336099e-02,3.280230000000000246e+02
2.205922010679035525e-02,3.216659999999999968e+02,2.324803478842615498e-02,3.280240000000000009e+02
2.254463081818671930e-02,3.216659999999999968e+02,2.374979093493894897e-02,3.280240000000000009e+02
2.297610700609459961e-02,3.216399999999999864e+02,2.425154708145174642e-02,3.280140000000000100e+02
2.346151771749096712e-02,3.216650000000000205e+02,2.469755254501867364e-02,3.280269999999999868e+02
2.394692842888733117e-02,3.216770000000000209e+02,2.519930869153147110e-02,3.280360000000000014e+02
2.443233914028369522e-02,3.217019999999999982e+02,2.570106483804426509e-02,3.280110000000000241e+02
2.486381532819157553e-02,3.217029999999999745e+02,2.614707030161119231e-02,3.280099999999999909e+02
2.534922603958793957e-02,3.217280000000000086e+02,2.664882644812398629e-02,3.280090000000000146e+02
2.583463675098430362e-02,3.217660000000000196e+02,2.715058259463678028e-02,3.279959999999999809e+02
2.632004746238067114e-02,3.217529999999999859e+02,2.765233874114957774e-02,3.280350000000000250e+02
2.675152365028855145e-02,3.217160000000000082e+02,2.809834420471650496e-02,3.280590000000000259e+02
2.723693436168491550e-02,3.217149999999999750e+02,2.860010035122930241e-02,3.280860000000000127e+02
2.772234507308127954e-02,3.217160000000000082e+02,2.904610581479622963e-02,3.281109999999999900e+02
2.815382126098915985e-02,3.217409999999999854e+02,2.954786196130902362e-02,3.280989999999999895e+02
2.863923197238552737e-02,3.217540000000000191e+02,2.999386742487595431e-02,3.281139999999999759e+02
2.912464268378189142e-02,3.217660000000000196e+02,3.049562357138874830e-02,3.281129999999999995e+02
2.955611887168977173e-02,3.217540000000000191e+02,3.099737971790154575e-02,3.281009999999999991e+02
3.004152958308613577e-02,3.217660000000000196e+02,3.149913586441433627e-02,3.281139999999999759e+02
3.052694029448249635e-02,3.217909999999999968e+02,3.200089201092713026e-02,3.281240000000000236e+02
3.095841648239037666e-02,3.217919999999999732e+02,3.244689747449405748e-02,3.281250000000000000e+02
3.144382719378674418e-02,3.217529999999999859e+02,3.294865362100685147e-02,3.281240000000000236e+02
3.187530338169462102e-02,3.217529999999999859e+02,3.345040976751964545e-02,3.281100000000000136e+02
3.241464861657947227e-02,3.217529999999999859e+02,3.389641523108657961e-02,3.281089999999999804e+02
3.284612480448734911e-02,3.217660000000000196e+02,3.439817137759937360e-02,3.280840000000000032e+02
3.333153551588372010e-02,3.217660000000000196e+02,3.489992752411216759e-02,3.280600000000000023e+02
3.381694622728008415e-02,3.217529999999999859e+02,3.534593298767909481e-02,3.280600000000000023e+02
3.430235693867644819e-02,3.217909999999999968e+02,3.584768913419188879e-02,3.280500000000000114e+02
3.473383312658432504e-02,3.218039999999999736e+02,3.634944528070468972e-02,3.280640000000000214e+02
3.521924383798069602e-02,3.218050000000000068e+02,3.679545074427161694e-02,3.281009999999999991e+02
3.570465454937706007e-02,3.218050000000000068e+02,3.729720689078441093e-02,3.281019999999999754e+02
3.613613073728493691e-02,3.217669999999999959e+02,3.774321235435133814e-02,3.281279999999999859e+02
3.662154144868130096e-02,3.217529999999999859e+02,3.824496850086413907e-02,3.281279999999999859e+02
3.705301763658918474e-02,3.217900000000000205e+02,3.874672464737692612e-02,3.281159999999999854e+02
3.753842834798554184e-02,3.218039999999999736e+02,3.924848079388972011e-02,3.281150000000000091e+02
3.802383905938190589e-02,3.218419999999999845e+02,3.969448625745664733e-02,3.281030000000000086e+02
3.845531524728978967e-02,3.218290000000000077e+02,4.019624240396944131e-02,3.281250000000000000e+02
3.894072595868615372e-02,3.218290000000000077e+02,4.069799855048224224e-02,3.281139999999999759e+02
3.942613667008251777e-02,3.218290000000000077e+02,4.119975469699503623e-02,3.280860000000000127e+02
3.985761285799040154e-02,3.218039999999999736e+02,4.164576016056196345e-02,3.281009999999999991e+02
4.034302356938676559e-02,3.217909999999999968e+02,4.214751630707475744e-02,3.281250000000000000e+02
4.082843428078312964e-02,3.217780000000000200e+02,4.264927245358755142e-02,3.280889999999999986e+02
4.131384499217949369e-02,3.218050000000000068e+02,4.309527791715448558e-02,3.280769999999999982e+02
4.174532118008737747e-02,3.218170000000000073e+02,4.365278474661314634e-02,3.280899999999999750e+02
4.228466641497222872e-02,3.218299999999999841e+02,4.409879021018007356e-02,3.281270000000000095e+02
4.271614260288010556e-02,3.218679999999999950e+02,4.460054635669286754e-02,3.281399999999999864e+02
4.314761879078798934e-02,3.218679999999999950e+02,4.504655182025979476e-02,3.281419999999999959e+02
4.363302950218435339e-02,3.218679999999999950e+02,4.554830796677258875e-02,3.281530000000000200e+02
4.411844021358071050e-02,3.218559999999999945e+02,4.605006411328538274e-02,3.281659999999999968e+02
4.460385092497707454e-02,3.218039999999999736e+02,4.649606957685230996e-02,3.281779999999999973e+02
4.503532711288495832e-02,3.217780000000000200e+02,4.699782572336510394e-02,3.281530000000000200e+02
4.552073782428132237e-02,3.218170000000000073e+02,4.749958186987789793e-02,3.281139999999999759e+02
4.595221401218919921e-02,3.218149999999999977e+02,4.794558733344483209e-02,3.281000000000000227e+02
4.649155924707405046e-02,3.218290000000000077e+02,4.844734347995762608e-02,3.281139999999999759e+02
