time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
0.000000000000000000e+00,3.080999999999999961e+00,9.773999999999999133e+00,6.692999999999999616e+00,0.000000000000000000e+00,3.344189999999999827e+02,0.000000000000000000e+00,2.382000000000000117e+00,9.329000000000000625e+00,6.947000000000000064e+00,0.000000000000000000e+00,3.406709999999999923e+02
8.999999999999999320e-03,3.144000000000000128e+00,9.823999999999999844e+00,6.679999999999999716e+00,5.017561465127947469e-04,3.343559999999999945e+02,8.000000000000000167e-03,2.382000000000000117e+00,9.353999999999999204e+00,6.972000000000000419e+00,4.416473445953406334e-04,3.406460000000000150e+02
1.799999999999999864e-02,3.156000000000000139e+00,9.836000000000000298e+00,6.679999999999999716e+00,1.003512293025589494e-03,3.343439999999999941e+02,1.700000000000000122e-02,2.407000000000000028e+00,9.380000000000000782e+00,6.972999999999999865e+00,9.385006072650988731e-04,3.406200000000000045e+02
2.599999999999999881e-02,3.142999999999999794e+00,9.798000000000000043e+00,6.655000000000000249e+00,1.449517756592518013e-03,3.343570000000000277e+02,2.599999999999999881e-02,2.407000000000000028e+00,9.353999999999999204e+00,6.947000000000000064e+00,1.435353869934856896e-03,3.406460000000000150e+02
3.500000000000000333e-02,3.117999999999999883e+00,9.807999999999999829e+00,6.690000000000000391e+00,1.951273903105313085e-03,3.343820000000000050e+02,3.400000000000000244e-02,2.407000000000000028e+00,9.343999999999999417e+00,6.937000000000000277e+00,1.877001214530197746e-03,3.406560000000000059e+02
4.399999999999999745e-02,3.129999999999999893e+00,9.784000000000000696e+00,6.653999999999999915e+00,2.453030049618107507e-03,3.343700000000000045e+02,4.299999999999999656e-02,2.458000000000000185e+00,9.378000000000000114e+00,6.919999999999999929e+00,2.373854477199955661e-03,3.406220000000000141e+02
5.299999999999999850e-02,3.142999999999999794e+00,9.782000000000000028e+00,6.639000000000000234e+00,2.954786196130902362e-03,3.343570000000000277e+02,5.199999999999999761e-02,2.483000000000000096e+00,9.378999999999999559e+00,6.895999999999999908e+00,2.870707739869713792e-03,3.406209999999999809e+02
6.099999999999999867e-02,3.142999999999999794e+00,9.771000000000000796e+00,6.628000000000000114e+00,3.400791659697830881e-03,3.343570000000000277e+02,6.099999999999999867e-02,2.508999999999999897e+00,9.391000000000000014e+00,6.881999999999999673e+00,3.367561002539471923e-03,3.406089999999999804e+02
7.000000000000000666e-02,3.142999999999999794e+00,9.784000000000000696e+00,6.641000000000000014e+00,3.902547806210626170e-03,3.343570000000000277e+02,6.900000000000000577e-02,2.521999999999999797e+00,9.378999999999999559e+00,6.857000000000000206e+00,3.809208347134813207e-03,3.406209999999999809e+02
7.900000000000000078e-02,3.181999999999999940e+00,9.798000000000000043e+00,6.615999999999999659e+00,4.404303952723420158e-03,3.343179999999999836e+02,7.799999999999999989e-02,2.560000000000000053e+00,9.380000000000000782e+00,6.820000000000000284e+00,4.306061609804571338e-03,3.406200000000000045e+02
8.699999999999999400e-02,3.181000000000000050e+00,9.798999999999999488e+00,6.618000000000000327e+00,4.850309416290349111e-03,3.343190000000000168e+02,8.699999999999999400e-02,2.584999999999999964e+00,9.381000000000000227e+00,6.796000000000000263e+00,4.802914872474329036e-03,3.406190000000000282e+02
9.600000000000000200e-02,3.209000000000000075e+00,9.811999999999999389e+00,6.602999999999999758e+00,5.352065562803143967e-03,3.342909999999999968e+02,9.600000000000000200e-02,2.584999999999999964e+00,9.368999999999999773e+00,6.783999999999999808e+00,5.299768135144087601e-03,3.406309999999999718e+02
1.049999999999999961e-01,3.194999999999999840e+00,9.775000000000000355e+00,6.580000000000000071e+00,5.853821709315938822e-03,3.343050000000000068e+02,1.039999999999999952e-01,2.611000000000000210e+00,9.369999999999999218e+00,6.759000000000000341e+00,5.741415479739427584e-03,3.406299999999999955e+02
1.130000000000000032e-01,3.144000000000000128e+00,9.724999999999999645e+00,6.581000000000000405e+00,6.299827172882867775e-03,3.343559999999999945e+02,1.130000000000000032e-01,2.625000000000000000e+00,9.356999999999999318e+00,6.732000000000000206e+00,6.238268742409186149e-03,3.406430000000000291e+02
1.219999999999999973e-01,3.169999999999999929e+00,9.726000000000000867e+00,6.556000000000000050e+00,6.801583319395661763e-03,3.343299999999999841e+02,1.219999999999999973e-01,2.625000000000000000e+00,9.358999999999999986e+00,6.733999999999999986e+00,6.735122005078943846e-03,3.406410000000000196e+02
1.310000000000000053e-01,3.194999999999999840e+00,9.736000000000000654e+00,6.541000000000000369e+00,7.303339465908457485e-03,3.343050000000000068e+02,1.300000000000000044e-01,2.700000000000000178e+00,9.409000000000000696e+00,6.708999999999999631e+00,7.176769349674284697e-03,3.405910000000000082e+02
1.400000000000000133e-01,3.169000000000000039e+00,9.696999999999999176e+00,6.527999999999999581e+00,7.805095612421252341e-03,3.343310000000000173e+02,1.390000000000000124e-01,2.713000000000000078e+00,9.384999999999999787e+00,6.671999999999999709e+00,7.673622612344044129e-03,3.406150000000000091e+02
1.479999999999999927e-01,3.169000000000000039e+00,9.673999999999999488e+00,6.504999999999999893e+00,8.251101075988179559e-03,3.343310000000000173e+02,1.479999999999999927e-01,2.686999999999999833e+00,9.358999999999999986e+00,6.671999999999999709e+00,8.170475875013800959e-03,3.406410000000000196e+02
1.570000000000000007e-01,3.157000000000000028e+00,9.660000000000000142e+00,6.503000000000000114e+00,8.752857222500975282e-03,3.343430000000000177e+02,1.559999999999999998e-01,2.725999999999999979e+00,9.346999999999999531e+00,6.621000000000000441e+00,8.612123219609142677e-03,3.406530000000000200e+02
1.660000000000000087e-01,3.220000000000000195e+00,9.683999999999999275e+00,6.464000000000000412e+00,9.254613369013771004e-03,3.342799999999999727e+02,1.650000000000000078e-01,2.737999999999999989e+00,9.323000000000000398e+00,6.584999999999999964e+00,9.108976482278900375e-03,3.406770000000000209e+02
1.749999999999999889e-01,3.245000000000000107e+00,9.670999999999999375e+00,6.426000000000000156e+00,9.756369515526563257e-03,3.342549999999999955e+02,1.739999999999999880e-01,2.737999999999999989e+00,9.307999999999999829e+00,6.570000000000000284e+00,9.605829744948658072e-03,3.406920000000000073e+02
1.829999999999999960e-01,3.208000000000000185e+00,9.646000000000000796e+00,6.437999999999999723e+00,1.020237497909349221e-02,3.342919999999999732e+02,1.829999999999999960e-01,2.737999999999999989e+00,9.272000000000000242e+00,6.533999999999999808e+00,1.010268300761841577e-02,3.407280000000000086e+02
1.920000000000000040e-01,3.181999999999999940e+00,9.621999999999999886e+00,6.440000000000000391e+00,1.070413112560628793e-02,3.343179999999999836e+02,1.910000000000000031e-01,2.762999999999999901e+00,9.269999999999999574e+00,6.506999999999999673e+00,1.054433035221375749e-02,3.407300000000000182e+02
2.010000000000000120e-01,3.181999999999999940e+00,9.596999999999999531e+00,6.415000000000000036e+00,1.120588727211908366e-02,3.343179999999999836e+02,2.000000000000000111e-01,2.789000000000000146e+00,9.271000000000000796e+00,6.482000000000000206e+00,1.104118361488351518e-02,3.407289999999999850e+02
2.089999999999999913e-01,3.206999999999999851e+00,9.622999999999999332e+00,6.416000000000000369e+00,1.165189273568601087e-02,3.342930000000000064e+02,2.089999999999999913e-01,2.814000000000000057e+00,9.294999999999999929e+00,6.480999999999999872e+00,1.153803687755327288e-02,3.407049999999999841e+02
2.169999999999999984e-01,3.208000000000000185e+00,9.601000000000000867e+00,6.392999999999999794e+00,1.209789819925293983e-02,3.342919999999999732e+02,2.179999999999999993e-01,2.878000000000000114e+00,9.333000000000000185e+00,6.455000000000000071e+00,1.203489014022303231e-02,3.406669999999999732e+02
2.260000000000000064e-01,3.208000000000000185e+00,9.589000000000000412e+00,6.381000000000000227e+00,1.259965434576573555e-02,3.342919999999999732e+02,2.260000000000000064e-01,2.878000000000000114e+00,9.323000000000000398e+00,6.445000000000000284e+00,1.247653748481837230e-02,3.406770000000000209e+02
2.349999999999999867e-01,3.246999999999999886e+00,9.601000000000000867e+00,6.354000000000000092e+00,1.310141049227852954e-02,3.342529999999999859e+02,2.349999999999999867e-01,2.865000000000000213e+00,9.285000000000000142e+00,6.419999999999999929e+00,1.297339074748813000e-02,3.407149999999999750e+02
