x,y_LE,y_RE
0.000000000000000000e+00,4.963650000000000091e+02,5.000000000000000000e+02
4.329238595162075991e-04,4.963639999999999759e+02,5.000000000000000000e+02
9.199632014719412226e-04,4.963650000000000091e+02,5.000000000000000000e+02
1.407002543427674683e-03,4.964289999999999736e+02,5.000000000000000000e+02
1.894041885383408470e-03,4.964409999999999741e+02,5.000000000000000000e+02
2.381081227339141605e-03,4.964019999999999868e+02,5.000000000000000000e+02
2.814005086855349367e-03,4.964420000000000073e+02,5.000000000000000000e+02
3.301044428811082936e-03,4.964279999999999973e+02,5.000000000000000000e+02
3.733968288327290698e-03,4.964030000000000200e+02,5.000000000000000000e+02
4.221007630283024267e-03,4.965049999999999955e+02,5.000000000000000000e+02
4.708046972238756969e-03,4.965559999999999832e+02,5.000000000000000000e+02
5.140970831754965165e-03,4.964660000000000082e+02,5.000000000000000000e+02
5.628010173710698734e-03,4.965169999999999959e+02,5.000000000000000000e+02
6.115049515666432303e-03,4.965419999999999732e+02,5.000000000000000000e+02
6.547973375182639631e-03,4.964789999999999850e+02,5.000000000000000000e+02
7.035012717138374068e-03,4.965179999999999723e+02,5.000000000000000000e+02
7.522052059094107637e-03,4.965819999999999936e+02,5.000000000000000000e+02
8.009091401049840339e-03,4.965179999999999723e+02,5.000000000000000000e+02
8.442015260566048535e-03,4.965690000000000168e+02,5.000000000000000000e+02
8.929054602521782971e-03,4.966340000000000146e+02,5.000000000000000000e+02
9.416093944477513938e-03,4.965690000000000168e+02,5.000000000000000000e+02
9.849017803993722134e-03,4.965430000000000064e+02,5.000000000000000000e+02
1.033605714594945657e-02,4.965819999999999936e+02,5.000000000000000000e+02
1.082309648790519101e-02,4.965550000000000068e+02,5.000000000000000000e+02
1.131013582986092371e-02,4.965679999999999836e+02,5.000000000000000000e+02
1.174305968937713017e-02,4.966449999999999818e+02,5.000000000000000000e+02
1.223009903133286461e-02,4.966059999999999945e+02,5.000000000000000000e+02
1.271713837328859731e-02,4.965679999999999836e+02,5.000000000000000000e+02
1.320417771524433175e-02,4.966190000000000282e+02,5.000000000000000000e+02
1.363710157476053994e-02,4.965930000000000177e+02,5.000000000000000000e+02
1.412414091671627264e-02,4.965930000000000177e+02,5.000000000000000000e+02
1.461118025867200708e-02,4.966709999999999923e+02,5.000000000000000000e+02
1.504410411818821527e-02,4.966560000000000059e+02,5.000000000000000000e+02
1.553114346014394624e-02,4.966320000000000050e+02,5.000000000000000000e+02
1.601818280209968068e-02,4.966960000000000264e+02,5.000000000000000000e+02
1.645110666161588714e-02,4.966820000000000164e+02,5.000000000000000000e+02
1.693814600357162331e-02,4.965670000000000073e+02,5.000000000000000000e+02
1.742518534552735601e-02,4.965679999999999836e+02,5.000000000000000000e+02
1.785810920504356594e-02,4.965930000000000177e+02,5.000000000000000000e+02
1.834514854699929864e-02,4.965659999999999741e+02,5.000000000000000000e+02
1.883218788895502788e-02,4.966569999999999823e+02,5.000000000000000000e+02
1.926511174847123781e-02,4.966940000000000168e+02,5.000000000000000000e+02
1.980626657286649675e-02,4.966429999999999723e+02,5.000000000000000000e+02
2.023919043238270668e-02,4.966560000000000059e+02,5.000000000000000000e+02
2.072622977433843938e-02,4.967069999999999936e+02,5.000000000000000000e+02
2.115915363385464584e-02,4.966429999999999723e+02,5.000000000000000000e+02
2.164619297581038201e-02,4.966429999999999723e+02,5.000000000000000000e+02
