x,y,z
-7.864531528699990304e+01,3.495111812761999772e+02,2.355446306019999980e+01
-7.864631388300000481e+01,3.495111278051999761e+02,2.355546303319999879e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864431669100000022e+01,3.495112347471999783e+02,2.355346308720000081e+01
-7.864431669100000022e+01,3.495112347471999783e+02,2.355346308720000081e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864531550899990009e+01,3.495111848042000133e+02,2.355546305420000053e+01
-7.864531550899990009e+01,3.495111848042000133e+02,2.355546305420000053e+01
-7.864531528699990304e+01,3.495111812761999772e+02,2.355446306019999980e+01
-7.864531528699990304e+01,3.495111812761999772e+02,2.355446306019999980e+01
-7.864531573099989714e+01,3.495111883321999926e+02,2.355646304820000125e+01
-7.864431713499999432e+01,3.495112418031999937e+02,2.355546307519999871e+01
-7.864625644100000557e+01,3.495101223812000057e+02,2.355346658019999850e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864425969299989561e+01,3.495102363792000233e+02,2.355346662219999843e+01
-7.864425969299989561e+01,3.495102363792000233e+02,2.355346662219999843e+01
-7.864531528699990304e+01,3.495111812761999772e+02,2.355446306019999980e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864531528699990304e+01,3.495111812761999772e+02,2.355446306019999980e+01
-7.864531573099989714e+01,3.495111883321999926e+02,2.355646304820000125e+01
-7.864531550899990009e+01,3.495111848042000133e+02,2.355546305420000053e+01
-7.864631388300000481e+01,3.495111278051999761e+02,2.355546303319999879e+01
-7.864625688499999967e+01,3.495101294372000211e+02,2.355546656819999995e+01
-7.864625666300000262e+01,3.495101259091999850e+02,2.355446657419999923e+01
-7.864525828899989790e+01,3.495101829082000222e+02,2.355446659520000097e+01
-7.864425947099989855e+01,3.495102328511999872e+02,2.355246662820000125e+01
-7.864425969299989561e+01,3.495102363792000233e+02,2.355346662219999843e+01
-7.864425969299989561e+01,3.495102363792000233e+02,2.355346662219999843e+01
-7.864525828899989790e+01,3.495101829082000222e+02,2.355446659520000097e+01
-7.864431713499999432e+01,3.495112418031999937e+02,2.355546307519999871e+01
-7.864331898300000034e+01,3.495113023302000101e+02,2.355646309020000118e+01
-7.864531550899990009e+01,3.495111848042000133e+02,2.355546305420000053e+01
-7.864531528699990304e+01,3.495111812761999772e+02,2.355446306019999980e+01
-7.864625688499999967e+01,3.495101294372000211e+02,2.355546656819999995e+01
-7.864425991499990687e+01,3.495102399072000026e+02,2.355446661619999915e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864425947099989855e+01,3.495102328511999872e+02,2.355246662820000125e+01
-7.864425969299989561e+01,3.495102363792000233e+02,2.355346662219999843e+01
-7.864431669100000022e+01,3.495112347471999783e+02,2.355346308720000081e+01
-7.864431691299999727e+01,3.495112382752000144e+02,2.355446308120000154e+01
-7.864531550899990009e+01,3.495111848042000133e+02,2.355546305420000053e+01
-7.864631366099999354e+01,3.495111242771999969e+02,2.355446303920000162e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864525828899989790e+01,3.495101829082000222e+02,2.355446659520000097e+01
-7.864619944300000043e+01,3.495091240131999939e+02,2.355347011519999967e+01
-7.864420225099999584e+01,3.495092309551999961e+02,2.355147016920000169e+01
-7.864525784499990380e+01,3.495101758522000068e+02,2.355246660719999952e+01
-7.864525784499990380e+01,3.495101758522000068e+02,2.355246660719999952e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864631343899999649e+01,3.495111207492000176e+02,2.355346304520000089e+01
-7.864431669100000022e+01,3.495112347471999783e+02,2.355346308720000081e+01
-7.864431669100000022e+01,3.495112347471999783e+02,2.355346308720000081e+01
-7.864331809499999792e+01,3.495112882181999794e+02,2.355246311419999827e+01
-7.864525806699990085e+01,3.495101793801999861e+02,2.355346660120000024e+01
-7.864619922100000338e+01,3.495091204852000146e+02,2.355247012119999894e+01
-7.864625621899999430e+01,3.495101188532000265e+02,2.355246658620000133e+01
-7.864525762299990674e+01,3.495101723242000276e+02,2.355146661319999879e+01
-7.864425902699990445e+01,3.495102257951999718e+02,2.355046664019999980e+01
-7.864326087499999574e+01,3.495102863221999883e+02,2.355146665519999871e+01
-7.864425924899990150e+01,3.495102293232000079e+02,2.355146663420000053e+01
-7.864531506499990599e+01,3.495111777481999979e+02,2.355346306619999908e+01
-7.864531506499990599e+01,3.495111777481999979e+02,2.355346306619999908e+01
-7.864531484299989472e+01,3.495111742202000187e+02,2.355246307219999835e+01
-7.864326065299999868e+01,3.495102827942000090e+02,2.355046666120000154e+01
-7.864420247300000710e+01,3.495092344831999753e+02,2.355247016319999886e+01
-7.864619877699999506e+01,3.495091134291999992e+02,2.355047013320000104e+01
-7.864520040299990455e+01,3.495091704281999796e+02,2.355047015419999923e+01
-7.864525762299990674e+01,3.495101723242000276e+02,2.355146661319999879e+01
-7.864425902699990445e+01,3.495102257951999718e+02,2.355046664019999980e+01
-7.864326087499999574e+01,3.495102863221999883e+02,2.355146665519999871e+01
-7.864425947099989855e+01,3.495102328511999872e+02,2.355246662820000125e+01
-7.864425902699990445e+01,3.495102257951999718e+02,2.355046664019999980e+01
-7.864431624700000611e+01,3.495112276912000198e+02,2.355146309919999936e+01
-7.864237671899999782e+01,3.495123435851999716e+02,2.355245960019999885e+01
-7.864331765100000382e+01,3.495112811622000208e+02,2.355046312620000037e+01
-7.864525740099989548e+01,3.495101687961999914e+02,2.355046661920000162e+01
-7.864520018099989329e+01,3.495091669002000003e+02,2.354947016019999850e+01
-7.864520040299990455e+01,3.495091704281999796e+02,2.355047015419999923e+01
-7.864520040299990455e+01,3.495091704281999796e+02,2.355047015419999923e+01
-7.864425880499989319e+01,3.495102222671999925e+02,2.354946664619999908e+01
-7.864425880499989319e+01,3.495102222671999925e+02,2.354946664619999908e+01
-7.864425880499989319e+01,3.495102222671999925e+02,2.354946664619999908e+01
-7.864425902699990445e+01,3.495102257951999718e+02,2.355046664019999980e+01
-7.864326065299999868e+01,3.495102827942000090e+02,2.355046666120000154e+01
-7.864331765100000382e+01,3.495112811622000208e+02,2.355046312620000037e+01
-7.864331720699999551e+01,3.495112741062000055e+02,2.354846313819999892e+01
-7.864425858299989613e+01,3.495102187392000133e+02,2.354846665219999835e+01
-7.864420180699990226e+01,3.495092238991999807e+02,2.354947018120000024e+01
-7.864320321099999944e+01,3.495092773701999818e+02,2.354847020820000125e+01
-7.864326020900000458e+01,3.495102757381999936e+02,2.354846667320000009e+01
-7.864326020900000458e+01,3.495102757381999936e+02,2.354846667320000009e+01
-7.864519995899989624e+01,3.495091633722000211e+02,2.354847016620000133e+01
-7.864420180699990226e+01,3.495092238991999807e+02,2.354947018120000024e+01
-7.864425880499989319e+01,3.495102222671999925e+02,2.354946664619999908e+01
-7.864425880499989319e+01,3.495102222671999925e+02,2.354946664619999908e+01
-7.864326020900000458e+01,3.495102757381999936e+02,2.354846667320000009e+01
-7.864325998699999332e+01,3.495102722102000143e+02,2.354746667919999936e+01
-7.864425836099989908e+01,3.495102152111999771e+02,2.354746665820000118e+01
-7.864519951499990214e+01,3.495091563162000057e+02,2.354647017819999988e+01
-7.864420091899999932e+01,3.495092097872000068e+02,2.354547020520000089e+01
-7.864519929299990508e+01,3.495091527882000264e+02,2.354547018419999915e+01
-7.864420091899999932e+01,3.495092097872000068e+02,2.354547020520000089e+01
-7.864420114099999637e+01,3.495092133151999860e+02,2.354647019920000162e+01
-7.864420136299999342e+01,3.495092168432000221e+02,2.354747019319999879e+01
-7.864519973699989919e+01,3.495091598441999849e+02,2.354747017220000060e+01
-7.864420136299999342e+01,3.495092168432000221e+02,2.354747019319999879e+01
-7.864519951499990214e+01,3.495091563162000057e+02,2.354647017819999988e+01
-7.864425813899990203e+01,3.495102116831999979e+02,2.354646666420000045e+01
-7.864519951499990214e+01,3.495091563162000057e+02,2.354647017819999988e+01
-7.864420091899999932e+01,3.495092097872000068e+02,2.354547020520000089e+01
-7.864519929299990508e+01,3.495091527882000264e+02,2.354547018419999915e+01
-7.864519929299990508e+01,3.495091527882000264e+02,2.354547018419999915e+01
-7.864325954299999921e+01,3.495102651541999990e+02,2.354546669120000146e+01
-7.864425813899990203e+01,3.495102116831999979e+02,2.354646666420000045e+01
-7.864425836099989908e+01,3.495102152111999771e+02,2.354746665820000118e+01
-7.864425836099989908e+01,3.495102152111999771e+02,2.354746665820000118e+01
-7.864425858299989613e+01,3.495102187392000133e+02,2.354846665219999835e+01
-7.864425858299989613e+01,3.495102187392000133e+02,2.354846665219999835e+01
-7.864425836099989908e+01,3.495102152111999771e+02,2.354746665820000118e+01
-7.864420091899999932e+01,3.495092097872000068e+02,2.354547020520000089e+01
-7.864420091899999932e+01,3.495092097872000068e+02,2.354547020520000089e+01
-7.864420114099999637e+01,3.495092133151999860e+02,2.354647019920000162e+01
-7.864320276700000534e+01,3.495092703142000232e+02,2.354647022019999980e+01
-7.864325998699999332e+01,3.495102722102000143e+02,2.354746667919999936e+01
-7.864326020900000458e+01,3.495102757381999936e+02,2.354846667320000009e+01
-7.864425836099989908e+01,3.495102152111999771e+02,2.354746665820000118e+01
-7.864331720699999551e+01,3.495112741062000055e+02,2.354846313819999892e+01
-7.864326020900000458e+01,3.495102757381999936e+02,2.354846667320000009e+01
-7.864420136299999342e+01,3.495092168432000221e+02,2.354747019319999879e+01
-7.864420136299999342e+01,3.495092168432000221e+02,2.354747019319999879e+01
-7.864519951499990214e+01,3.495091563162000057e+02,2.354647017819999988e+01
-7.864519951499990214e+01,3.495091563162000057e+02,2.354647017819999988e+01
-7.864425813899990203e+01,3.495102116831999979e+02,2.354646666420000045e+01
-7.864226116899999397e+01,3.495103221531999793e+02,2.354546671219999965e+01
