Gap_time,Gap_leftedge,Gap_rightedge,Gap_gap,Gap_x,LT_time,LT_y,LT_z
nan,3.722999999999999865e+00,9.718999999999999417e+00,5.996000000000000441e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.710999999999999854e+00,9.728999999999999204e+00,6.017999999999999794e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.697999999999999954e+00,9.705000000000000071e+00,6.006999999999999673e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.698999999999999844e+00,9.692999999999999616e+00,5.993999999999999773e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713000000000000078e+00,9.705000000000000071e+00,5.991999999999999993e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.673999999999999932e+00,9.656000000000000583e+00,5.982000000000000206e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.673999999999999932e+00,9.654999999999999361e+00,5.980999999999999872e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.750999999999999890e+00,9.733000000000000540e+00,5.982000000000000206e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.763999999999999790e+00,9.730000000000000426e+00,5.966000000000000192e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.700000000000000178e+00,9.679999999999999716e+00,5.980000000000000426e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713999999999999968e+00,9.682999999999999829e+00,5.969000000000000306e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.725999999999999979e+00,9.694000000000000838e+00,5.967999999999999972e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.701000000000000068e+00,9.666999999999999815e+00,5.966000000000000192e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.661999999999999922e+00,9.615999999999999659e+00,5.953999999999999737e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.662999999999999812e+00,9.618999999999999773e+00,5.956000000000000405e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.674999999999999822e+00,9.618000000000000327e+00,5.942999999999999616e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.674999999999999822e+00,9.602999999999999758e+00,5.927999999999999936e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.765000000000000124e+00,9.705999999999999517e+00,5.940999999999999837e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.751999999999999780e+00,9.679999999999999716e+00,5.927999999999999936e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.674999999999999822e+00,9.592000000000000526e+00,5.916999999999999815e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713999999999999968e+00,9.606999999999999318e+00,5.892999999999999794e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.741000000000000103e+00,9.619999999999999218e+00,5.878999999999999559e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.701000000000000068e+00,9.567999999999999616e+00,5.866999999999999993e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.674999999999999822e+00,9.542999999999999261e+00,5.868000000000000327e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.714999999999999858e+00,9.557999999999999829e+00,5.842999999999999972e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.725999999999999979e+00,9.567999999999999616e+00,5.841999999999999638e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713000000000000078e+00,9.580999999999999517e+00,5.868000000000000327e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.766000000000000014e+00,9.631000000000000227e+00,5.865000000000000213e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713000000000000078e+00,9.596000000000000085e+00,5.883000000000000007e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.637999999999999901e+00,9.506000000000000227e+00,5.868000000000000327e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.664000000000000146e+00,9.519000000000000128e+00,5.855000000000000426e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.674999999999999822e+00,9.531000000000000583e+00,5.855999999999999872e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.649999999999999911e+00,9.506999999999999673e+00,5.857000000000000206e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.637999999999999901e+00,9.493000000000000327e+00,5.855000000000000426e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.689000000000000057e+00,9.519999999999999574e+00,5.831000000000000405e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.726999999999999869e+00,9.570000000000000284e+00,5.842999999999999972e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.714999999999999858e+00,9.545999999999999375e+00,5.831000000000000405e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.726999999999999869e+00,9.557999999999999829e+00,5.831000000000000405e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.701999999999999957e+00,9.534000000000000696e+00,5.831999999999999851e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.664000000000000146e+00,9.505000000000000782e+00,5.841000000000000192e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.701000000000000068e+00,9.544999999999999929e+00,5.844000000000000306e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.726999999999999869e+00,9.583999999999999631e+00,5.857000000000000206e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.741000000000000103e+00,9.596000000000000085e+00,5.855000000000000426e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713999999999999968e+00,9.583000000000000185e+00,5.868999999999999773e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.713999999999999968e+00,9.593999999999999417e+00,5.879999999999999893e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.714999999999999858e+00,9.583999999999999631e+00,5.868999999999999773e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.664000000000000146e+00,9.544000000000000483e+00,5.879999999999999893e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.665000000000000036e+00,9.519999999999999574e+00,5.855000000000000426e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.650999999999999801e+00,9.483999999999999986e+00,5.833000000000000185e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.613999999999999879e+00,9.446999999999999176e+00,5.833000000000000185e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.613999999999999879e+00,9.458000000000000185e+00,5.844000000000000306e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.650999999999999801e+00,9.494999999999999218e+00,5.844000000000000306e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.676000000000000156e+00,9.509000000000000341e+00,5.833000000000000185e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.665000000000000036e+00,9.496000000000000441e+00,5.831000000000000405e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.664000000000000146e+00,9.483000000000000540e+00,5.818999999999999950e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.677000000000000046e+00,9.506999999999999673e+00,5.830000000000000071e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.637999999999999901e+00,9.492000000000000881e+00,5.854000000000000092e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.625000000000000000e+00,9.467999999999999972e+00,5.842999999999999972e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.625999999999999890e+00,9.483999999999999986e+00,5.857999999999999652e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.612999999999999989e+00,9.494999999999999218e+00,5.881999999999999673e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.664000000000000146e+00,9.535000000000000142e+00,5.871000000000000441e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.625999999999999890e+00,9.509999999999999787e+00,5.884000000000000341e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.600999999999999979e+00,9.476000000000000867e+00,5.875000000000000000e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.613999999999999879e+00,9.500000000000000000e+00,5.886000000000000121e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.615000000000000213e+00,9.510999999999999233e+00,5.895999999999999908e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.576000000000000068e+00,9.474999999999999645e+00,5.899000000000000021e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.551000000000000156e+00,9.436999999999999389e+00,5.886000000000000121e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
