time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,2.996999999999999886e+00,7.915000000000000036e+00,4.918000000000000149e+00,0.000000000000000000e+00,4.367296291722000205e+02,-1.880908127999670054e-01
9.999999999999786837e-03,3.006444069755327853e+00,7.952049812117055971e+00,4.945605742361728119e+00,5.030934239999993451e-01,4.367423363652000035e+02,-1.850237077999810076e-01
1.999999999999957367e-02,3.026806185206272204e+00,7.993862885999872603e+00,4.967056700793600399e+00,9.988005760000078226e-01,4.367616119731999902e+02,-1.879814587999669995e-01
2.999999999999936051e-02,3.050082083699584334e+00,8.032569286342145176e+00,4.982487202642560398e+00,1.488033424000008154e+00,4.367714821082000185e+02,-1.969075057999810086e-01
4.000000000000003553e-02,3.060219756906112032e+00,8.049948154696192404e+00,4.989728397790079484e+00,1.989501232000009168e+00,4.367600327761999779e+02,-2.007555817999999992e-01
4.999999999999982236e-02,3.060847626571986169e+00,8.068557041278188180e+00,5.007709414706201123e+00,2.479354577999998810e+00,4.367239380731999745e+02,-1.885191867999999882e-01
5.999999999999960920e-02,3.074364893022289102e+00,8.097403620392389811e+00,5.023038727370098933e+00,2.967528237999999874e+00,4.366997244511999838e+02,-1.883251608000000021e-01
6.999999999999939604e-02,3.111410723080336727e+00,8.142286068347331707e+00,5.030875345266993648e+00,3.464319906000000060e+00,4.367000063712000042e+02,-1.982157047999910104e-01
8.000000000000007105e-02,3.149139874715378262e+00,8.187996386674400995e+00,5.038856511959021844e+00,3.966840200000007144e+00,4.366876615342000036e+02,-1.890603027999759878e-01
8.999999999999985789e-02,3.157767496501984184e+00,8.205999999999999517e+00,5.048232503498016221e+00,4.475179522000004795e+00,4.366786573232000137e+02,-1.789153857999850050e-01
9.999999999999964473e-02,3.149999999999999911e+00,8.206526662270361427e+00,5.056526662270362849e+00,4.984492070000001718e+00,4.366876989262000279e+02,-1.798339907999620124e-01
1.099999999999994316e-01,3.149999999999999911e+00,8.208678152977164189e+00,5.058678152977164721e+00,5.484591704000010282e+00,4.367002139542000236e+02,-1.827669128000040111e-01
1.200000000000001066e-01,3.150632322015765929e+00,8.226072694425688780e+00,5.075440372409921963e+00,5.997299026000007416e+00,4.367024273942000150e+02,-1.866606917999659998e-01
1.299999999999998934e-01,3.150999999999999801e+00,8.244410357205333995e+00,5.093410357205335082e+00,6.518505212000007987e+00,4.366961291541999799e+02,-1.855225177999909880e-01
1.399999999999996803e-01,3.153658100363740946e+00,8.263422524742031428e+00,5.109764424378290926e+00,7.023396536000007018e+00,4.366948914981999792e+02,-1.894058598000100124e-01
1.499999999999994671e-01,3.171393993453108795e+00,8.299603746644342195e+00,5.128209753191232956e+00,7.518107311999997933e+00,4.367140783552000016e+02,-2.013635778000099907e-01
1.599999999999992539e-01,3.189110517147034862e+00,8.333708282315566152e+00,5.144597765168530401e+00,7.995787622000008810e+00,4.367333122371999821e+02,-2.083252177999589949e-01
1.699999999999999289e-01,3.201999999999999957e+00,8.363235138348336761e+00,5.161235138348335916e+00,8.473379972000003590e+00,4.367365399281999885e+02,-2.082303607999579920e-01
1.799999999999997158e-01,3.201999999999999957e+00,8.382299261182943440e+00,5.180299261182943482e+00,8.962354087999997887e+00,4.367333954481999854e+02,-2.111105098000010116e-01
1.899999999999995026e-01,3.216860577907243890e+00,8.421854233209964846e+00,5.204993655302721400e+00,9.446134155999999393e+00,4.367159600461999958e+02,-2.059413428000050061e-01
1.999999999999992895e-01,3.245184545121131858e+00,8.472287883059074431e+00,5.227103337937942129e+00,9.927089874000003533e+00,4.366953620712000088e+02,-1.997616397999769922e-01
2.099999999999999645e-01,3.290551320182812933e+00,8.535376054629223219e+00,5.244824734446411618e+00,1.042139629400000445e+01,4.366865370741999755e+02,-1.956205157999570121e-01
2.199999999999997513e-01,3.299381318168405297e+00,8.553461079517511223e+00,5.254079761349106370e+00,1.090997142400000541e+01,4.366903811701999985e+02,-1.985254097999999967e-01
2.299999999999995381e-01,3.302999999999999936e+00,8.565194743000203559e+00,5.262194743000204511e+00,1.140930045400000381e+01,4.366988492552000025e+02,-2.004442188000100100e-01
2.399999999999993250e-01,3.306669433469837216e+00,8.578632421617260917e+00,5.271962988147423701e+00,1.191367879599999924e+01,4.367065969111999948e+02,-2.043593757999729865e-01
2.500000000000000000e-01,3.324973746933693963e+00,8.616705393622082099e+00,5.291731646688389468e+00,1.242424463400000434e+01,4.366936850022000272e+02,-2.022002287999619952e-01
2.599999999999997868e-01,3.343749575927746687e+00,8.646309372373064406e+00,5.302559796445318163e+00,1.294796254800000668e+01,4.366784836961999758e+02,-2.100301438000020116e-01
2.699999999999995737e-01,3.358798669529255765e+00,8.670051027184044301e+00,5.311252357654788092e+00,1.347555885200000603e+01,4.366655247621999933e+02,-2.128670747999870105e-01
