LT_time,LT_x,LT_y,LT_z
0.000000000000000000e+00,0.000000000000000000e+00,4.990876334921999842e+02,-2.370959097999749965e-01
9.999999999999786837e-03,4.737407039999936842e-01,4.991056904022000253e+02,-2.300541827999700029e-01
2.000000000000046185e-02,9.669681999999966138e-01,4.991508559952000041e+02,-2.361038467999979906e-01
3.000000000000024869e-02,1.455487705999999548e+00,4.991907623931999751e+02,-2.371359707999750044e-01
4.000000000000003553e-02,1.970790497999999502e+00,4.992001459901999851e+02,-2.380544498000080056e-01
4.999999999999982236e-02,2.492681103999998982e+00,4.991818602782000198e+02,-2.388738437999839981e-01
5.999999999999960920e-02,3.003445748000004301e+00,4.991479221142000142e+02,-2.376404768000079937e-01
7.000000000000028422e-02,3.513899588000001017e+00,4.991369751891999726e+02,-2.444883458000129961e-01
8.000000000000007105e-02,4.001077801999997519e+00,4.991477438062000260e+02,-2.494179938000080088e-01
8.999999999999985789e-02,4.479641602000000944e+00,4.991690455351999844e+02,-2.523867067999939762e-01
9.999999999999964473e-02,4.968360579999995252e+00,4.991879150941999796e+02,-2.573445927999900018e-01
1.100000000000003197e-01,5.452510046000000443e+00,4.991815504912000279e+02,-2.432143437999789992e-01
1.200000000000001066e-01,5.946500513999993132e+00,4.991607127752000110e+02,-2.320308628000120055e-01
1.299999999999998934e-01,6.463283255999996868e+00,4.991441705561999811e+02,-2.238574857999739987e-01
1.399999999999996803e-01,6.962466883999994138e+00,4.991376378741999815e+02,-2.167233447999689921e-01
1.500000000000003553e-01,7.461396039999996788e+00,4.991531086471999856e+02,-2.146669227999589979e-01
1.600000000000001421e-01,7.953254209999997215e+00,4.991871711381999717e+02,-2.226777317999990013e-01
1.699999999999999289e-01,8.457321526000001199e+00,4.992179135612000209e+02,-2.336741307999659900e-01
1.799999999999997158e-01,8.964095823999997492e+00,4.992187831112000254e+02,-2.385644947999600030e-01
1.900000000000003908e-01,9.476059243999998216e+00,4.991989360971999758e+02,-2.373805757999840060e-01
2.000000000000001776e-01,9.999494165999990969e+00,4.991886948791999998e+02,-2.542281117999800055e-01
2.099999999999999645e-01,1.051188864399999545e+01,4.991788462082000137e+02,-2.650794498000049737e-01
2.199999999999997513e-01,1.100014871000000483e+01,4.991706634732000225e+02,-2.649419628000039828e-01
2.300000000000004263e-01,1.149642517600000247e+01,4.991799659851999991e+02,-2.648643818000039896e-01
2.400000000000002132e-01,1.197960767399999327e+01,4.991905418861999806e+02,-2.597941738000090206e-01
2.500000000000000000e-01,1.246441463600000077e+01,4.991902068502000134e+02,-2.506850837999939907e-01
2.599999999999997868e-01,1.297098542399999133e+01,4.991770916411999792e+02,-2.415260627999790133e-01
2.700000000000004619e-01,1.347601455999999587e+01,4.991558896021999772e+02,-2.283388278000040017e-01
2.800000000000002487e-01,1.397209084600000040e+01,4.991511544351999987e+02,-2.292117717999790083e-01
2.900000000000000355e-01,1.447507293799999673e+01,4.991658160282000267e+02,-2.381516647999940006e-01
2.999999999999998224e-01,1.496413345999999933e+01,4.991787024352000230e+02,-2.410883527999790055e-01
3.099999999999996092e-01,1.547433149600000490e+01,4.991897801331999744e+02,-2.470139768000070013e-01
3.200000000000002842e-01,1.598604222000000163e+01,4.991919083501999808e+02,-2.589077288000080079e-01
3.300000000000000711e-01,1.649355749199999366e+01,4.991797991162000017e+02,-2.637521378000050043e-01
3.399999999999998579e-01,1.700706322999999998e+01,4.991680283481999822e+02,-2.695964147999759808e-01
3.499999999999996447e-01,1.752122424399999545e+01,4.991623224272000243e+02,-2.704619108000089756e-01
3.600000000000003197e-01,1.801621778999999890e+01,4.991765527242000076e+02,-2.724020137999609847e-01
3.700000000000001066e-01,1.851280798799999161e+01,4.991979032351999876e+02,-2.693668497999749945e-01
3.799999999999998934e-01,1.899798545800000227e+01,4.992086213581999914e+02,-2.562966477999990000e-01
3.899999999999996803e-01,1.950204651599999295e+01,4.992043774631999895e+02,-2.471694837999849903e-01
4.000000000000003553e-01,2.000325425999999140e+01,4.991799346842000205e+02,-2.389716978000019920e-01
4.100000000000001421e-01,2.049259440199999460e+01,4.991528288211999893e+02,-2.257671237999689939e-01
4.199999999999999289e-01,2.098211223999999220e+01,4.991577071162000152e+02,-2.346754957999840074e-01
4.299999999999997158e-01,2.147699423200000979e+01,4.991738953412000228e+02,-2.476226027999610113e-01
