time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.238999999999999879e+00,9.686999999999999389e+00,6.448000000000000398e+00,-7.850616604699999357e+01,4.996571812111999975e+02,2.299876702819999963e+01
8.999999999999999320e-03,3.251999999999999780e+00,9.712999999999999190e+00,6.461000000000000298e+00,-7.850526731059991903e+01,4.996572293350999985e+02,2.299786705250000196e+01
1.000000000000000021e-02,3.253499999999999837e+00,9.714749999999998664e+00,6.461250000000000604e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
1.700000000000000122e-02,3.263999999999999790e+00,9.727000000000000313e+00,6.463000000000000078e+00,-7.850586646819996872e+01,4.996571972524999978e+02,2.299846703629999922e+01
2.000000000000000042e-02,3.259999999999999787e+00,9.722333333333333272e+00,6.462333333333333485e+00,-7.850616604699999357e+01,4.996571812111999975e+02,2.299876702819999963e+01
2.599999999999999881e-02,3.251999999999999780e+00,9.712999999999999190e+00,6.461000000000000298e+00,-7.850556688939994388e+01,4.996572132937999982e+02,2.299816704439999882e+01
2.999999999999999889e-02,3.240888888888888708e+00,9.690777777777777047e+00,6.449888888888889227e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
3.500000000000000333e-02,3.226999999999999869e+00,9.663000000000000256e+00,6.435999999999999943e+00,-7.850466826399994602e+01,4.996572631816999888e+02,2.299776706569999973e+01
4.000000000000000083e-02,3.226444444444444226e+00,9.649666666666666615e+00,6.423222222222221944e+00,-7.850416907700000024e+01,4.996572916811999789e+02,2.299776707619999883e+01
4.399999999999999745e-02,3.225999999999999979e+00,9.638999999999999346e+00,6.413000000000000256e+00,-7.850456842659995971e+01,4.996572688815999754e+02,2.299776706779999813e+01
5.000000000000000278e-02,3.235749999999999904e+00,9.657750000000000057e+00,6.421999999999999709e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
5.199999999999999761e-02,3.238999999999999879e+00,9.663999999999999702e+00,6.424999999999999822e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
5.999999999999999778e-02,3.238999999999999879e+00,9.665777777777778468e+00,6.426777777777777700e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
6.099999999999999867e-02,3.238999999999999879e+00,9.666000000000000369e+00,6.426999999999999602e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
7.000000000000000666e-02,3.251999999999999780e+00,9.654999999999999361e+00,6.402999999999999581e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
7.900000000000000078e-02,3.240000000000000213e+00,9.644000000000000128e+00,6.403999999999999915e+00,-7.850426891439998656e+01,4.996572859812999923e+02,2.299776707410000043e+01
8.000000000000000167e-02,3.240000000000000213e+00,9.645625000000000782e+00,6.405624999999999680e+00,-7.850416907700000024e+01,4.996572916811999789e+02,2.299776707619999883e+01
8.699999999999999400e-02,3.240000000000000213e+00,9.657000000000000028e+00,6.416999999999999815e+00,-7.850416892159999804e+01,4.996572892116000162e+02,2.299706708040000080e+01
8.999999999999999667e-02,3.252666666666666817e+00,9.660666666666665847e+00,6.407999999999999474e+00,-7.850416885500000319e+01,4.996572881531999997e+02,2.299676708220000165e+01
9.600000000000000200e-02,3.278000000000000025e+00,9.667999999999999261e+00,6.389999999999999680e+00,-7.850476801259993920e+01,4.996572560705999990e+02,2.299736706600000247e+01
1.000000000000000056e-01,3.272222222222222143e+00,9.667111111111111654e+00,6.394888888888888623e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
1.049999999999999961e-01,3.265000000000000124e+00,9.666000000000000369e+00,6.400999999999999801e+00,-7.850516733999995722e+01,4.996572329182000090e+02,2.299726705820000205e+01
1.100000000000000006e-01,3.248749999999999805e+00,9.649750000000000938e+00,6.400999999999999801e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.130000000000000032e-01,3.238999999999999879e+00,9.640000000000000568e+00,6.400999999999999801e+00,-7.850546680779999065e+01,4.996572151129000190e+02,2.299706705310000032e+01
1.199999999999999956e-01,3.229375000000000107e+00,9.606749999999999901e+00,6.377374999999999794e+00,-7.850616582499999652e+01,4.996571776832000182e+02,2.299776703419999890e+01
1.209999999999999964e-01,3.228000000000000203e+00,9.602000000000000313e+00,6.373999999999999666e+00,-7.850606598759998178e+01,4.996571833831000049e+02,2.299776703629999730e+01
1.300000000000000044e-01,3.261300000000000310e+00,9.611900000000000333e+00,6.350600000000000023e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
1.310000000000000053e-01,3.265000000000000124e+00,9.612999999999999545e+00,6.347999999999999865e+00,-7.850516742879992194e+01,4.996572343294000120e+02,2.299766705580000092e+01
1.390000000000000124e-01,3.263999999999999790e+00,9.625999999999999446e+00,6.362000000000000099e+00,-7.850516725119999251e+01,4.996572315070000059e+02,2.299686706059999963e+01
1.400000000000000133e-01,3.262666666666666604e+00,9.624666666666666259e+00,6.362000000000000099e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.479999999999999927e-01,3.251999999999999780e+00,9.614000000000000767e+00,6.362000000000000099e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.499999999999999944e-01,3.254999999999999893e+00,9.620250000000000412e+00,6.365250000000000519e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.559999999999999998e-01,3.263999999999999790e+00,9.638999999999999346e+00,6.375000000000000000e+00,-7.850456820460000529e+01,4.996572653535999962e+02,2.299676707380000096e+01
