time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.822000000000000064e+00,9.602000000000000313e+00,5.780000000000000249e+00,2.577537409999740015e-01,1.491666854332000014e+02,-1.813121398000049900e-01
1.000000000000000021e-02,3.783999999999999808e+00,9.592249999999999943e+00,5.808250000000000135e+00,7.754809670000539779e-01,1.491511491891999981e+02,-1.871421927999759871e-01
2.000000000000000042e-02,3.801333333333333009e+00,9.615222222222222115e+00,5.813888888888889106e+00,1.285503304999989993e+00,1.491302109771999937e+02,-1.799548167999709958e-01
2.999999999999999889e-02,3.838624999999999954e+00,9.666124999999999190e+00,5.827499999999999680e+00,1.793957511000050076e+00,1.491191959182000062e+02,-1.738028057999989884e-01
4.000000000000000083e-02,3.878333333333333410e+00,9.700222222222221191e+00,5.821888888888889113e+00,2.308034825000059964e+00,1.491325018761999956e+02,-1.787354217999939932e-01
5.000000000000000278e-02,3.863888888888888928e+00,9.705999999999999517e+00,5.842111111111110588e+00,2.803141035000050074e+00,1.491447566052000013e+02,-1.746684907999760117e-01
5.999999999999999778e-02,3.847999999999999865e+00,9.682000000000000384e+00,5.833999999999999631e+00,3.289319099000049818e+00,1.491554964471999938e+02,-1.715982077999889943e-01
7.000000000000000666e-02,3.820777777777777828e+00,9.686777777777777487e+00,5.865999999999999659e+00,3.787649977000040025e+00,1.491639040052000098e+02,-1.745170317999749920e-01
8.000000000000000167e-02,3.758333333333333304e+00,9.660666666666665847e+00,5.902333333333332988e+00,4.287662983000020134e+00,1.491603916742000138e+02,-1.763934207999839909e-01
8.999999999999999667e-02,3.708000000000000185e+00,9.625999999999999446e+00,5.917999999999999261e+00,4.799456518999999588e+00,1.491435221241999898e+02,-1.802200768000039866e-01
1.000000000000000056e-01,3.682399999999999896e+00,9.599999999999999645e+00,5.917600000000000193e+00,5.313960631000039569e+00,1.491318083552000076e+02,-1.860643327999750019e-01
1.100000000000000006e-01,3.690999999999999837e+00,9.627750000000000696e+00,5.936749999999999972e+00,5.803163405000029584e+00,1.491246598191999908e+02,-1.919303238000039935e-01
1.199999999999999956e-01,3.684222222222222065e+00,9.614777777777778311e+00,5.930555555555555358e+00,6.295733363000049820e+00,1.491287107432000028e+02,-2.008350977999630027e-01
1.300000000000000044e-01,3.682999999999999829e+00,9.602000000000000313e+00,5.918999999999999595e+00,6.787303837000020046e+00,1.491327223081999875e+02,-2.047399227999819882e-01
1.400000000000000133e-01,3.700555555555555376e+00,9.629333333333333300e+00,5.928777777777777480e+00,7.276389507000040169e+00,1.491276199001999885e+02,-1.966130677999989862e-01
1.499999999999999944e-01,3.720375000000000210e+00,9.645500000000000185e+00,5.925125000000000419e+00,7.775776201000000221e+00,1.491350790331999860e+02,-2.015283237999959953e-01
1.600000000000000033e-01,3.692666666666666764e+00,9.632444444444445253e+00,5.939777777777777601e+00,8.286258117000050660e+00,1.491411825312000019e+02,-2.024363027999719900e-01
