Simulation,Gap_%,Overlap_%,Total_layout_area_mm2,Gap_area_mm2,Overlap_area_mm2
1,2.5045795360796044,1.3928617737563085,184082.12424547775,4610.483213432868,2564.009540933853
2,2.6828257986391413,1.3936946625670636,184187.99232639797,4941.442976128087,2567.0182181424416
3,2.569880795500965,1.4185565825223305,183846.3705840329,4724.632570864596,2607.9647916481963
4,2.5535022567609142,1.1683771710415496,184465.7991431848,4710.338344073279,2155.2562855683295
5,2.4458778517084774,1.2610034699517858,184057.2731653069,4501.816078808812,2320.968601313157
6,2.5453835542470857,1.4643032525667559,184006.64369047398,4683.674847219358,2694.4152684985315
7,2.5510982218467664,1.261412706134792,184120.48664344187,4697.094460816458,2322.519213117588
8,2.8356071280018864,1.6314430877871375,184065.58493631822,5219.376846652606,3002.9252624385263
9,2.702437647671012,1.496150829756629,184127.969176615,4975.943558920921,2754.8321386499556
10,2.606993228629931,1.3098464358340667,184296.11802056868,4804.587317424051,2413.996133272964
11,2.5994818190595628,1.3922268739405383,184063.58288848258,4784.699372695733,2562.582666111273
12,2.914118351892384,1.70520452362742,184135.3526066482,5365.9221026320865,3139.8843622458658
13,2.493864453586831,1.3432997215039084,184002.35941546713,4588.769435223417,2471.7031815885907
14,2.580782655063226,1.352785040308355,184092.88441082364,4751.03723008013,2490.381000581774
15,2.9743243608136236,1.6751484400290395,184274.1029479294,5480.909534651039,3086.8647609097457
16,2.513218226529801,1.4488609993385837,183935.5309143585,4622.701288004014,2664.9701713445043
17,2.5783330967339126,1.3996184784117616,184125.45628402333,4747.367578883305,2577.0539096111606
18,2.7031225127959817,1.3011377452216002,184479.5763985326,4986.708961139398,2400.3334007462263
19,2.466491796782359,1.3324122208851223,183967.0951868127,4537.533311561529,2451.200058676458
20,2.5904896311848487,1.3746955545508939,184119.76127991243,4769.6033249184275,2531.0861733646743
21,2.5429899845066335,1.3008260676912555,184200.0179517353,4684.1880079720495,2396.121850208145
22,2.690140888336734,1.4886730855665962,183928.4089206583,4947.933333641818,2738.0927203127103
23,2.661540866939122,1.446414537973124,184183.38455396265,4902.116050015355,2664.0552507194607
