Tow #,MSE,rho,dominant freq
1,nan,nan,nan
2,0.0,1.0,3.4965034965034962
3,0.0,1.0,3.2467532467532463
4,0.0,1.0,1.4985014985014984
5,0.0,1.0,1.4985014985014984
6,0.0,1.0,3.4965034965034962
7,0.0,1.0,1.7482517482517481
8,0.0,1.0,3.2467532467532463
9,0.0,1.0,2.2477522477522474
10,0.0,1.0,2.9970029970029968
11,0.0,1.0,1.2487512487512487
12,0.0,1.0,1.2487512487512487
13,0.0,1.0,1.2487512487512487
14,0.0,1.0,2.4975024975024973
15,0.0,1.0,2.2477522477522474
16,0.0,1.0,1.2487512487512487
17,0.0,1.0,2.4975024975024973
18,0.0,1.0,1.2487512487512487
19,0.0,1.0,3.2467532467532463
20,0.0,1.0,1.9980019980019978
21,0.0,1.0,1.2487512487512487
22,0.0,1.0,1.2487512487512487
23,0.0,1.0,1.4985014985014984
24,0.0,1.0,2.9970029970029968
25,0.0,1.0,1.2487512487512487
26,0.0,1.0,2.2477522477522474
27,0.0,1.0,2.4975024975024973
28,0.0,1.0,1.9980019980019978
29,0.0,1.0,2.4975024975024973
30,0.0,1.0,1.2487512487512487
31,nan,nan,nan
AVG,0.0,1.0,2.1013469289331352
