Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
2023-07-26 13:25:29.988,3356609,3357061,4.03653088378906,4.04053096516927,6.00419270833333,6.00819274902344,-2.752,3.429,6.181,6.18125367542863
2023-07-26 13:25:29.997,3356611,3357063,4.04522696940104,4.04922701009115,6.01288875325521,6.01688879394531,-2.816,3.404,6.22,6.22026116815042
2023-07-26 13:25:30.006,3356613,3357065,4.05392272949219,4.05792272949219,6.02158479817708,6.02558487955729,-2.854,3.392,6.246,6.24631771526233
2023-07-26 13:25:30.014,3356615,3357067,4.06261873372396,4.06661877441406,6.03028088378906,6.03428092447917,-2.904,3.34,6.244,6.24431781702373
2023-07-26 13:25:30.023,3356617,3357069,4.07131477864583,4.07531486002604,6.03897692871094,6.04297696940104,-2.941,3.326,6.267,6.2671838173138
2023-07-26 13:25:30.032,3356619,3357071,4.08001086425781,4.08401090494792,6.04767264811198,6.05167272949219,-2.965,3.314,6.279,6.27924971632758
2023-07-26 13:25:30.040,3356621,3357073,4.08870690917969,4.09270694986979,6.05636873372396,6.06036877441406,-2.94,3.351,6.291,6.29119869341289
2023-07-26 13:25:30.049,3356623,3357075,4.09740295410156,4.10140303548177,6.06506477864583,6.06906481933594,-2.952,3.3,6.252,6.25216194607913
2023-07-26 13:25:30.058,3356625,3357077,4.10609871419271,4.11009875488281,6.07376082356771,6.07776090494792,-2.977,3.287,6.264,6.26414080301521
2023-07-26 13:25:30.067,3356627,3357079,4.11479475911458,4.11879479980469,6.08245690917969,6.08645694986979,-3.015,3.263,6.278,6.27804977680171
2023-07-26 13:25:30.075,3356629,3357081,4.12349080403646,4.12749088541667,6.09115295410156,6.09515299479167,-3.067,3.249,6.316,6.31632424753511
2023-07-26 13:25:30.084,3356631,3357083,4.13218688964844,4.13618693033854,6.0998486735026,6.10384871419271,-3.041,3.249,6.29,6.29018314518743
2023-07-26 13:25:30.093,3356633,3357085,4.14088293457031,4.14488297526042,6.10854471842448,6.11254479980469,-3.055,3.263,6.318,6.31823939084299
2023-07-26 13:25:30.101,3356635,3357087,4.14957897949219,4.15357897949219,6.11724080403646,6.12124084472656,-3.068,3.25,6.318,6.31820583710281
2023-07-26 13:25:30.109,3356637,3357089,4.15827469889323,4.16227478027344,6.12593684895833,6.12993688964844,-3.08,3.199,6.279,6.27914046665624
2023-07-26 13:25:30.118,3356639,3357091,4.16697078450521,4.17097082519531,6.13463289388021,6.13863297526042,-3.132,3.161,6.293,6.29318305788096
2023-07-26 13:25:30.127,3356641,3357093,4.17566682942708,4.17966687011719,6.14332885742188,6.14732885742187,-3.132,3.174,6.306,6.30612059827593
2023-07-26 13:25:30.135,3356643,3357095,4.18436287434896,4.18836295572917,6.15202469889323,6.15602473958333,-3.131,3.199,6.33,6.33013933495938
2023-07-26 13:25:30.144,3356645,3357097,4.19305895996094,4.19705900065104,6.1607207438151,6.16472082519531,-3.167,3.136,6.303,6.30314667447934
2023-07-26 13:25:30.153,3356647,3357099,4.20175476074219,4.20575476074219,6.16941682942708,6.17341687011719,-3.206,3.096,6.302,6.3021904922019
2023-07-26 13:25:30.162,3356649,3357101,4.21045072428385,4.21445080566406,6.17811287434896,6.18211291503906,-3.232,3.096,6.328,6.32832363268504
2023-07-26 13:25:30.170,3356651,3357103,4.21914680989583,4.22314685058594,6.18680891927083,6.19080900065104,-3.256,3.071,6.327,6.32726583920733
2023-07-26 13:25:30.179,3356653,3357105,4.22784285481771,4.23184289550781,6.19550463867188,6.19950472005208,-3.244,3.084,6.328,6.32819753168309
2023-07-26 13:25:30.188,3356655,3357107,4.23653889973958,4.24053898111979,6.20420072428385,6.20820076497396,-3.268,3.071,6.339,6.33921327926423
2023-07-26 13:25:30.197,3356657,3357109,4.24523498535156,4.24923502604167,6.21289676920573,6.21689680989583,-3.293,3.033,6.326,6.32619759413188
2023-07-26 13:25:30.210,3356659,3357111,4.2539307047526,4.25793074544271,6.2215928141276,6.22559289550781,-3.307,3.032,6.339,6.33936471580552
2023-07-26 13:25:30.218,3356662,3357114,4.26697477213542,4.27097485351563,6.23463692220052,6.23863696289062,-3.243,3.007,6.25,6.25025991459555
2023-07-26 13:25:30.227,3356664,3357116,4.2756708577474,4.2796708984375,6.24333276367187,6.24733276367188,-3.218,3.033,6.251,6.2512598730176
2023-07-26 13:25:30.236,3356666,3357118,4.28436690266927,4.28836694335937,6.25202868652344,6.25602876790365,-3.18,3.045,6.225,6.22513501861606
2023-07-26 13:25:30.245,3356668,3357120,4.29306294759115,4.29706302897135,6.26072477213542,6.26472481282552,-3.154,3.095,6.249,6.2492081098328
2023-07-26 13:25:30.253,3356670,3357122,4.30175866699219,4.3057587483724,6.26942081705729,6.2734208577474,-3.192,3.07,6.262,6.2622076778082
2023-07-26 13:25:30.266,3356672,3357124,4.31045475260417,4.31445479329427,6.27811686197917,6.28211694335937,-3.218,3.044,6.262,6.26241391158394
2023-07-26 13:25:30.275,3356675,3357127,4.32349881998698,4.32749890136719,6.29116088867188,6.29516088867187,-3.216,3.057,6.273,6.27312123268792
2023-07-26 13:25:30.284,3356677,3357129,4.33219490559896,4.33619494628906,6.29985668945313,6.30385673014323,-3.255,3.007,6.262,6.26227794017481
2023-07-26 13:25:30.293,3356679,3357131,4.34089095052083,4.34489099121094,6.308552734375,6.31255281575521,-3.267,3.006,6.273,6.27309214024471
2023-07-26 13:25:30.302,3356681,3357133,4.34958679199219,4.35358679199219,6.31724881998698,6.32124886067708,-3.241,3.019,6.26,6.26023290301567
2023-07-26 13:25:30.311,3356683,3357135,4.35828271484375,4.36228279622396,6.32594486490885,6.32994490559896,-3.216,3.032,6.248,6.24811555590964
2023-07-26 13:25:30.323,3356685,3357137,4.36697880045573,4.37097884114583,6.33464090983073,6.33864099121094,-3.228,3.006,6.234,6.23405012812698
2023-07-26 13:25:30.332,3356688,3357140,4.38002286783854,4.38402294921875,6.34768469238281,6.35168473307292,-3.191,3.032,6.223,6.22330884658636
2023-07-26 13:25:30.341,3356690,3357142,4.38871895345052,4.39271899414062,6.35638073730469,6.36038077799479,-3.152,3.03,6.182,6.18227207424584
2023-07-26 13:25:30.353,3356692,3357144,4.39741491699219,4.40141491699219,6.36507678222656,6.36907686360677,-3.216,3.043,6.259,6.2594860012624
2023-07-26 13:25:30.366,3356695,3357147,4.41045874023438,4.41445882161458,6.37812089029948,6.38212093098958,-3.254,3.006,6.26,6.26025047422226
2023-07-26 13:25:30.380,3356698,3357150,4.42350284830729,4.4275028889974,6.39116479492187,6.39516479492188,-3.191,3.057,6.248,6.24832777629343
2023-07-26 13:25:30.389,3356701,3357153,4.43654695638021,4.44054699707031,6.40420874023437,6.40820878092448,-3.228,3.031,6.259,6.25953712346209
2023-07-26 13:25:30.397,3356703,3357155,4.44524300130208,4.44924304199219,6.41290478515625,6.41690482584635,-3.241,3.043,6.284,6.28445956308098
2023-07-26 13:25:30.409,3356705,3357157,4.45393872070312,4.45793876139323,6.42160083007813,6.42560091145833,-3.265,3.029,6.294,6.29437820598667
2023-07-26 13:25:30.418,3356708,3357160,4.46698278808594,4.47098286946615,6.43464493815104,6.43864497884115,-3.227,3.08,6.307,6.30733493640539
2023-07-26 13:25:30.431,3356710,3357162,4.47567887369792,4.47967891438802,6.44334065755208,6.44734069824219,-3.252,3.055,6.307,6.30727595717834
2023-07-26 13:25:30.441,3356713,3357165,4.48872294108073,4.49272298177083,6.456384765625,6.4603848063151,-3.277,3.042,6.319,6.31931404505268
