Id,TimeStamp,X_mm_,Y_mm_,Z_mm_,Y_normalised
1,26.07.2023 14:16:47.800,-78.748471589,124.4869964852,24.3823432372,-0.513003514799891
2,26.07.2023 14:16:47.810,-78.7474732150001,124.4870534842,24.3823432582,-0.512946515799896
3,26.07.2023 14:16:47.820,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
4,26.07.2023 14:16:47.830,-78.749412965,124.4859411182,24.3823467512,-0.514058881800096
5,26.07.2023 14:16:47.840,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
6,26.07.2023 14:16:47.850,-78.750411783,124.4858911752,24.3843467182,-0.51410882480009
7,26.07.2023 14:16:47.860,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
8,26.07.2023 14:16:47.870,-78.750354785,124.4848928072,24.3843502532,-0.515107192799846
9,26.07.2023 14:16:47.880,-78.749356411,124.4849498062,24.3843502742,-0.515050193799851
10,26.07.2023 14:16:47.890,-78.750354341,124.4848857512,24.3823502652,-0.515114248799847
11,26.07.2023 14:16:47.900,-78.749356189,124.4849462782,24.3833502802,-0.515053721799845
12,26.07.2023 14:16:47.910,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
13,26.07.2023 14:16:47.920,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
14,26.07.2023 14:16:47.930,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
15,26.07.2023 14:16:47.940,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
16,26.07.2023 14:16:47.950,-78.749412965,124.4859411182,24.3823467512,-0.514058881800096
17,26.07.2023 14:16:47.960,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
18,26.07.2023 14:16:47.970,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
19,26.07.2023 14:16:47.980,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
20,26.07.2023 14:16:47.990,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
21,26.07.2023 14:16:48.000,-78.750354563,124.4848892792,24.3833502592,-0.515110720799839
22,26.07.2023 14:16:48.010,-78.749355967,124.4849427502,24.3823502862,-0.515057249799852
23,26.07.2023 14:16:48.020,-78.749356411,124.4849498062,24.3843502742,-0.515050193799851
24,26.07.2023 14:16:48.030,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
25,26.07.2023 14:16:48.040,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
26,26.07.2023 14:16:48.050,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
27,26.07.2023 14:16:48.060,-78.750411783,124.4858911752,24.3843467182,-0.51410882480009
28,26.07.2023 14:16:48.070,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
29,26.07.2023 14:16:48.080,-78.750411561,124.4858876472,24.3833467242,-0.514112352800083
30,26.07.2023 14:16:48.090,-78.750411783,124.4858911752,24.3843467182,-0.51410882480009
31,26.07.2023 14:16:48.100,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
32,26.07.2023 14:16:48.110,-78.748415035,124.4860051732,24.3843467602,-0.513994826800101
33,26.07.2023 14:16:48.120,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
34,26.07.2023 14:16:48.130,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
35,26.07.2023 14:16:48.140,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
36,26.07.2023 14:16:48.150,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
37,26.07.2023 14:16:48.160,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
38,26.07.2023 14:16:48.170,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
39,26.07.2023 14:16:48.180,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
40,26.07.2023 14:16:48.190,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
41,26.07.2023 14:16:48.200,-78.749356411,124.4849498062,24.3843502742,-0.515050193799851
42,26.07.2023 14:16:48.210,-78.749356633,124.4849533342,24.3853502682,-0.515046665799844
43,26.07.2023 14:16:48.220,-78.749356411,124.4849498062,24.3843502742,-0.515050193799851
44,26.07.2023 14:16:48.230,-78.749413853,124.4859552302,24.3863467272,-0.514044769800094
45,26.07.2023 14:16:48.240,-78.750412005,124.4858947032,24.3853467122,-0.514105296800082
46,26.07.2023 14:16:48.250,-78.748415035,124.4860051732,24.3843467602,-0.513994826800101
47,26.07.2023 14:16:48.260,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
48,26.07.2023 14:16:48.270,-78.747417105,124.4860692282,24.3863467692,-0.513930771800105
49,26.07.2023 14:16:48.280,-78.747416661,124.4860621722,24.3843467812,-0.513937827800106
50,26.07.2023 14:16:48.290,-78.7474736590001,124.4870605402,24.3843432462,-0.512939459799895
51,26.07.2023 14:16:48.300,-78.748415035,124.4860051732,24.3843467602,-0.513994826800101
52,26.07.2023 14:16:48.310,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
53,26.07.2023 14:16:48.320,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
54,26.07.2023 14:16:48.330,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
55,26.07.2023 14:16:48.340,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
56,26.07.2023 14:16:48.350,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
57,26.07.2023 14:16:48.360,-78.747417105,124.4860692282,24.3863467692,-0.513930771800105
58,26.07.2023 14:16:48.370,-78.748415257,124.4860087012,24.3853467542,-0.513991298800093
59,26.07.2023 14:16:48.380,-78.750411783,124.4858911752,24.3843467182,-0.51410882480009
60,26.07.2023 14:16:48.390,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
61,26.07.2023 14:16:48.400,-78.748415035,124.4860051732,24.3843467602,-0.513994826800101
62,26.07.2023 14:16:48.410,-78.749413409,124.4859481742,24.3843467392,-0.514051825800095
63,26.07.2023 14:16:48.420,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
64,26.07.2023 14:16:48.430,-78.748415035,124.4860051732,24.3843467602,-0.513994826800101
65,26.07.2023 14:16:48.440,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
66,26.07.2023 14:16:48.450,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
67,26.07.2023 14:16:48.460,-78.747416439,124.4860586442,24.3833467872,-0.5139413558001
68,26.07.2023 14:16:48.470,-78.748414591,124.4859981172,24.3823467722,-0.514001882800102
69,26.07.2023 14:16:48.480,-78.747416217,124.4860551162,24.3823467932,-0.513944883800107
70,26.07.2023 14:16:48.490,-78.746474841,124.4871104832,24.3823432792,-0.512889516799888
71,26.07.2023 14:16:48.500,-78.7474734370001,124.4870570122,24.3833432522,-0.512942987799889
72,26.07.2023 14:16:48.510,-78.747416439,124.4860586442,24.3833467872,-0.5139413558001
73,26.07.2023 14:16:48.520,-78.7464180649999,124.4861156432,24.3833468082,-0.513884356800091
74,26.07.2023 14:16:48.530,-78.745419913,124.4861761702,24.3843468232,-0.513823829800103
75,26.07.2023 14:16:48.540,-78.7464182869999,124.4861191712,24.3843468022,-0.513880828800097
76,26.07.2023 14:16:48.550,-78.7464180649999,124.4861156432,24.3833468082,-0.513884356800091
