Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
2023-07-26 13:39:09.245,3544887,3545339,55.2703096923828,55.274309773763,57.2373778076172,57.2413778889974,-3.198,3.062,6.26,6.26020774415674
2023-07-26 13:39:09.254,3544890,3545342,55.2833538004557,55.2873538411458,57.2504219156901,57.2544219563802,-3.134,3.099,6.233,6.23318481997767
2023-07-26 13:39:09.263,3544892,3545344,55.2920498453776,55.2960498860677,57.2591179199219,57.2631179199219,-3.083,3.162,6.245,6.24526932966065
2023-07-26 13:39:09.272,3544894,3545346,55.3007458902995,55.3047459716797,57.267813680013,57.2718137613932,-3.07,3.214,6.284,6.28413375096361
2023-07-26 13:39:09.284,3544896,3545348,55.3094419759115,55.3134420166016,57.276509765625,57.2805098063151,-3.07,3.239,6.309,6.30909708278451
2023-07-26 13:39:09.293,3544899,3545351,55.3224857177734,55.3264857584635,57.2895538330078,57.2935538736979,-2.993,3.328,6.321,6.32118224701677
2023-07-26 13:39:09.302,3544901,3545353,55.3311817626953,55.3351818440755,57.2982602945964,57.3022603759766,-2.981,3.353,6.334,6.33409125289492
2023-07-26 13:39:09.314,3544903,3545355,55.3398778483073,55.3438778889974,57.3069459635417,57.3109460042318,-2.981,3.379,6.36,6.36027365763455
2023-07-26 13:39:09.323,3544906,3545358,55.3529219156901,55.3569219970703,57.3199897054036,57.3239897460938,-2.956,3.405,6.361,6.36107553798884
2023-07-26 13:39:09.332,3544908,3545360,55.3616180013021,55.3656180419922,57.3286857503255,57.3326858317057,-2.969,3.419,6.388,6.38806582621062
2023-07-26 13:39:09.345,3544910,3545362,55.3703137207031,55.3743137613932,57.3373818359375,57.3413818766276,-2.981,3.404,6.385,6.38525441936341
2023-07-26 13:39:09.354,3544913,3545365,55.3833577880859,55.3873578694662,57.3504259033203,57.3544259847005,-2.968,3.404,6.372,6.37219616772742
2023-07-26 13:39:09.367,3544915,3545367,55.3920538736979,55.396053914388,57.3591218261719,57.3631218261719,-2.955,3.392,6.347,6.34713896176852
2023-07-26 13:39:09.376,3544918,3545370,55.4050979410807,55.4090979817708,57.3721657307943,57.3761657714844,-3.004,3.365,6.369,6.36909075143383
2023-07-26 13:39:09.385,3544920,3545372,55.4137938232422,55.4177938232422,57.3808617757161,57.3848618570964,-2.99,3.326,6.316,6.31609697518966
2023-07-26 13:39:09.397,3544922,3545374,55.4224897460938,55.4264897867839,57.3895578613281,57.3935579020182,-3.03,3.289,6.319,6.31924813565665
2023-07-26 13:39:09.406,3544925,3545377,55.4355338134766,55.4395338541667,57.4026019287109,57.406601969401,-3.029,3.3,6.329,6.32909132498497
2023-07-26 13:39:09.415,3544927,3545379,55.4442298583984,55.4482299397786,57.411297648112,57.4152977294922,-3.03,3.275,6.305,6.30513988742518
2023-07-26 13:39:09.428,3544929,3545381,55.4529259440104,55.4569259847005,57.419993733724,57.4239937744141,-2.98,3.314,6.294,6.29437820598667
2023-07-26 13:39:09.437,3544932,3545384,55.4659696858724,55.4699697265625,57.4330378011068,57.4370378417969,-2.954,3.327,6.281,6.28108668941928
2023-07-26 13:39:09.446,3544934,3545386,55.4746657307943,55.4786658121745,57.4417338460286,57.4457339274089,-2.93,3.366,6.296,6.29622307419297
2023-07-26 13:39:09.458,3544936,3545388,55.4833618164063,55.4873618570964,57.4504299316406,57.4544299723307,-2.93,3.391,6.321,6.32125699525023
2023-07-26 13:39:09.467,3544939,3545391,55.4964058837891,55.5004059651693,57.4634736735026,57.4674737141927,-2.93,3.418,6.348,6.34804536845792
2023-07-26 13:39:09.476,3544941,3545393,55.505101969401,55.5091020100911,57.4721697184245,57.4761697998047,-2.942,3.392,6.334,6.33409125289492
2023-07-26 13:39:09.489,3544943,3545395,55.5137977294922,55.5177977294922,57.4808658040365,57.4848658447266,-2.943,3.353,6.296,6.29635648609575
2023-07-26 13:39:09.498,3544946,3545398,55.5268417561849,55.5308418375651,57.4939098714193,57.4979099527995,-2.93,3.367,6.297,6.29704962661086
2023-07-26 13:39:09.506,3544948,3545400,55.5355378417969,55.539537882487,57.5026059570312,57.5066059977214,-2.955,3.353,6.308,6.30811445679293
2023-07-26 13:39:09.518,3544950,3545402,55.5442338867188,55.5482339274089,57.5113016764323,57.5153017171224,-3.019,3.314,6.333,6.33326558735697
2023-07-26 13:39:09.527,3544953,3545405,55.5572779541016,55.5612780354818,57.5243457438151,57.5283458251953,-3.006,3.315,6.321,6.32124805714821
2023-07-26 13:39:09.540,3544955,3545407,55.5659737141927,55.5699737548828,57.5330418294271,57.5370418701172,-3.016,3.314,6.33,6.33022187604826
2023-07-26 13:39:09.549,3544958,3545410,55.5790177815755,55.5830178222656,57.5460858968099,57.5500859375,-3.016,3.315,6.331,6.33103822449367
2023-07-26 13:39:09.562,3544960,3545412,55.5877138264974,55.5917139078776,57.5547819417318,57.5587819824219,-3.016,3.326,6.342,6.34215964794328
2023-07-26 13:39:09.571,3544963,3545415,55.6007579345703,55.6047579752604,57.5678257242838,57.571825764974,-3.015,3.364,6.379,6.37905714036173
2023-07-26 13:39:09.584,3544965,3545417,55.6094539794922,55.6134539794922,57.5765217692057,57.5805218098958,-3.028,3.351,6.379,6.37912541027373
2023-07-26 13:39:09.593,3544968,3545420,55.6224977620443,55.6264978027344,57.5895658772786,57.5935659179687,-3.003,3.351,6.354,6.35407082113506
2023-07-26 13:39:09.606,3544970,3545422,55.6311938069661,55.6351938476563,57.5982619222005,57.6022619628906,-3.003,3.351,6.354,6.35419672342618
2023-07-26 13:39:09.615,3544973,3545425,55.644237874349,55.6482379557292,57.6113056640625,57.6153057454427,-3.041,3.35,6.391,6.39129110587211
2023-07-26 13:39:09.628,3544975,3545427,55.6529339599609,55.656934000651,57.6200017496745,57.6240017903646,-3.028,3.325,6.353,6.35306618885716
2023-07-26 13:39:09.637,3544978,3545430,55.6659777018229,55.669977742513,57.6330458170573,57.6370458577474,-3.014,3.324,6.338,6.33833329827329
2023-07-26 13:39:09.649,3544980,3545432,55.6746737467448,55.678673828125,57.6417418619792,57.6457419433594,-3.014,3.287,6.301,6.30120639242995
2023-07-26 13:39:09.658,3544983,3545435,55.6877178548177,55.6917178955078,57.6547858886719,57.6587858886719,-2.963,3.311,6.274,6.2741686301852
2023-07-26 13:39:09.671,3544985,3545437,55.6964138997396,55.7004139811198,57.6634816894531,57.6674817301432,-2.988,3.273,6.261,6.2611408704804
2023-07-26 13:39:09.680,3544988,3545440,55.7094578857422,55.7134578857422,57.676525797526,57.6805258382161,-2.99,3.299,6.289,6.289315543046
2023-07-26 13:39:09.693,3544990,3545442,55.7181537272135,55.7221537679036,57.6852218424479,57.689221883138,-2.963,3.324,6.287,6.287223393518
2023-07-26 13:39:09.702,3544993,3545445,55.731208211263,55.7352082926432,57.6982659098307,57.7022659912109,-2.951,3.349,6.3,6.30022293256358
2023-07-26 13:39:09.715,3544995,3545447,55.7398938802083,55.7438939208984,57.7069616699219,57.710961710612,-2.937,3.362,6.299,6.29920645795961
2023-07-26 13:39:09.724,3544998,3545450,55.7529379475911,55.7569380289714,57.7200057373047,57.7240057779948,-3.001,3.31,6.311,6.31130454026741
2023-07-26 13:39:09.737,3545000,3545452,55.7616336669922,55.7656337483724,57.7287017822266,57.7327018636068,-2.987,3.336,6.323,6.32325691396451
2023-07-26 13:39:09.746,3545003,3545455,55.7746777750651,55.7786778157552,57.7417458902995,57.7457459309896,-3.001,3.323,6.324,6.32417464970726
2023-07-26 13:39:09.758,3545005,3545457,55.783373819987,55.7873739013672,57.7504419352214,57.7544420166016,-3.027,3.311,6.338,6.33839766818082
2023-07-26 13:39:09.768,3545008,3545460,55.7964179280599,55.80041796875,57.7634857177734,57.7674857584635,-3,3.311,6.311,6.31116764156998
2023-07-26 13:39:09.780,3545010,3545462,55.8051139729818,55.8091140136719,57.7721817626953,57.7761818033854,-2.987,3.337,6.324,6.3240494147342
2023-07-26 13:39:09.789,3545013,3545465,55.8181577148437,55.822157796224,57.7852258300781,57.7892259114583,-2.975,3.323,6.298,6.29819847257928
2023-07-26 13:39:09.801,3545015,3545467,55.8268538004557,55.8308538411458,57.7939219156901,57.7979219563802,-2.937,3.362,6.299,6.29940013017113
2023-07-26 13:39:09.810,3545018,3545470,55.8398978678385,55.8438979492187,57.8069656575521,57.8109656982422,-2.961,3.361,6.322,6.32229428293242
2023-07-26 13:39:09.823,3545020,3545472,55.8485939534505,55.8525939941406,57.815661702474,57.8196617838542,-2.95,3.399,6.349,6.34932256228962
2023-07-26 13:39:09.832,3545023,3545475,55.8616376953125,55.8656377360026,57.8287058105469,57.832705851237,-2.987,3.373,6.36,6.36033214541505
2023-07-26 13:39:09.845,3545025,3545477,55.8703337402344,55.8743338216146,57.8374018554687,57.841401936849,-2.962,3.398,6.36,6.36028301257106
2023-07-26 13:39:09.858,3545028,3545480,55.8833778483073,55.8873778889974,57.8504459635417,57.8544460042318,-2.987,3.362,6.349,6.34910206249671
2023-07-26 13:39:09.867,3545031,3545483,55.8964219156901,55.9004219970703,57.8634897054036,57.8674897460938,-3.011,3.36,6.371,6.37121220804958
2023-07-26 13:39:09.880,3545033,3545485,55.9051180013021,55.9091180419922,57.8721857503255,57.8761858317057,-2.974,3.398,6.372,6.37209612294102
2023-07-26 13:39:09.889,3545036,3545488,55.9181617431641,55.9221617838542,57.8852298583984,57.8892298990885,-3.011,3.347,6.358,6.35819659966566
2023-07-26 13:39:09.901,3545038,3545490,55.9268577880859,55.9308578694662,57.8939259033203,57.8979259847005,-3.01,3.322,6.332,6.33204935230293
2023-07-26 13:39:09.911,3545041,3545493,55.9399018961589,55.943901936849,57.9069696858724,57.9109697265625,-2.934,3.385,6.319,6.31924813565665
2023-07-26 13:39:09.923,3545043,3545495,55.9485979410807,55.9525979817708,57.9156657307943,57.9196657714844,-2.96,3.335,6.295,6.2951270837053
2023-07-26 13:39:09.936,3545046,3545498,55.9616416829427,55.9656417643229,57.9287097981771,57.9327098795573,-2.923,3.385,6.308,6.30822264984362
2023-07-26 13:39:09.949,3545049,3545501,55.9746857910156,55.9786858317057,57.94175390625,57.9457539469401,-2.947,3.333,6.28,6.28016122404513
2023-07-26 13:39:09.963,3545052,3545504,55.9877298583984,55.9917299397786,57.954797648112,57.9587977294922,-2.933,3.307,6.24,6.24026954546036
2023-07-26 13:39:09.972,3545055,3545507,56.0007739664713,56.0047740071615,57.9678417561849,57.971841796875,-2.946,3.32,6.266,6.26620754523819
2023-07-26 13:39:09.984,3545057,3545509,56.0094696858724,56.0134697265625,57.9765378011068,57.9805378417969,-2.921,3.345,6.266,6.26636896455994
2023-07-26 13:39:09.997,3545060,3545512,56.0225137939453,56.0265138346354,57.9895819091797,57.9935819498698,-2.907,3.334,6.241,6.24114132190579
2023-07-26 13:39:10.007,3545063,3545515,56.0355578613281,56.0395579020182,58.0026257324219,58.0066257324219,-2.908,3.345,6.253,6.25308188016117
2023-07-26 13:39:10.019,3545065,3545517,56.04425390625,56.0482539876302,58.0113216959635,58.0153217773438,-2.896,3.358,6.254,6.25436967247699
2023-07-26 13:39:10.032,3545068,3545520,56.0572977294922,56.0612977294922,58.0243658040365,58.0283658447266,-2.921,3.333,6.254,6.25419986888811
2023-07-26 13:39:10.045,3545071,3545523,56.0703417561849,56.0743418375651,58.0374098714193,58.0414099527995,-2.908,3.321,6.229,6.22920877800704
2023-07-26 13:39:10.059,3545074,3545526,56.0833858642578,56.0873859049479,58.0504538574219,58.0544538574219,-2.883,3.32,6.203,6.20326188388013
2023-07-26 13:39:10.071,3545077,3545529,56.0964299316406,56.1004300130208,58.0634977213542,58.0674977620443,-2.908,3.346,6.254,6.25426894209067
2023-07-26 13:39:10.084,3545080,3545532,56.1094737141927,56.1134737548828,58.0765418294271,58.0805418701172,-2.934,3.345,6.279,6.27942433667291
2023-07-26 13:39:10.097,3545083,3545535,56.1225177815755,56.1265178222656,58.0895858968099,58.0935859375,-2.946,3.32,6.266,6.26620754523819
2023-07-26 13:39:10.110,3545086,3545538,56.1355618896484,56.1395619303385,58.1026296386719,58.1066297200521,-2.933,3.332,6.265,6.26509776460033
2023-07-26 13:39:10.123,3545089,3545541,56.1486059570313,56.1526059977214,58.1156737467448,58.1196737874349,-2.92,3.319,6.239,6.23930805458426
2023-07-26 13:39:10.136,3545092,3545544,56.1616496988932,56.1656497802734,58.1287178141276,58.1327178955078,-2.855,3.396,6.251,6.2511155004527
2023-07-26 13:39:10.149,3545095,3545547,56.1746938069661,56.1786938476562,58.1417619222005,58.1457619628906,-2.87,3.434,6.304,6.30407622098591
2023-07-26 13:39:10.162,3545098,3545550,56.187737874349,56.1917379557292,58.1548056640625,58.1588057454427,-2.858,3.46,6.318,6.31823939084299
2023-07-26 13:39:10.175,3545101,3545553,56.2007819824219,56.204782023112,58.1678497721354,58.1718498128255,-2.857,3.447,6.304,6.30413332663579
2023-07-26 13:39:10.188,3545104,3545556,56.2138257242839,56.2178258056641,58.1808938395182,58.1848939208984,-2.794,3.485,6.279,6.27905805037666
2023-07-26 13:39:10.202,3545107,3545559,56.2268698323568,56.2308698730469,58.1939379475911,58.1979379882813,-2.731,3.511,6.242,6.24215507657412
2023-07-26 13:39:10.215,3545110,3545562,56.2399138997396,56.2439139811198,58.2069816894531,58.2109817301432,-2.718,3.473,6.191,6.19103561611464
2023-07-26 13:39:10.228,3545113,3545565,56.2529578857422,56.2569578857422,58.220025797526,58.2240258382161,-2.743,3.46,6.203,6.20310446470152
2023-07-26 13:39:10.241,3545116,3545568,56.2660017496745,56.2700017903646,58.2330698649088,58.237069905599,-2.667,3.523,6.19,6.19010468409057
2023-07-26 13:39:10.254,3545119,3545571,56.2790458577474,56.2830458984375,58.2461139729818,58.2501140136719,-2.642,3.548,6.19,6.19021009336517
2023-07-26 13:39:10.267,3545122,3545574,56.2920899251302,56.2960899658203,58.2591577148437,58.2631577555339,-2.616,3.561,6.177,6.17712951135072
2023-07-26 13:39:10.280,3545125,3545577,56.3051336669922,56.3091337483724,58.2722017822266,58.2762018636068,-2.604,3.549,6.153,6.15315025007516
2023-07-26 13:39:10.292,3545128,3545580,56.3181777750651,56.3221778157552,58.2852458902995,58.2892459309896,-2.693,3.51,6.203,6.20327115319007
2023-07-26 13:39:10.306,3545131,3545583,56.3312218424479,56.3352219238281,58.2982897949219,58.3022897949219,-2.705,3.548,6.253,6.25323316373218
2023-07-26 13:39:10.319,3545134,3545586,56.3442659505208,56.3482659912109,58.3113337402344,58.3153337809245,-2.794,3.472,6.266,6.26634758052887
2023-07-26 13:39:10.332,3545137,3545589,56.3573096923828,56.361309773763,58.3243778076172,58.3283778889974,-2.768,3.548,6.316,6.31612040733867
