RunStartTime,PlatueauStartTime,PlatueauEndTime,CutOffStartTime,CutOffEndTime,Run1mEndTime,RunEndTime
26.07.2023 14:16:52.520,26.07.2023 14:16:53.043,26.07.2023 14:16:57.250,26.07.2023 14:16:57.543,26.07.2023 14:16:58.240,26.07.2023 14:16:58.790,26.07.2023 14:16:59.320
26.07.2023 13:10:54.170,26.07.2023 13:10:54.693,26.07.2023 13:10:58.900,26.07.2023 13:10:59.193,26.07.2023 13:10:59.890,26.07.2023 13:11:00.440,26.07.2023 13:11:00.990
26.07.2023 13:13:16.150,26.07.2023 13:13:16.673,26.07.2023 13:13:20.880,26.07.2023 13:13:21.173,26.07.2023 13:13:21.870,26.07.2023 13:13:22.450,26.07.2023 13:13:22.990
26.07.2023 13:15:45.500,26.07.2023 13:15:46.023,26.07.2023 13:15:50.230,26.07.2023 13:15:50.523,26.07.2023 13:15:51.220,26.07.2023 13:15:51.810,26.07.2023 13:15:52.340
26.07.2023 13:17:26.910,26.07.2023 13:17:27.433,26.07.2023 13:17:31.640,26.07.2023 13:17:31.933,26.07.2023 13:17:32.630,26.07.2023 13:17:33.210,26.07.2023 13:17:33.770
26.07.2023 13:19:19.900,26.07.2023 13:19:20.423,26.07.2023 13:19:24.630,26.07.2023 13:19:24.923,26.07.2023 13:19:25.620,26.07.2023 13:19:26.190,26.07.2023 13:19:26.770
26.07.2023 13:20:50.720,26.07.2023 13:20:51.243,26.07.2023 13:20:55.450,26.07.2023 13:20:55.743,26.07.2023 13:20:56.440,26.07.2023 13:20:57.020,26.07.2023 13:20:57.580
26.07.2023 13:22:17.940,26.07.2023 13:22:18.463,26.07.2023 13:22:22.670,26.07.2023 13:22:22.963,26.07.2023 13:22:23.660,26.07.2023 13:22:24.250,26.07.2023 13:22:24.790
26.07.2023 13:23:44.500,26.07.2023 13:23:45.023,26.07.2023 13:23:49.230,26.07.2023 13:23:49.523,26.07.2023 13:23:50.220,26.07.2023 13:23:50.800,26.07.2023 13:23:51.340
26.07.2023 13:25:29.240,26.07.2023 13:25:29.763,26.07.2023 13:25:33.970,26.07.2023 13:25:34.263,26.07.2023 13:25:34.960,26.07.2023 13:25:35.520,26.07.2023 13:25:36.050
26.07.2023 13:30:33.520,26.07.2023 13:30:34.043,26.07.2023 13:30:38.250,26.07.2023 13:30:38.543,26.07.2023 13:30:39.240,26.07.2023 13:30:39.810,26.07.2023 13:30:40.370
26.07.2023 13:35:36.780,26.07.2023 13:35:37.303,26.07.2023 13:35:41.510,26.07.2023 13:35:41.803,26.07.2023 13:35:42.500,26.07.2023 13:35:43.070,26.07.2023 13:35:43.610
26.07.2023 13:37:06.720,26.07.2023 13:37:07.243,26.07.2023 13:37:11.450,26.07.2023 13:37:11.743,26.07.2023 13:37:12.440,26.07.2023 13:37:13.030,26.07.2023 13:37:13.580
26.07.2023 13:39:08.500,26.07.2023 13:39:09.023,26.07.2023 13:39:13.230,26.07.2023 13:39:13.523,26.07.2023 13:39:14.220,26.07.2023 13:39:14.810,26.07.2023 13:39:15.370
26.07.2023 13:41:00.760,26.07.2023 13:41:01.283,26.07.2023 13:41:05.490,26.07.2023 13:41:05.783,26.07.2023 13:41:06.480,26.07.2023 13:41:07.070,26.07.2023 13:41:07.610
26.07.2023 13:42:23.740,26.07.2023 13:42:24.263,26.07.2023 13:42:28.470,26.07.2023 13:42:28.763,26.07.2023 13:42:29.460,26.07.2023 13:42:30.040,26.07.2023 13:42:30.600
26.07.2023 13:44:07.070,26.07.2023 13:44:07.593,26.07.2023 13:44:11.800,26.07.2023 13:44:12.093,26.07.2023 13:44:12.790,26.07.2023 13:44:13.370,26.07.2023 13:44:13.920
26.07.2023 13:51:55.290,26.07.2023 13:51:55.813,26.07.2023 13:52:00.020,26.07.2023 13:52:00.313,26.07.2023 13:52:01.010,26.07.2023 13:52:01.590,26.07.2023 13:52:02.130
26.07.2023 13:53:50.600,26.07.2023 13:53:51.123,26.07.2023 13:53:55.330,26.07.2023 13:53:55.623,26.07.2023 13:53:56.320,26.07.2023 13:53:56.890,26.07.2023 13:53:57.430
26.07.2023 13:55:33.090,26.07.2023 13:55:33.613,26.07.2023 13:55:37.820,26.07.2023 13:55:38.113,26.07.2023 13:55:38.810,26.07.2023 13:55:39.380,26.07.2023 13:55:39.920
26.07.2023 13:59:16.370,26.07.2023 13:59:16.893,26.07.2023 13:59:21.100,26.07.2023 13:59:21.393,26.07.2023 13:59:22.090,26.07.2023 13:59:22.670,26.07.2023 13:59:23.200
26.07.2023 14:01:25.990,26.07.2023 14:01:26.513,26.07.2023 14:01:30.720,26.07.2023 14:01:31.013,26.07.2023 14:01:31.710,26.07.2023 14:01:32.280,26.07.2023 14:01:32.820
26.07.2023 14:02:53.140,26.07.2023 14:02:53.663,26.07.2023 14:02:57.870,26.07.2023 14:02:58.163,26.07.2023 14:02:58.860,26.07.2023 14:02:59.440,26.07.2023 14:02:59.990
