Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
1,26.07.2023 15:37:10.630,-78.6763719389999,187.0329924162,24.0466913692
2,26.07.2023 15:37:10.640,-78.6773703129999,187.0329354172,24.0466913482
3,26.07.2023 15:37:10.650,-78.6763721609999,187.0329959442,24.0476913632
4,26.07.2023 15:37:10.660,-78.6763721609999,187.0329959442,24.0476913632
5,26.07.2023 15:37:10.670,-78.6773707569999,187.0329424732,24.0486913362
6,26.07.2023 15:37:10.680,-78.6773703129999,187.0329354172,24.0466913482
7,26.07.2023 15:37:10.690,-78.6773135369999,187.0319405772,24.0476948772
8,26.07.2023 15:37:10.700,-78.678254913,187.0308852102,24.0476983912
9,26.07.2023 15:37:10.710,-78.6772558729999,187.0309316252,24.0446984302
10,26.07.2023 15:37:10.720,-78.6773130929999,187.0319335212,24.0456948892
11,26.07.2023 15:37:10.730,-78.6773130929999,187.0319335212,24.0456948892
12,26.07.2023 15:37:10.740,-78.6773703129999,187.0329354172,24.0466913482
13,26.07.2023 15:37:10.750,-78.6773705349999,187.0329389452,24.0476913422
14,26.07.2023 15:37:10.760,-78.6773703129999,187.0329354172,24.0466913482
15,26.07.2023 15:37:10.770,-78.6773133149999,187.0319370492,24.0466948832
16,26.07.2023 15:37:10.780,-78.6763719389999,187.0329924162,24.0466913692
17,26.07.2023 15:37:10.790,-78.6773130929999,187.0319335212,24.0456948892
18,26.07.2023 15:37:10.800,-78.678311467,187.0318765222,24.0456948682
19,26.07.2023 15:37:10.810,-78.6773130929999,187.0319335212,24.0456948892
20,26.07.2023 15:37:10.820,-78.6772563169999,187.0309386812,24.0466984182
21,26.07.2023 15:37:10.830,-78.6773130929999,187.0319335212,24.0456948892
22,26.07.2023 15:37:10.840,-78.6763147189999,187.0319905202,24.0456949102
23,26.07.2023 15:37:10.850,-78.6773130929999,187.0319335212,24.0456948892
24,26.07.2023 15:37:10.860,-78.6763721609999,187.0329959442,24.0476913632
25,26.07.2023 15:37:10.870,-78.678311689,187.0318800502,24.0466948622
26,26.07.2023 15:37:10.880,-78.6773133149999,187.0319370492,24.0466948832
27,26.07.2023 15:37:10.890,-78.678311467,187.0318765222,24.0456948682
28,26.07.2023 15:37:10.900,-78.6773130929999,187.0319335212,24.0456948892
29,26.07.2023 15:37:10.910,-78.6773130929999,187.0319335212,24.0456948892
30,26.07.2023 15:37:10.920,-78.6773133149999,187.0319370492,24.0466948832
31,26.07.2023 15:37:10.930,-78.678311467,187.0318765222,24.0456948682
32,26.07.2023 15:37:10.940,-78.678311911,187.0318835782,24.0476948562
33,26.07.2023 15:37:10.950,-78.6773133149999,187.0319370492,24.0466948832
34,26.07.2023 15:37:10.960,-78.678311689,187.0318800502,24.0466948622
